V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
47.2925,0.138861,0.842552,0.138861,All
47.3768,0.13986,0.84874,0.13986,All
47.4627,0.140859,0.84904,0.140859,All
47.4783,0.141858,0.854401,0.141858,All
47.4882,0.142857,0.858403,0.142857,All
47.5957,0.143856,0.859422,0.143856,All
47.8407,0.144855,0.860761,0.144855,All
47.8458,0.145854,0.861111,0.145854,All
47.9301,0.146853,0.862281,0.146853,All
47.9663,0.147852,0.863243,0.147852,All
47.9737,0.148851,0.864406,0.148851,All
48.2085,0.14985,0.865489,0.14985,All
48.2436,0.150849,0.865993,0.150849,All
48.2626,0.151848,0.867456,0.151848,All
48.403,0.152847,0.870993,0.152847,All
48.5582,0.153846,0.87153,0.153846,All
48.6942,0.154845,0.871662,0.154845,All
48.7009,0.155844,0.872231,0.155844,All
48.8338,0.156843,0.873708,0.156843,All
48.8431,0.157842,0.876418,0.157842,All
48.8786,0.158841,0.876758,0.158841,All
48.9397,0.15984,0.878597,0.15984,All
49.0083,0.160839,0.8821,0.160839,All
49.1013,0.161838,0.885129,0.161838,All
49.1015,0.162837,0.887286,0.162837,All
49.1373,0.163836,0.888245,0.163836,All
49.5862,0.164835,0.891646,0.164835,All
49.6178,0.165834,0.891877,0.165834,All
49.6533,0.166833,0.89301,0.166833,All
49.6736,0.167832,0.899638,0.167832,All
49.8321,0.168831,0.900735,0.168831,All
49.94,0.16983,0.901825,0.16983,All
49.9551,0.170829,0.905892,0.170829,All
50.1107,0.171828,0.909846,0.171828,All
50.132,0.172827,0.910448,0.172827,All
50.1914,0.173826,0.912218,0.173826,All
50.3426,0.174825,0.913535,0.174825,All
50.3692,0.175824,0.91629,0.175824,All
50.5628,0.176823,0.918548,0.176823,All
50.6647,0.177822,0.918832,0.177822,All
50.6868,0.178821,0.918926,0.178821,All
50.7772,0.17982,0.919116,0.17982,All
50.8535,0.180819,0.92594,0.180819,All
50.9192,0.181818,0.932127,0.181818,All
50.9287,0.182817,0.934469,0.182817,All
50.9402,0.183816,0.936287,0.183816,All
51.0098,0.184815,0.938399,0.184815,All
51.1221,0.185814,0.941578,0.185814,All
51.1904,0.186813,0.944541,0.186813,All
51.2114,0.187812,0.946382,0.187812,All
51.3649,0.188811,0.951427,0.188811,All
51.4095,0.18981,0.963563,0.18981,All
51.5766,0.190809,0.971785,0.190809,All
51.6007,0.191808,0.971974,0.191808,All
51.602,0.192807,0.977185,0.192807,All
51.6656,0.193806,0.978637,0.193806,All
51.7474,0.194805,0.979856,0.194805,All
51.7562,0.195804,0.980266,0.195804,All
51.7992,0.196803,0.983067,0.196803,All
51.8794,0.197802,0.985014,0.197802,All
51.9649,0.198801,0.986944,0.198801,All
52.1119,0.1998,0.988045,0.1998,All
52.2401,0.200799,0.997578,0.200799,All
52.329,0.201798,0.998199,0.201798,All
52.3934,0.202797,0.998684,0.202797,All
52.5873,0.203796,1.00001,0.203796,All
52.6511,0.204795,1.00284,0.204795,All
52.7091,0.205794,1.00348,0.205794,All
52.7521,0.206793,1.01078,0.206793,All
52.7765,0.207792,1.01412,0.207792,All
53.0482,0.208791,1.01513,0.208791,All
53.2683,0.20979,1.01723,0.20979,All
53.3526,0.210789,1.01904,0.210789,All
53.4058,0.211788,1.02186,0.211788,All
53.44,0.212787,1.03073,0.212787,All
53.4521,0.213786,1.03474,0.213786,All
53.5634,0.214785,1.03567,0.214785,All
53.613,0.215784,1.04206,0.215784,All
53.6217,0.216783,1.04866,0.216783,All
53.6264,0.217782,1.05059,0.217782,All
53.7534,0.218781,1.05368,0.218781,All
53.784,0.21978,1.05479,0.21978,All
53.7902,0.220779,1.05482,0.220779,All
53.858,0.221778,1.05829,0.221778,All
53.865,0.222777,1.05851,0.222777,All
53.9605,0.223776,1.06173,0.223776,All
54.0386,0.224775,1.06716,0.224775,All
54.1561,0.225774,1.06905,0.225774,All
54.1927,0.226773,1.06969,0.226773,All
54.241,0.227772,1.07135,0.227772,All
54.2805,0.228771,1.07234,0.228771,All
54.4069,0.22977,1.074,0.22977,All
54.5853,0.230769,1.08138,0.230769,All
54.5854,0.231768,1.08536,0.231768,All
54.7151,0.232767,1.09013,0.232767,All
54.7253,0.233766,1.09135,0.233766,All
55.0201,0.234765,1.09319,0.234765,All
55.0679,0.235764,1.0949,0.235764,All
55.0997,0.236763,1.10181,0.236763,All
55.1209,0.237762,1.10204,0.237762,All
55.1353,0.238761,1.1058,0.238761,All
55.211,0.23976,1.10683,0.23976,All
55.2323,0.240759,1.10806,0.240759,All
55.2557,0.241758,1.10957,0.241758,All
55.4089,0.242757,1.11052,0.242757,All
55.432,0.243756,1.11441,0.243756,All
55.4836,0.244755,1.11564,0.244755,All
55.5045,0.245754,1.11692,0.245754,All
55.5074,0.246753,1.11752,0.246753,All
55.5141,0.247752,1.1181,0.247752,All
55.5411,0.248751,1.12142,0.248751,All
55.8092,0.24975,1.12241,0.24975,All
56.0425,0.250749,1.12779,0.250749,All
56.1773,0.251748,1.13176,0.251748,All
56.1793,0.252747,1.13465,0.252747,All
56.2951,0.253746,1.13578,0.253746,All
56.3101,0.254745,1.13674,0.254745,All
56.422,0.255744,1.13883,0.255744,All
56.4582,0.256743,1.14084,0.256743,All
56.4893,0.257742,1.1418,0.257742,All
56.4903,0.258741,1.14214,0.258741,All
56.5934,0.25974,1.14295,0.25974,All
56.7451,0.260739,1.14836,0.260739,All
56.7725,0.261738,1.14907,0.261738,All
56.7769,0.262737,1.14914,0.262737,All
56.8084,0.263736,1.14983,0.263736,All
56.8105,0.264735,1.15063,0.264735,All
56.8999,0.265734,1.15451,0.265734,All
56.9699,0.266733,1.15647,0.266733,All
57.0242,0.267732,1.15795,0.267732,All
57.0631,0.268731,1.15838,0.268731,All
57.1371,0.26973,1.15915,0.26973,All
57.1386,0.270729,1.16407,0.270729,All
57.168,0.271728,1.16539,0.271728,All
