bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median_pc,theoretical_median_piLower_pc,theoretical_median_piUpper_pc,theoretical_lower_median_pc,theoretical_lower_piLower_pc,theoretical_lower_piUpper_pc,theoretical_upper_median_pc,theoretical_upper_piLower_pc,theoretical_upper_piUpper_pc,split
11.4147,12.8665,6.24136,25.8306,9.22928,8.43825,10.175,4.24558,3.66151,4.90732,19.0867,16.7642,21.8537,All
21.8661,18.2134,7.98863,35.4717,15.3037,14.2559,16.4211,6.53395,5.76692,7.30074,32.2059,29.4845,34.7117,All
32.8816,19.4564,8.30381,42.3635,20.6283,18.956,22.2519,8.30901,6.98569,9.60993,43.5713,39.41,48.4082,All
44.9461,17.392,7.6107,38.7715,16.7858,15.4834,18.117,5.77444,4.53345,6.81623,36.6507,33.2388,40.4619,All
56.7763,19.8685,8.32299,46.7264,22.4446,20.4014,24.963,7.54268,5.56813,9.44542,50.1134,44.2824,55.901,All
72.1851,17.4704,6.69815,48.862,20.2869,18.0217,22.6427,5.82297,3.77958,8.0542,46.5726,40.3948,53.1948,All
100.821,19.6239,7.13241,62.4747,21.484,17.7463,26.9342,5.3151,2.29425,8.66673,52.3271,41.6878,67.1152,All
176.308,19.575,6.17975,32.6584,24.9345,18.4641,33.1323,7.86757,3.41848,13.1473,57.7467,41.8616,86.0912,All
286.981,21.778,5.81149,30.2203,25.2833,14.562,40.1002,9.69542,3.22547,17.0666,52.4208,33.239,93.5916,All
