time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
66.0536,0.00674866,66.0536,0.117097,66.0536,-0.0333033,20.5277,0.153606,17.2735,0.0858246,20.5277,0.128102,All
72.2533,0.0164447,72.2533,0.0605151,72.2533,-0.0476118,22.0242,0.0771879,17.3377,0.100149,22.0242,0.0680729,All
73.3585,0.0512629,73.3585,0.0627665,73.3585,-0.0466098,22.036,0.0761345,18.4259,0.131395,22.036,0.0667275,All
79.292,0.0393749,79.292,0.0971541,79.292,-0.0958415,23.5529,-0.0306163,18.507,0.135868,23.5529,-0.04644,All
81.4712,-0.0698834,81.4712,0.0748403,81.4712,-0.135815,23.6298,-0.0338307,19.5782,0.0769263,23.6298,-0.0493061,All
86.3307,-0.0966174,86.3307,0.0541669,86.3307,-0.114998,25.0697,-0.129747,19.755,0.0800231,25.0697,-0.172753,All
90.4812,-0.012037,90.4812,0.0605504,90.4812,-0.0626386,25.3525,-0.138661,20.7306,0.12671,25.3525,-0.180355,All
93.3693,-0.00416668,93.3693,0.0643187,93.3693,-0.0679557,26.5865,-0.161252,21.0873,0.126731,26.5865,-0.192361,All
100.408,-0.0972476,100.408,0.0662963,100.408,-0.157033,27.2007,-0.129236,21.883,0.0996146,27.2007,-0.140743,All
100.487,-0.0982688,100.487,0.0662942,100.487,-0.157923,28.1033,-0.291874,22.5094,0.131224,28.1033,-0.337647,All
107.447,-0.162446,107.447,0.0652835,107.447,-0.210247,29.1837,-0.308199,23.0353,0.0996784,29.1837,-0.348755,All
111.6,-0.181801,111.6,0.0639658,111.6,-0.222689,29.6202,-0.329166,24.0274,0.140543,29.6202,-0.374252,All
114.485,-0.189934,114.485,0.0627863,114.485,-0.22633,31.137,-0.400226,24.1877,0.153594,31.137,-0.454942,All
121.524,-0.202158,121.524,0.0591592,121.524,-0.229566,31.3112,-0.399167,25.3401,0.105105,31.3112,-0.450847,All
123.942,-0.206795,123.942,0.0577123,123.942,-0.232007,32.6538,-0.460969,25.6478,0.110124,32.6538,-0.502917,All
128.563,-0.217719,128.563,0.0547197,128.563,-0.239991,33.5938,-0.504013,26.4924,0.132768,33.5938,-0.546723,All
135.601,-0.239138,135.601,0.0496429,135.601,-0.259838,34.1706,-0.524973,27.3774,0.10436,34.1706,-0.574171,All
137.649,-0.246376,137.649,0.0480594,137.649,-0.267231,35.6874,-0.616007,27.6448,0.0869117,35.6874,-0.692761,All
142.64,-0.265583,142.64,0.0440397,142.64,-0.287764,36.0428,-0.642136,28.7972,0.0410218,36.0428,-0.722821,All
149.679,-0.296327,149.679,0.0380128,149.679,-0.322599,37.2043,-0.69519,29.2237,0.0541622,37.2043,-0.766715,All
152.872,-0.311251,152.872,0.0351886,152.872,-0.339971,38.6704,-0.733952,29.9495,0.0992735,38.6704,-0.784809,All
156.717,-0.330151,156.717,0.0317097,156.717,-0.36238,38.7211,-0.736021,31.1019,0.154233,38.7211,-0.786917,All
163.756,-0.366488,163.756,0.0252203,163.756,-0.406191,40.2379,-0.814729,31.1945,0.155475,40.2379,-0.881418,All
169.778,-0.398859,169.778,0.0196333,169.778,-0.445725,41.4895,-0.87642,32.2543,0.146879,41.4895,-0.950791,All
170.795,-0.404382,170.795,0.0186911,170.795,-0.452491,41.7547,-0.888073,33.2982,0.120378,41.7547,-0.96268,All
177.833,-0.442652,177.833,0.0121972,177.833,-0.499387,43.2716,-0.952685,33.4066,0.117592,43.2716,-1.02946,All
184.872,-0.4807,184.872,0.00590346,184.872,-0.545907,44.5142,-1.01048,34.559,0.0893525,44.5142,-1.09963,All
188.554,-0.500198,188.554,0.00272031,188.554,-0.569583,44.7884,-1.02371,35.5438,0.0682214,44.7884,-1.11644,All
191.911,-0.517477,191.911,-8.037e-05,191.911,-0.590363,46.3052,-1.09483,35.7113,0.0649914,46.3052,-1.20351,All
198.949,-0.55227,198.949,-0.00566486,198.949,-0.631607,47.7593,-1.15547,36.8637,0.0464258,47.7593,-1.26532,All
205.988,-0.584503,205.988,-0.0107891,205.988,-0.668713,47.822,-1.15796,37.9408,0.0357146,47.822,-1.26763,All
209.406,-0.598912,209.406,-0.0130597,209.406,-0.684723,49.3389,-1.21604,38.0161,0.0352645,49.3389,-1.31756,All
213.027,-0.613331,213.027,-0.0153191,213.027,-0.700311,50.8557,-1.27326,39.1684,0.0320922,50.8557,-1.36574,All
220.065,-0.638696,220.065,-0.0192563,220.065,-0.726292,51.241,-1.28817,40.3208,0.0328431,51.241,-1.37919,All
227.104,-0.661601,227.104,-0.02278,227.104,-0.748263,52.3725,-1.33363,40.4995,0.0336139,52.3725,-1.42392,All
232.564,-0.677638,232.564,-0.0252243,232.564,-0.762482,53.8893,-1.39768,41.4732,0.0404934,53.8893,-1.49336,All
234.143,-0.682274,234.143,-0.025931,234.143,-0.766593,54.9765,-1.44528,42.6255,0.0517516,54.9765,-1.5481,All
241.181,-0.702006,241.181,-0.0289285,241.181,-0.783378,55.4061,-1.46432,43.2307,0.0594335,55.4061,-1.57039,All
248.22,-0.718919,248.22,-0.0314733,248.22,-0.79552,56.923,-1.53229,43.7779,0.0670636,56.923,-1.65075,All
255.259,-0.734326,255.259,-0.0337886,255.259,-0.805152,58.4398,-1.60034,44.9303,0.0848578,58.4398,-1.73033,All
258.283,-0.740608,258.283,-0.0347339,258.283,-0.808724,58.9844,-1.6246,46.0826,0.104612,58.9844,-1.75804,All
262.297,-0.748494,262.297,-0.0359269,262.297,-0.812695,59.9566,-1.66761,46.1461,0.105752,59.9566,-1.80627,All
269.336,-0.761666,269.336,-0.0379351,269.336,-0.818528,61.4734,-1.73397,47.235,0.125314,61.4734,-1.87847,All
276.375,-0.774142,276.375,-0.0398835,276.375,-0.823093,62.9903,-1.79942,48.3874,0.146086,62.9903,-1.94717,All
283.413,-0.78635,283.413,-0.041809,283.413,-0.827173,63.2844,-1.81203,49.2581,0.161207,63.2844,-1.96019,All
286.847,-0.792268,286.847,-0.0427652,286.847,-0.829047,64.5071,-1.86383,49.5397,0.165863,64.5071,-2.01231,All
290.452,-0.798432,290.452,-0.04379,290.452,-0.830869,66.0239,-1.92755,50.6921,0.184253,66.0239,-2.07534,All
297.491,-0.810505,297.491,-0.0458048,297.491,-0.834467,67.5407,-1.98972,51.8444,0.200096,67.5407,-2.13416,All
304.529,-0.823034,304.529,-0.0479845,304.529,-0.838607,67.898,-2.00437,52.58,0.207508,67.898,-2.14801,All
311.568,-0.836263,311.568,-0.0503585,311.568,-0.843707,69.0576,-2.05189,52.9968,0.211025,69.0576,-2.19297,All
318.569,-0.850733,318.569,-0.0530458,318.569,-0.850674,70.5744,-2.11339,54.1492,0.220751,70.5744,-2.25031,All
318.607,-0.850818,318.607,-0.053062,318.607,-0.850723,72.0912,-2.17353,55.3015,0.21451,72.0912,-2.30493,All
325.645,-0.866862,325.645,-0.0561187,325.645,-0.859926,72.8478,-2.20319,56.1259,0.208899,72.8478,-2.33167,All
332.684,-0.882935,332.684,-0.0591821,332.684,-0.869173,73.608,-2.23279,56.4539,0.206667,73.608,-2.35827,All
339.723,-0.902155,339.723,-0.0629574,339.723,-0.883125,75.1248,-2.29117,57.6063,0.198824,75.1248,-2.41063,All
346.761,-0.922957,346.761,-0.067082,346.761,-0.899462,76.6417,-2.34859,58.7586,0.19098,76.6417,-2.46228,All
353.8,-0.945914,353.8,-0.0716749,353.8,-0.919065,78.1585,-2.4053,59.911,0.167661,78.1585,-2.51364,All
