pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
0.336611,0.68104,0.333258,0.681674,0.522114,0.68104,All
0.337112,0.681674,0.333684,0.682308,0.523532,0.681674,All
0.340832,0.682308,0.334218,0.682942,0.524231,0.682308,All
0.343693,0.682942,0.335188,0.683576,0.529723,0.682942,All
0.345156,0.683576,0.337313,0.684211,0.530835,0.683576,All
0.345574,0.684211,0.337947,0.684845,0.533127,0.684211,All
0.348094,0.684845,0.337982,0.685479,0.533567,0.684845,All
0.350236,0.685479,0.338087,0.686113,0.536708,0.685479,All
0.351028,0.686113,0.338853,0.686747,0.536711,0.686113,All
0.351614,0.686747,0.34004,0.687381,0.539401,0.686747,All
0.35186,0.687381,0.340366,0.688015,0.539448,0.687381,All
0.352008,0.688015,0.341287,0.688649,0.542338,0.688015,All
0.352188,0.688649,0.341454,0.689283,0.542798,0.688649,All
0.356732,0.689283,0.341493,0.689918,0.545334,0.689283,All
0.35737,0.689918,0.342171,0.690552,0.548871,0.689918,All
0.357421,0.690552,0.342342,0.691186,0.549261,0.690552,All
0.359645,0.691186,0.343167,0.69182,0.550826,0.691186,All
0.360684,0.69182,0.343291,0.692454,0.561366,0.69182,All
0.366403,0.692454,0.345016,0.693088,0.561669,0.692454,All
0.367413,0.693088,0.345423,0.693722,0.562789,0.693088,All
0.370472,0.693722,0.345509,0.694356,0.563112,0.693722,All
0.371523,0.694356,0.346069,0.69499,0.564994,0.694356,All
0.376316,0.69499,0.348571,0.695625,0.565106,0.69499,All
0.376678,0.695625,0.349807,0.696259,0.566494,0.695625,All
0.383977,0.696259,0.35118,0.696893,0.571193,0.696259,All
0.384753,0.696893,0.351969,0.697527,0.573389,0.696893,All
0.389687,0.697527,0.353473,0.698161,0.576458,0.697527,All
0.390601,0.698161,0.353751,0.698795,0.576882,0.698161,All
0.392174,0.698795,0.353788,0.699429,0.578513,0.698795,All
0.393194,0.699429,0.354827,0.700063,0.579801,0.699429,All
0.398503,0.700063,0.355534,0.700698,0.581466,0.700063,All
0.39909,0.700698,0.356344,0.701332,0.582413,0.700698,All
0.401465,0.701332,0.356674,0.701966,0.583515,0.701332,All
0.402185,0.701966,0.356948,0.7026,0.584537,0.701966,All
0.403454,0.7026,0.357041,0.703234,0.586218,0.7026,All
0.403878,0.703234,0.357141,0.703868,0.586233,0.703234,All
0.403997,0.703868,0.358824,0.704502,0.588065,0.703868,All
0.407854,0.704502,0.361238,0.705136,0.588242,0.704502,All
0.418358,0.705136,0.363572,0.70577,0.588778,0.705136,All
0.419358,0.70577,0.363973,0.706405,0.590313,0.70577,All
0.420271,0.706405,0.364427,0.707039,0.592821,0.706405,All
0.422178,0.707039,0.364602,0.707673,0.595204,0.707039,All
0.427069,0.707673,0.364718,0.708307,0.602818,0.707673,All
0.431003,0.708307,0.365063,0.708941,0.606411,0.708307,All
0.434763,0.708941,0.367881,0.709575,0.606976,0.708941,All
0.436827,0.709575,0.368753,0.710209,0.61075,0.709575,All
0.4382,0.710209,0.369387,0.710843,0.612028,0.710209,All
0.438284,0.710843,0.369723,0.711477,0.614092,0.710843,All
0.438835,0.711477,0.370234,0.712112,0.614729,0.711477,All
0.439659,0.712112,0.371403,0.712746,0.615006,0.712112,All
0.443494,0.712746,0.373431,0.71338,0.616215,0.712746,All
0.444035,0.71338,0.375181,0.714014,0.618648,0.71338,All
0.444749,0.714014,0.375833,0.714648,0.620091,0.714014,All
0.447187,0.714648,0.377149,0.715282,0.620175,0.714648,All
0.447603,0.715282,0.377454,0.715916,0.633733,0.715282,All
0.451815,0.715916,0.377821,0.71655,0.634181,0.715916,All
0.456443,0.71655,0.37853,0.717185,0.636018,0.71655,All
0.459173,0.717185,0.379323,0.717819,0.636037,0.717185,All
0.460971,0.717819,0.379462,0.718453,0.637517,0.717819,All
0.46286,0.718453,0.382404,0.719087,0.640083,0.718453,All
0.46546,0.719087,0.384378,0.719721,0.640535,0.719087,All
0.466364,0.719721,0.384447,0.720355,0.640557,0.719721,All
0.467485,0.720355,0.384779,0.720989,0.644061,0.720355,All
0.470097,0.720989,0.385796,0.721623,0.644646,0.720989,All
0.4718,0.721623,0.388466,0.722257,0.647665,0.721623,All
0.475352,0.722257,0.388483,0.722892,0.64785,0.722257,All
0.475552,0.722892,0.389894,0.723526,0.648011,0.722892,All
0.477146,0.723526,0.390107,0.72416,0.648595,0.723526,All
0.477309,0.72416,0.39046,0.724794,0.650842,0.72416,All
0.488456,0.724794,0.391271,0.725428,0.651845,0.724794,All
0.492614,0.725428,0.393362,0.726062,0.652939,0.725428,All
0.493252,0.726062,0.394569,0.726696,0.658844,0.726062,All
0.495296,0.726696,0.394676,0.72733,0.661583,0.726696,All
0.496943,0.72733,0.395709,0.727964,0.661718,0.72733,All
0.497793,0.727964,0.396108,0.728599,0.666544,0.727964,All
0.499391,0.728599,0.398326,0.729233,0.668642,0.728599,All
0.50132,0.729233,0.399559,0.729867,0.67217,0.729233,All
0.501985,0.729867,0.399922,0.730501,0.672874,0.729867,All
0.507082,0.730501,0.400571,0.731135,0.673205,0.730501,All
