standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-0.293604,0.286713,-0.132889,0.286713,All
-0.290693,0.287712,-0.131534,0.287712,All
-0.289538,0.288711,-0.130637,0.288711,All
-0.283964,0.28971,-0.129431,0.28971,All
-0.281444,0.290709,-0.124192,0.290709,All
-0.28067,0.291708,-0.122951,0.291708,All
-0.278398,0.292707,-0.122732,0.292707,All
-0.277847,0.293706,-0.118906,0.293706,All
-0.277211,0.294705,-0.118083,0.294705,All
-0.277184,0.295704,-0.117062,0.295704,All
-0.277045,0.296703,-0.1143,0.296703,All
-0.273844,0.297702,-0.113978,0.297702,All
-0.273066,0.298701,-0.113844,0.298701,All
-0.272786,0.2997,-0.112941,0.2997,All
-0.272486,0.300699,-0.110351,0.300699,All
-0.271833,0.301698,-0.10957,0.301698,All
-0.271395,0.302697,-0.10948,0.302697,All
-0.267217,0.303696,-0.109177,0.303696,All
-0.266013,0.304695,-0.100387,0.304695,All
-0.264879,0.305694,-0.100252,0.305694,All
-0.263495,0.306693,-0.100238,0.306693,All
-0.263311,0.307692,-0.0994181,0.307692,All
-0.263161,0.308691,-0.0979783,0.308691,All
-0.263125,0.30969,-0.0962045,0.30969,All
-0.262905,0.310689,-0.0958655,0.310689,All
-0.260938,0.311688,-0.0936483,0.311688,All
-0.25948,0.312687,-0.0928122,0.312687,All
-0.257838,0.313686,-0.0918976,0.313686,All
-0.257439,0.314685,-0.0848423,0.314685,All
-0.256672,0.315684,-0.0809084,0.315684,All
-0.255494,0.316683,-0.0805163,0.316683,All
-0.255152,0.317682,-0.0800079,0.317682,All
-0.252809,0.318681,-0.0796101,0.318681,All
-0.251978,0.31968,-0.0789622,0.31968,All
-0.251673,0.320679,-0.0778699,0.320679,All
-0.250234,0.321678,-0.0749668,0.321678,All
-0.248529,0.322677,-0.0735516,0.322677,All
-0.247855,0.323676,-0.0727354,0.323676,All
-0.24777,0.324675,-0.0686172,0.324675,All
-0.246418,0.325674,-0.0679616,0.325674,All
-0.244753,0.326673,-0.0679159,0.326673,All
-0.241087,0.327672,-0.0669536,0.327672,All
-0.240282,0.328671,-0.0639064,0.328671,All
-0.240091,0.32967,-0.0578082,0.32967,All
-0.234505,0.330669,-0.0577902,0.330669,All
-0.233228,0.331668,-0.0569863,0.331668,All
-0.232778,0.332667,-0.0562469,0.332667,All
-0.232641,0.333666,-0.0526942,0.333666,All
-0.231765,0.334665,-0.0493133,0.334665,All
-0.230768,0.335664,-0.0486567,0.335664,All
-0.229841,0.336663,-0.0473502,0.336663,All
