time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
65.2147,0.0984526,65.2147,-0.0389999,65.2147,0.0697703,15.3174,0.330792,13.3493,-0.0126635,15.3174,0.30016,All
66.0536,0.122218,66.0536,-0.0453717,66.0536,0.0906838,16.8182,0.302293,13.4132,-0.00469336,16.8182,0.261257,All
72.2533,0.0138213,72.2533,-0.0837749,72.2533,-0.0162543,17.4059,0.198282,14.6462,-0.0192648,17.4059,0.177962,All
73.3585,0.0505389,73.3585,-0.0753322,73.3585,0.014816,18.8987,0.142899,14.6919,-0.0268169,18.8987,0.128067,All
79.292,0.125779,79.292,-0.0173511,79.292,0.0816154,19.7792,0.0618233,15.9706,-0.00624455,19.7792,0.0530815,All
81.4712,-0.00598113,81.4712,-0.0669803,81.4712,-0.0344501,20.9791,-0.00301051,16.0691,-0.0252555,20.9791,-0.0103637,All
86.3307,-0.0462754,86.3307,-0.0998274,86.3307,-0.0628371,22.476,-0.161326,17.2493,-0.0582804,22.476,-0.165115,All
90.4812,0.0639067,90.4812,-0.0741024,90.4812,0.0418128,23.0595,-0.0839786,17.6301,0.0168889,23.0595,-0.104258,All
93.3693,0.0935999,93.3693,-0.0649112,93.3693,0.069885,25.14,-0.228072,18.528,0.0418032,25.14,-0.211966,All
100.408,0.0436096,100.408,-0.0726411,100.408,0.0235174,25.5406,-0.26093,19.3429,-0.0278779,25.5406,-0.245649,All
100.487,0.0429131,100.487,-0.0727915,100.487,0.0228708,27.2204,-0.396165,19.8068,0.0346002,27.2204,-0.374781,All
107.447,-0.00524809,107.447,-0.0854273,107.447,-0.0216112,29.023,-0.501857,21.0855,-0.00920811,29.023,-0.499571,All
111.6,-0.0241758,111.6,-0.0923767,111.6,-0.0388359,29.3009,-0.504502,21.222,0.00260424,29.3009,-0.498039,All
114.485,-0.0344342,114.485,-0.0968975,114.485,-0.0480322,31.3813,-0.617237,22.3642,-0.0128845,31.3813,-0.592721,All
121.524,-0.054528,121.524,-0.106678,121.524,-0.065608,32.9802,-0.753526,23.2837,0.0141327,32.9802,-0.738761,All
123.942,-0.0611933,123.942,-0.109577,123.942,-0.0713381,33.4617,-0.781785,23.6429,0.0320815,33.4617,-0.765657,All
128.563,-0.0743364,128.563,-0.11451,128.563,-0.0825581,35.5422,-0.896772,24.9216,0.0385731,35.5422,-0.875819,All
135.601,-0.0953026,135.601,-0.12064,135.601,-0.100283,37.477,-1.00132,25.5457,0.0590294,37.477,-0.978036,All
137.649,-0.101601,137.649,-0.122137,137.649,-0.105573,37.6226,-1.00912,26.2003,-0.00779732,37.6226,-0.985664,All
142.64,-0.117259,142.64,-0.125346,142.64,-0.118674,39.7031,-1.11991,27.479,0.0629297,39.7031,-1.09337,All
149.679,-0.140058,149.679,-0.128879,149.679,-0.137642,41.7835,-1.23036,28.0274,0.0521602,41.7835,-1.20043,All
152.872,-0.150591,152.872,-0.130226,152.872,-0.146378,42.5869,-1.27317,28.7577,0.0378936,42.5869,-1.24208,All
156.717,-0.163457,156.717,-0.131619,156.717,-0.157026,43.8639,-1.34153,30.0364,0.0306455,43.8639,-1.30884,All
163.756,-0.187338,163.756,-0.133779,163.756,-0.176756,45.9444,-1.45364,30.7503,0.0308046,45.9444,-1.41901,All
169.778,-0.208007,169.778,-0.135436,169.778,-0.193822,48.0248,-1.56646,31.3151,0.0290537,48.0248,-1.53053,All
170.795,-0.211507,170.795,-0.135712,170.795,-0.196712,48.3935,-1.58655,32.5938,0.0206503,48.3935,-1.55048,All
177.833,-0.235739,177.833,-0.137667,177.833,-0.216731,50.1053,-1.68004,33.7376,0.0184904,50.1053,-1.64349,All
184.872,-0.2599,184.872,-0.139991,184.872,-0.236749,52.1857,-1.7942,33.8725,0.0190871,52.1857,-1.7576,All
188.554,-0.272447,188.554,-0.141436,188.554,-0.247176,54.2661,-1.90883,35.1512,0.0332272,54.2661,-1.87266,All
191.911,-0.283782,191.911,-0.142982,191.911,-0.256626,54.9918,-1.94892,36.4299,0.0574887,54.9918,-1.913,All
198.949,-0.307244,198.949,-0.146866,198.949,-0.276271,56.3466,-2.0239,37.0152,0.0699152,56.3466,-1.98865,All
205.988,-0.330167,205.988,-0.151805,205.988,-0.295602,58.427,-2.13911,37.7086,0.0844322,58.427,-2.10496,All
209.406,-0.341027,209.406,-0.154697,209.406,-0.30482,60.5075,-2.25455,38.9873,0.107045,60.5075,-2.22193,All
213.027,-0.352329,213.027,-0.15808,213.027,-0.314444,62.4898,-2.36454,40.266,0.12265,62.4898,-2.33339,All
220.065,-0.373572,220.065,-0.165583,220.065,-0.332591,62.5879,-2.36998,40.6112,0.1257,62.5879,-2.3389,All
227.104,-0.394009,227.104,-0.173828,227.104,-0.35003,64.6683,-2.48091,41.5447,0.130884,64.6683,-2.44907,All
232.564,-0.409264,232.564,-0.180719,232.564,-0.363016,66.7488,-2.58822,42.8234,0.133816,66.7488,-2.55376,All
234.143,-0.413675,234.143,-0.182711,234.143,-0.366771,68.8292,-2.69552,44.1021,0.135501,68.8292,-2.65845,All
241.181,-0.432939,241.181,-0.191799,241.181,-0.383112,70.9097,-2.80283,44.5565,0.134309,70.9097,-2.76314,All
248.22,-0.450868,248.22,-0.201387,248.22,-0.398073,71.0101,-2.80801,45.3809,0.131957,71.0101,-2.7682,All
255.259,-0.46784,255.259,-0.211035,255.259,-0.411957,72.9901,-2.91013,46.6596,0.125263,72.9901,-2.86783,All
258.283,-0.474883,258.283,-0.215164,258.283,-0.417633,75.0705,-3.01743,47.9383,0.117391,75.0705,-2.97252,All
262.297,-0.483798,262.297,-0.220538,262.297,-0.424644,77.151,-3.12474,48.8851,0.110795,77.151,-3.07721,All
269.336,-0.498697,269.336,-0.229719,269.336,-0.43603,79.2314,-3.23204,49.217,0.108464,79.2314,-3.1819,All
276.375,-0.512243,276.375,-0.238152,276.375,-0.445656,80.6922,-3.30739,50.4957,0.0999187,80.6922,-3.25541,All
283.413,-0.525272,283.413,-0.246298,283.413,-0.45461,81.3119,-3.33935,51.7744,0.0918388,81.3119,-3.28659,All
286.847,-0.531155,286.847,-0.249893,286.847,-0.45833,83.3923,-3.44665,53.0531,0.0865116,83.3923,-3.39128,All
290.452,-0.53675,290.452,-0.2532,290.452,-0.461438,85.4727,-3.55396,53.6342,0.0840905,85.4727,-3.49597,All
297.491,-0.547531,297.491,-0.259513,297.491,-0.4673,87.5532,-3.66126,54.3318,0.0837512,87.5532,-3.60066,All
304.529,-0.55673,304.529,-0.264215,304.529,-0.470897,89.6336,-3.76857,55.6105,0.0833985,89.6336,-3.70535,All
311.568,-0.564649,311.568,-0.267421,311.568,-0.472603,91.6944,-3.87486,56.8892,0.0894021,91.6944,-3.80906,All
318.569,-0.570884,318.569,-0.268452,318.569,-0.471807,91.7141,-3.87587,58.1679,0.0995175,91.7141,-3.81004,All
318.607,-0.570909,318.607,-0.268446,318.607,-0.471791,93.7945,-3.98317,58.8447,0.115232,93.7945,-3.91474,All
325.645,-0.575632,325.645,-0.267299,325.645,-0.468602,95.8749,-4.09048,59.4466,0.129205,95.8749,-4.01943,All
332.684,-0.580331,332.684,-0.266113,332.684,-0.465374,97.9554,-4.19778,60.7253,0.158893,97.9554,-4.12412,All
339.723,-0.582462,339.723,-0.260916,339.723,-0.458066,100.036,-4.30509,62.004,0.188581,100.036,-4.22881,All
346.761,-0.583472,346.761,-0.253847,346.761,-0.448943,102.116,-4.41239,63.2827,0.218269,102.116,-4.3335,All
353.8,-0.583101,353.8,-0.244352,353.8,-0.437548,104.197,-4.5197,64.5614,0.267141,104.197,-4.43819,All
