iteration,convergenceIndicator,phase,Vpop_pop,Clpop_pop,thetaAge_pop,thetaCr_pop,omega_V,omega_Cl,a
71,12596.5,1,0.887473,0.51208,-0.246114,0.815465,0.393985,0.89305,4.08736
72,12421,1,0.870036,0.516178,-0.246807,0.827075,0.389581,0.870438,3.98387
73,12466.3,1,0.874636,0.516142,-0.246387,0.826377,0.38275,0.871588,4.0591
74,12439.1,1,0.881895,0.511049,-0.24659,0.829197,0.383267,0.86153,4.05049
75,12388.6,1,0.888477,0.514433,-0.246768,0.813676,0.377363,0.855344,4.04485
76,12290.7,1,0.883289,0.50991,-0.246641,0.803863,0.367808,0.866772,3.95564
77,12336.4,1,0.876181,0.5083,-0.246607,0.798747,0.369075,0.869607,3.99328
78,12294.6,1,0.866101,0.504598,-0.246989,0.80215,0.35973,0.870749,4.03532
79,12274.6,1,0.879205,0.496528,-0.24754,0.768391,0.352721,0.848701,4.12538
80,12337.9,1,0.886606,0.489913,-0.24727,0.773786,0.371167,0.858887,4.02092
81,12392.6,1,0.893631,0.483552,-0.247807,0.787633,0.374424,0.866549,4.03545
82,12307.2,1,0.896994,0.491454,-0.247174,0.788698,0.371182,0.844607,4.02589
83,12487.2,1,0.889607,0.493693,-0.248056,0.799951,0.379044,0.85892,4.14941
84,12499,1,0.902934,0.498948,-0.247422,0.771175,0.382845,0.858247,4.13967
85,12488.3,1,0.871186,0.503974,-0.247416,0.789245,0.377351,0.847035,4.20031
86,12440.5,1,0.883711,0.514151,-0.246912,0.763092,0.368097,0.825587,4.31528
87,12462.8,1,0.879271,0.523445,-0.246345,0.7615,0.378683,0.824096,4.23055
88,12557.3,1,0.871728,0.527556,-0.246866,0.774095,0.376244,0.842776,4.31557
89,12557.8,1,0.879268,0.522153,-0.246635,0.778963,0.383356,0.846412,4.25243
90,12556.5,1,0.896965,0.516933,-0.246993,0.768665,0.388026,0.853843,4.19361
91,12499.3,1,0.904015,0.511972,-0.246302,0.766369,0.388,0.84446,4.14731
92,12338.8,1,0.905036,0.506868,-0.24601,0.762074,0.378176,0.842641,4.0423
93,12419.8,1,0.919605,0.500851,-0.246757,0.749631,0.376658,0.85496,4.08932
94,12399.7,1,0.89543,0.501584,-0.246962,0.767326,0.380093,0.833312,4.11275
95,12419,1,0.888514,0.5073,-0.247149,0.770547,0.381474,0.84998,4.07084
96,12386.5,1,0.893015,0.505945,-0.246565,0.760186,0.374309,0.853275,4.0685
97,12323.5,1,0.891587,0.500521,-0.246702,0.763368,0.37621,0.838883,4.01842
98,12347.9,1,0.88923,0.49625,-0.24672,0.774612,0.378437,0.845216,4.01496
99,12378.1,1,0.863744,0.498398,-0.2464,0.798407,0.386791,0.848798,3.98642
100,12358.4,1,0.862628,0.497195,-0.24715,0.801844,0.383984,0.85322,3.96722
101,12445.6,1,0.847538,0.498036,-0.246348,0.82242,0.385627,0.860116,4.04678
102,12467.2,1,0.860178,0.486996,-0.2475,0.81949,0.392553,0.863169,4.01831
103,12362.3,1,0.877739,0.482013,-0.247522,0.793531,0.382613,0.841313,4.0219
104,12313.1,1,0.867274,0.486539,-0.247853,0.796581,0.375859,0.820011,4.07852
105,12298.8,1,0.861403,0.487102,-0.247798,0.825398,0.366342,0.826386,4.11446
106,12344.9,1,0.86613,0.488451,-0.248032,0.813742,0.367428,0.825493,4.15137
107,12319.7,1,0.870515,0.487441,-0.246837,0.815576,0.358125,0.837869,4.15376
108,12294.4,1,0.866175,0.480423,-0.246878,0.819528,0.364895,0.826953,4.09895
109,12349.1,1,0.866308,0.482646,-0.246781,0.807994,0.356312,0.836867,4.20333
110,12336.2,1,0.869541,0.480763,-0.248038,0.800524,0.35205,0.830955,4.23798
111,12387.7,1,0.8672,0.484987,-0.248179,0.811542,0.363454,0.825566,4.23748
112,12448.2,1,0.865757,0.487087,-0.247683,0.803747,0.368005,0.824054,4.28975
113,12309.9,1,0.889054,0.484605,-0.247642,0.780539,0.360153,0.834057,4.18113
114,12299.3,1,0.885844,0.483797,-0.246611,0.781818,0.35759,0.821573,4.17625
115,12266,1,0.907044,0.492938,-0.246697,0.769784,0.358095,0.813607,4.15437
116,12275.2,1,0.904948,0.485169,-0.247524,0.747584,0.349055,0.817474,4.22273
117,12255.2,1,0.88853,0.482325,-0.247673,0.766602,0.343715,0.814326,4.24918
118,12204.9,1,0.89063,0.484412,-0.246649,0.743758,0.344,0.808057,4.2
119,12194.4,1,0.891704,0.486894,-0.247236,0.755666,0.341171,0.807811,4.20969
120,12218.9,1,0.891892,0.483548,-0.247409,0.761214,0.343133,0.812466,4.2112
121,12351.4,1,0.905282,0.492769,-0.247512,0.753924,0.359816,0.814965,4.25029
122,12430.6,1,0.887799,0.496719,-0.247778,0.757993,0.366718,0.816421,4.30044
123,12411.6,1,0.89092,0.504796,-0.247732,0.750532,0.36165,0.829161,4.2709
124,12392.2,1,0.888274,0.494966,-0.247105,0.764897,0.361586,0.839491,4.21167
125,12429.8,1,0.887821,0.494635,-0.247115,0.773326,0.363874,0.834736,4.26035
126,12527.4,1,0.897103,0.481366,-0.247315,0.778073,0.376532,0.823092,4.33639
127,12530.2,1,0.8804,0.479274,-0.247448,0.792719,0.372132,0.831236,4.34629
128,12462.9,1,0.862495,0.493648,-0.247003,0.810693,0.37184,0.839816,4.23624
129,12331.6,1,0.855586,0.500161,-0.247703,0.825804,0.368865,0.834697,4.12898
130,12286.7,1,0.865062,0.49552,-0.247083,0.834172,0.367512,0.851371,4.02443
131,12266.3,1,0.858685,0.495347,-0.246712,0.847397,0.365967,0.830896,4.04349
132,12361.4,1,0.868469,0.489414,-0.247381,0.831238,0.36628,0.854815,4.08968
133,12481.1,1,0.861836,0.489797,-0.246213,0.841725,0.379558,0.86291,4.12621
134,12457.9,1,0.854286,0.491339,-0.247121,0.859365,0.388429,0.841324,4.10149
135,12470.2,1,0.84764,0.496373,-0.247538,0.855481,0.388149,0.820021,4.18912
136,12429.1,1,0.866969,0.501216,-0.246786,0.823885,0.378321,0.82024,4.22002
137,12439.2,1,0.88814,0.49416,-0.245993,0.80913,0.372397,0.832939,4.216
138,12432.8,1,0.873075,0.489121,-0.246769,0.815665,0.374387,0.840617,4.16843
139,12413.7,1,0.875156,0.491496,-0.246436,0.814637,0.366956,0.834769,4.21628
140,12423.5,1,0.884216,0.494415,-0.246727,0.809391,0.364237,0.840927,4.22988
141,12389.6,1,0.898533,0.489013,-0.246568,0.810162,0.365545,0.824152,4.22883
142,12431.2,1,0.883282,0.500169,-0.246851,0.799169,0.366908,0.83169,4.25005
143,12389.7,1,0.870431,0.501203,-0.247082,0.807454,0.370919,0.828642,4.17497
144,12366.7,1,0.87711,0.496978,-0.247072,0.808193,0.379625,0.817976,4.11672
145,12337.5,1,0.877284,0.496643,-0.247051,0.806573,0.375846,0.826244,4.07898
146,12199.6,1,0.87983,0.489683,-0.246202,0.802675,0.370021,0.833891,3.97569
147,12214.9,1,0.893338,0.488281,-0.246733,0.784394,0.368782,0.841531,3.92501
148,12294.7,1,0.883193,0.493307,-0.247258,0.79347,0.373143,0.841631,3.99503
149,12361.2,1,0.875217,0.48924,-0.246014,0.796358,0.380668,0.82926,4.06603
150,12346,1,0.901333,0.49113,-0.247811,0.764782,0.380956,0.818137,4.07886
151,12238.8,1,0.887124,0.487139,-0.24712,0.766286,0.374239,0.818082,3.98842
152,12192.4,1,0.889012,0.488199,-0.247618,0.767926,0.364874,0.833781,3.94713
153,12204.4,1,0.879078,0.48563,-0.247383,0.783706,0.360145,0.817142,4.04791
154,12192.1,1,0.885349,0.488051,-0.247557,0.775956,0.351026,0.828754,4.07221
155,12229.2,1,0.875857,0.484554,-0.247926,0.793764,0.356752,0.828257,4.06989
156,12276.4,1,0.884973,0.486676,-0.247812,0.790549,0.364274,0.829243,4.07255
157,12262.3,1,0.899832,0.492767,-0.248598,0.75548,0.370647,0.818522,4.04199
158,12262.1,1,0.892488,0.495257,-0.247378,0.762688,0.36728,0.835126,4.01405
159,12212.6,1,0.882165,0.490801,-0.246638,0.777541,0.35798,0.838451,4.02455
160,12366.2,1,0.89322,0.483894,-0.246663,0.773301,0.372982,0.862967,4.02228
161,12412.3,1,0.867281,0.484063,-0.247621,0.776303,0.380171,0.853983,4.05855
162,12176,1,0.849055,0.479097,-0.247364,0.793499,0.370545,0.832359,3.96948
163,12171.3,1,0.839108,0.478397,-0.24816,0.817746,0.363725,0.8303,3.94015
