iteration,convergenceIndicator,phase,Vpop_pop,Clpop_pop,thetaAge_pop,thetaCr_pop,omega_V,omega_Cl,a
306,12334.9,2,0.876837,0.496879,-0.24712,0.775594,0.36195,0.835098,4.12426
307,12276.4,2,0.877557,0.496882,-0.247061,0.774256,0.360619,0.841306,4.10236
308,12357,2,0.878017,0.496017,-0.247103,0.772415,0.360236,0.840889,4.12023
309,12369.3,2,0.879424,0.49601,-0.247105,0.771729,0.36142,0.840095,4.12707
310,12228.2,2,0.879402,0.496171,-0.247068,0.77198,0.362455,0.838026,4.1017
311,12321,2,0.878873,0.494531,-0.247021,0.772276,0.361022,0.839361,4.11077
312,12386.4,2,0.874995,0.49502,-0.246972,0.775835,0.360987,0.839322,4.12719
313,12230.5,2,0.873163,0.494909,-0.24699,0.777045,0.36201,0.839324,4.10076
314,12269.2,2,0.870757,0.495473,-0.247019,0.779057,0.361253,0.837883,4.10358
315,12335.6,2,0.870638,0.495402,-0.246917,0.778728,0.362583,0.837471,4.10045
316,12340.7,2,0.870202,0.495707,-0.246901,0.777712,0.361476,0.839186,4.10862
317,12218.3,2,0.871215,0.495235,-0.246917,0.776956,0.360315,0.83858,4.1049
318,12265.3,2,0.870368,0.494929,-0.246878,0.776655,0.360567,0.836045,4.10605
319,12189,2,0.871017,0.494888,-0.246832,0.775163,0.359716,0.835006,4.10123
320,12265.2,2,0.872561,0.495123,-0.246929,0.773523,0.359867,0.834633,4.09859
321,12326.3,2,0.873354,0.495485,-0.246909,0.771138,0.360046,0.834933,4.10116
322,12302.1,2,0.874097,0.495604,-0.246851,0.770431,0.359892,0.835537,4.10186
323,12311.4,2,0.874168,0.494841,-0.24696,0.770558,0.35969,0.834953,4.10758
324,12238.5,2,0.874394,0.494806,-0.246941,0.771292,0.359679,0.835303,4.10142
325,12294.7,2,0.875137,0.49476,-0.246902,0.771974,0.359538,0.835421,4.10277
326,12354.9,2,0.875092,0.494744,-0.246889,0.772277,0.359631,0.835625,4.10312
327,12400.3,2,0.874954,0.494849,-0.246892,0.772587,0.359502,0.835967,4.10583
328,12382.2,2,0.874731,0.49485,-0.246911,0.772854,0.359623,0.836063,4.10685
329,12477.4,2,0.874472,0.49486,-0.246913,0.773023,0.359849,0.836237,4.10909
330,12357.5,2,0.874547,0.49501,-0.24691,0.772938,0.359815,0.836306,4.11059
331,12420.3,2,0.874654,0.495104,-0.246916,0.772892,0.359887,0.836606,4.11196
332,12306.7,2,0.874652,0.495104,-0.246926,0.772734,0.359929,0.836373,4.11257
333,12342.5,2,0.874398,0.49513,-0.246948,0.773014,0.360236,0.836112,4.11206
334,12315.7,2,0.87473,0.495184,-0.24694,0.772478,0.360321,0.835957,4.11225
335,12273.9,2,0.874805,0.495282,-0.246926,0.771997,0.36032,0.835658,4.11265
336,12289.3,2,0.87511,0.495279,-0.246931,0.771574,0.360266,0.835527,4.11325
337,12330.4,2,0.875404,0.495398,-0.246924,0.771489,0.360418,0.835329,4.11338
338,12414.5,2,0.875368,0.495349,-0.246912,0.771632,0.360504,0.83516,4.11567
339,12288.9,2,0.875536,0.495241,-0.246921,0.771523,0.360624,0.835033,4.11488
340,12148.9,2,0.875481,0.4952,-0.246927,0.771466,0.360477,0.834644,4.11416
341,12222.8,2,0.875434,0.495224,-0.246929,0.771465,0.360469,0.834383,4.11353
342,12289.6,2,0.875519,0.495157,-0.246924,0.771513,0.360349,0.83415,4.11503
343,12415.2,2,0.875514,0.495123,-0.246924,0.771682,0.36039,0.834117,4.1171
344,12333.6,2,0.875702,0.495163,-0.246921,0.771505,0.360423,0.834137,4.11741
345,12271.2,2,0.875616,0.495241,-0.24692,0.771771,0.360413,0.834138,4.11692
346,12323.1,2,0.875629,0.495223,-0.246899,0.771591,0.360456,0.834261,4.1166
347,12276.7,2,0.875602,0.495337,-0.246899,0.771375,0.360488,0.834128,4.11635
348,12173,2,0.875453,0.495447,-0.246895,0.771465,0.360276,0.83419,4.11545
349,12247.9,2,0.87541,0.495513,-0.246898,0.771411,0.360341,0.834126,4.11425
350,12387.3,2,0.875492,0.49548,-0.246895,0.771578,0.360542,0.833748,4.11554
351,12394.2,2,0.875728,0.495418,-0.246899,0.771501,0.360608,0.833895,4.1162
352,12330.5,2,0.875568,0.495405,-0.246922,0.771698,0.360783,0.833899,4.11536
353,12214.7,2,0.875458,0.495459,-0.246931,0.771762,0.360797,0.833601,4.11477
354,12242.8,2,0.875583,0.495447,-0.246927,0.771749,0.360756,0.833534,4.11436
355,12286.1,2,0.875688,0.495374,-0.24693,0.771774,0.360804,0.833457,4.11402
356,12270.6,2,0.875713,0.495254,-0.246932,0.771773,0.36083,0.833127,4.11446
357,12243.9,2,0.875855,0.495231,-0.246924,0.771729,0.360711,0.833071,4.11467
358,12297.2,2,0.875888,0.495247,-0.246917,0.771713,0.360737,0.833197,4.11404
359,12476.9,2,0.876029,0.495205,-0.246915,0.771731,0.360911,0.833452,4.11467
360,12259.1,2,0.876139,0.495116,-0.246914,0.771813,0.360897,0.833329,4.11455
361,12145.2,2,0.876092,0.495076,-0.246916,0.772139,0.360745,0.83307,4.1142
362,12303.6,2,0.876203,0.495028,-0.246927,0.772109,0.360701,0.833077,4.1146
363,12246,2,0.876055,0.494979,-0.246929,0.772246,0.360654,0.83287,4.11486
364,12313.2,2,0.876192,0.494932,-0.246925,0.77229,0.360606,0.832826,4.11561
365,12299.2,2,0.876125,0.494846,-0.246923,0.772466,0.360651,0.832627,4.11595
366,12361.6,2,0.876122,0.494735,-0.246921,0.772475,0.360727,0.832594,4.11641
