pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.592478,0.0526316,-0.595885,0.0526316,-0.498245,0.0526316,All
-0.586459,0.0532657,-0.589097,0.0532657,-0.497565,0.0532657,All
-0.57737,0.0538998,-0.586128,0.0538998,-0.496567,0.0538998,All
-0.575691,0.0545339,-0.579293,0.0545339,-0.49129,0.0545339,All
-0.568708,0.055168,-0.5735,0.055168,-0.489849,0.055168,All
-0.566811,0.0558022,-0.57189,0.0558022,-0.487781,0.0558022,All
-0.560257,0.0564363,-0.564797,0.0564363,-0.484981,0.0564363,All
-0.552529,0.0570704,-0.563822,0.0570704,-0.483858,0.0570704,All
-0.550819,0.0577045,-0.560748,0.0577045,-0.464278,0.0577045,All
-0.546222,0.0583386,-0.559706,0.0583386,-0.454987,0.0583386,All
-0.545595,0.0589727,-0.551489,0.0589727,-0.454473,0.0589727,All
-0.54446,0.0596068,-0.55091,0.0596068,-0.453075,0.0596068,All
-0.541248,0.060241,-0.54094,0.060241,-0.435523,0.060241,All
-0.539616,0.0608751,-0.534629,0.0608751,-0.432881,0.0608751,All
-0.538819,0.0615092,-0.520916,0.0615092,-0.42514,0.0615092,All
-0.538309,0.0621433,-0.52044,0.0621433,-0.420311,0.0621433,All
-0.53681,0.0627774,-0.516969,0.0627774,-0.418858,0.0627774,All
-0.535191,0.0634115,-0.516247,0.0634115,-0.418611,0.0634115,All
-0.532928,0.0640457,-0.491769,0.0640457,-0.410526,0.0640457,All
-0.530441,0.0646798,-0.486169,0.0646798,-0.408158,0.0646798,All
-0.528293,0.0653139,-0.476611,0.0653139,-0.405484,0.0653139,All
-0.527423,0.065948,-0.474267,0.065948,-0.402648,0.065948,All
-0.526029,0.0665821,-0.468925,0.0665821,-0.400784,0.0665821,All
-0.522642,0.0672162,-0.464482,0.0672162,-0.400596,0.0672162,All
-0.520655,0.0678503,-0.462767,0.0678503,-0.400503,0.0678503,All
-0.520278,0.0684845,-0.457148,0.0684845,-0.393943,0.0684845,All
-0.517942,0.0691186,-0.456577,0.0691186,-0.390285,0.0691186,All
-0.517115,0.0697527,-0.455116,0.0697527,-0.381446,0.0697527,All
-0.51325,0.0703868,-0.451699,0.0703868,-0.378916,0.0703868,All
-0.505487,0.0710209,-0.451165,0.0710209,-0.377503,0.0710209,All
-0.499283,0.071655,-0.449489,0.071655,-0.375012,0.071655,All
-0.492971,0.0722892,-0.449335,0.0722892,-0.373972,0.0722892,All
-0.490634,0.0729233,-0.446143,0.0729233,-0.369219,0.0729233,All
-0.482399,0.0735574,-0.441974,0.0735574,-0.368806,0.0735574,All
-0.479438,0.0741915,-0.439409,0.0741915,-0.367648,0.0741915,All
-0.478474,0.0748256,-0.438785,0.0748256,-0.365574,0.0748256,All
-0.473619,0.0754597,-0.437644,0.0754597,-0.363806,0.0754597,All
-0.473138,0.0760938,-0.435692,0.0760938,-0.363445,0.0760938,All
-0.471632,0.076728,-0.431424,0.076728,-0.360992,0.076728,All
-0.470485,0.0773621,-0.423586,0.0773621,-0.360965,0.0773621,All
-0.468633,0.0779962,-0.422486,0.0779962,-0.360844,0.0779962,All
-0.468594,0.0786303,-0.421847,0.0786303,-0.358564,0.0786303,All
-0.466894,0.0792644,-0.419292,0.0792644,-0.357336,0.0792644,All
-0.466866,0.0798985,-0.416936,0.0798985,-0.356582,0.0798985,All
-0.46571,0.0805327,-0.415931,0.0805327,-0.355364,0.0805327,All
-0.462882,0.0811668,-0.41563,0.0811668,-0.352842,0.0811668,All
-0.458225,0.0818009,-0.41407,0.0818009,-0.349879,0.0818009,All
-0.455302,0.082435,-0.412267,0.082435,-0.344797,0.082435,All
-0.454738,0.0830691,-0.408235,0.0830691,-0.34092,0.0830691,All
-0.453832,0.0837032,-0.406528,0.0837032,-0.335359,0.0837032,All
-0.45348,0.0843373,-0.406453,0.0843373,-0.330891,0.0843373,All
-0.452071,0.0849715,-0.405432,0.0849715,-0.326803,0.0849715,All
-0.44833,0.0856056,-0.400436,0.0856056,-0.324625,0.0856056,All
-0.447554,0.0862397,-0.399263,0.0862397,-0.322841,0.0862397,All
-0.444295,0.0868738,-0.397267,0.0868738,-0.320393,0.0868738,All
-0.441336,0.0875079,-0.393172,0.0875079,-0.318961,0.0875079,All
-0.440846,0.088142,-0.391976,0.088142,-0.309765,0.088142,All
-0.440653,0.0887762,-0.391618,0.0887762,-0.309271,0.0887762,All
-0.438343,0.0894103,-0.391279,0.0894103,-0.305366,0.0894103,All
-0.434803,0.0900444,-0.38965,0.0900444,-0.305274,0.0900444,All
-0.43192,0.0906785,-0.387624,0.0906785,-0.304731,0.0906785,All
