trans_Cl_vs_AGE_abscissa,trans_Cl_vs_AGE_spline,trans_Cl_vs_AGE_regression,trans_Cl_vs_CrCl_abscissa,trans_Cl_vs_CrCl_spline,trans_Cl_vs_CrCl_regression,trans_Cl_vs_CrCl_log_scaled_abscissa,trans_Cl_vs_CrCl_log_scaled_spline,trans_Cl_vs_CrCl_log_scaled_regression,trans_Cl_vs_WT_abscissa,trans_Cl_vs_WT_spline,trans_Cl_vs_WT_regression,trans_Cl_vs_logWT_abscissa,trans_Cl_vs_logWT_spline,trans_Cl_vs_logWT_regression,trans_V_vs_AGE_abscissa,trans_V_vs_AGE_spline,trans_V_vs_AGE_regression,trans_V_vs_CrCl_abscissa,trans_V_vs_CrCl_spline,trans_V_vs_CrCl_regression,trans_V_vs_CrCl_log_scaled_abscissa,trans_V_vs_CrCl_log_scaled_spline,trans_V_vs_CrCl_log_scaled_regression,trans_V_vs_WT_abscissa,trans_V_vs_WT_spline,trans_V_vs_WT_regression,trans_V_vs_logWT_abscissa,trans_V_vs_logWT_spline,trans_V_vs_logWT_regression,split
62.6364,0.668916,0.632885,183.293,2.20199,2.84953,-0.593383,0.949605,0.943774,138.979,0.838814,0.945568,4.51888,0.806623,0.689194,62.6364,4.34165,4.32184,183.293,4.71942,4.73092,-0.593383,4.34196,4.37229,138.979,4.57521,4.77174,4.51888,4.45626,4.42765,All
63.3636,0.597176,0.617407,186.28,2.21327,2.89887,-0.550018,1.15374,0.984933,140.877,0.837908,0.956828,4.54048,0.60585,0.700522,63.3636,4.33561,4.32114,186.28,4.72691,4.73997,-0.550018,4.39791,4.37868,140.877,4.58148,4.78701,4.54048,4.316,4.44354,All
64.0909,0.47554,0.601928,189.266,2.22432,2.94821,-0.506653,1.12524,1.02609,142.775,0.851469,0.968088,4.56208,0.780817,0.71185,64.0909,4.35709,4.32044,189.266,4.73438,4.74901,-0.506653,4.41541,4.38507,142.775,4.60383,4.80228,4.56208,4.4789,4.45944,All
64.8182,0.564411,0.58645,192.253,2.2333,2.99755,-0.463288,1.18737,1.06725,144.673,0.877142,0.979348,4.58368,0.668522,0.723178,64.8182,4.2888,4.31973,192.253,4.74168,4.75806,-0.463288,4.49102,4.39146,144.673,4.63956,4.81755,4.58368,4.5383,4.47533,All
65.5455,0.557012,0.570972,195.239,2.24227,3.0469,-0.419923,1.15424,1.10841,146.571,0.910485,0.990608,4.60528,0.778418,0.734505,65.5455,4.29791,4.31903,195.239,4.74899,4.7671,-0.419923,4.30008,4.39786,146.571,4.68365,4.83282,4.60528,4.54467,4.49123,All
66.2727,0.544554,0.555494,198.226,2.2504,3.09624,-0.376558,1.17943,1.14957,148.469,0.948054,1.00187,4.62688,0.693212,0.745833,66.2727,4.32689,4.31833,198.226,4.75629,4.77615,-0.376558,4.42842,4.40425,148.469,4.73218,4.84809,4.62688,4.55723,4.50712,All
67,0.577144,0.540016,201.213,2.2577,3.14558,-0.333193,1.16398,1.19073,150.367,0.986114,1.01313,4.64848,0.597602,0.757161,67,4.34601,4.31762,201.213,4.76363,4.78519,-0.333193,4.44049,4.41064,150.367,4.78098,4.86336,4.64848,4.55072,4.52302,All
67.7273,0.552643,0.524538,204.199,2.26418,3.19492,-0.289828,1.32655,1.23189,152.265,1.02079,1.02439,4.67008,0.838624,0.768489,67.7273,4.30973,4.31692,204.199,4.77114,4.79424,-0.289828,4.38321,4.41703,152.265,4.82553,4.87863,4.67008,4.56757,4.53891,All
68.4545,0.453681,0.50906,207.186,2.27065,3.24426,-0.246463,1.49151,1.27304,154.163,1.04825,1.03565,4.69168,0.844869,0.779817,68.4545,4.26182,4.31622,207.186,4.77866,4.80328,-0.246463,4.52224,4.42342,154.163,4.86148,4.8939,4.69168,4.56693,4.55481,All
69.1818,0.398531,0.493582,210.173,2.27713,3.2936,-0.203098,1.23852,1.3142,156.061,1.07543,1.04691,4.71328,0.644903,0.791145,69.1818,4.23715,4.31551,210.173,4.78618,4.81233,-0.203098,4.35716,4.42981,156.061,4.89708,4.90917,4.71328,4.61608,4.5707,All
69.9091,0.608851,0.478104,213.159,2.28363,3.34294,-0.159733,1.53942,1.35536,157.959,1.09359,1.05817,4.73489,0.751385,0.802472,69.9091,4.30309,4.31481,213.159,4.79434,4.82138,-0.159733,4.52263,4.43621,157.959,4.92193,4.92444,4.73489,4.64346,4.5866,All
70.6364,0.543711,0.462626,216.146,2.29013,3.39229,-0.116369,1.48326,1.39652,159.857,1.10878,1.06943,4.75649,0.827348,0.8138,70.6364,4.3559,4.31411,216.146,4.80271,4.83042,-0.116369,4.48188,4.4426,159.857,4.94325,4.93971,4.75649,4.62003,4.60249,All
71.3636,0.459321,0.447148,219.132,2.29663,3.44163,-0.0730036,1.33505,1.43768,161.755,1.11829,1.08069,4.77809,0.813802,0.825128,71.3636,4.31619,4.3134,219.132,4.81107,4.83947,-0.0730036,4.40928,4.44899,161.755,4.95777,4.95498,4.77809,4.57952,4.61839,All
72.0909,0.406238,0.43167,222.119,2.30313,3.49097,-0.0296387,1.46525,1.47884,163.653,1.12319,1.09195,4.79969,0.820697,0.836456,72.0909,4.21605,4.3127,222.119,4.81943,4.84851,-0.0296387,4.51477,4.45538,163.653,4.96675,4.97025,4.79969,4.57912,4.63429,All
72.8182,0.431579,0.416192,225.106,2.31645,3.54031,0.0137262,1.58014,1.52,165.551,1.12309,1.10321,4.82129,0.87413,0.847784,72.8182,4.32755,4.312,225.106,4.83069,4.85756,0.0137262,4.5366,4.46177,165.551,4.96971,4.98552,4.82129,4.62253,4.65018,All
73.5455,0.355239,0.400714,228.092,2.34589,3.58965,0.0570911,1.59837,1.56116,167.448,1.12298,1.11447,4.84289,0.933984,0.859112,73.5455,4.30375,4.31129,228.092,4.84877,4.8666,0.0570911,4.46379,4.46816,167.448,4.97267,5.00079,4.84289,4.67197,4.66608,All
74.2727,0.291306,0.385236,231.079,2.37532,3.63899,0.100456,1.56034,1.60231,169.346,1.12287,1.12573,4.86449,0.959522,0.87044,74.2727,4.29828,4.31059,231.079,4.86686,4.87565,0.100456,4.40568,4.47455,169.346,4.97563,5.01606,4.86449,4.68977,4.68197,All
75,0.304543,0.369757,234.065,2.40475,3.68833,0.143821,1.51291,1.64347,171.244,1.11844,1.13699,4.88609,0.924418,0.881767,75,4.39854,4.30989,234.065,4.88494,4.88469,0.143821,4.40809,4.48095,171.244,4.97335,5.03133,4.88609,4.6522,4.69787,All
75.7273,0.195968,0.354279,237.052,2.43418,3.73768,0.187186,1.50341,1.68463,173.142,1.11136,1.14825,4.90769,0.862203,0.893095,75.7273,4.31486,4.30918,237.052,4.90303,4.89374,0.187186,4.43397,4.48734,173.142,4.96783,5.0466,4.90769,4.59241,4.71376,All
76.4545,0.317878,0.338801,240.039,2.46362,3.78702,0.230551,1.5375,1.72579,175.04,1.10357,1.15951,4.92929,0.814323,0.904423,76.4545,4.3466,4.30848,240.039,4.92111,4.90278,0.230551,4.46501,4.49373,175.04,4.96137,5.06187,4.92929,4.55154,4.72966,All
77.1818,0.445928,0.323323,243.025,2.49305,3.83636,0.273916,1.59607,1.76695,176.938,1.0944,1.17077,4.95089,0.815909,0.915751,77.1818,4.40386,4.30778,243.025,4.9392,4.91183,0.273916,4.49752,4.50012,176.938,4.95307,5.07714,4.95089,4.564,4.74555,All
