iteration,convergenceIndicator,phase,V_pop,beta_V_logtWT,Cl_pop,beta_Cl_SEX_1,beta_Cl_logtAGE,beta_Cl_logtCreatinine,omega_V,omega_Cl,b
244,11929,2,74.0795,0.76214,1.25663,0.460006,-0.838902,-0.863719,0.501699,0.655395,0.216238
245,11847,2,73.9331,0.767168,1.25647,0.46581,-0.826016,-0.865762,0.504998,0.649659,0.215837
246,11849,2,74.5366,0.766675,1.25065,0.456869,-0.82666,-0.877193,0.506551,0.653607,0.214479
247,11807.3,2,74.7364,0.776357,1.24266,0.469401,-0.833901,-0.873867,0.505451,0.649939,0.214213
248,11855.2,2,74.9079,0.772751,1.23198,0.475625,-0.866334,-0.858785,0.507801,0.650458,0.213741
249,11947,2,74.6631,0.775152,1.23234,0.472768,-0.883573,-0.849729,0.513048,0.655354,0.21371
250,11871,2,74.6589,0.749177,1.23341,0.474265,-0.886995,-0.845722,0.516553,0.652727,0.213433
251,11823.6,2,74.8027,0.727478,1.24188,0.47255,-0.882117,-0.842221,0.516232,0.650461,0.213341
252,11858.9,2,74.6667,0.720539,1.24047,0.47728,-0.876471,-0.837794,0.514309,0.653981,0.213187
253,11877,2,74.2986,0.726275,1.22867,0.493199,-0.866257,-0.843357,0.50914,0.65559,0.213779
254,11928,2,74.319,0.731153,1.23704,0.484633,-0.854117,-0.840037,0.509145,0.661325,0.21363
255,11819.9,2,74.4117,0.738994,1.25042,0.476684,-0.85492,-0.835237,0.506911,0.664084,0.213013
256,11787.6,2,74.4424,0.72781,1.25701,0.469624,-0.874517,-0.83217,0.504274,0.663529,0.212825
257,11724.1,2,74.3846,0.724031,1.2552,0.47702,-0.874114,-0.833081,0.503931,0.662125,0.212056
258,11731.4,2,74.5297,0.722696,1.25668,0.478855,-0.876556,-0.828437,0.501145,0.661187,0.212051
259,11807.3,2,74.3833,0.721435,1.26364,0.46896,-0.880697,-0.83195,0.500857,0.662439,0.211687
260,11767.9,2,74.2624,0.723768,1.27155,0.462498,-0.874164,-0.83223,0.502088,0.659386,0.211428
261,11726,2,74.0653,0.725475,1.27937,0.457676,-0.86749,-0.833451,0.503289,0.657248,0.210662
262,11791.8,2,73.975,0.729433,1.28016,0.453041,-0.870511,-0.83779,0.503465,0.657842,0.21027
263,11819.8,2,73.805,0.72538,1.2796,0.455273,-0.865536,-0.839554,0.503321,0.657298,0.210367
264,11731.5,2,73.7423,0.725948,1.28299,0.451027,-0.866237,-0.839693,0.504511,0.655007,0.209757
265,11696.7,2,73.7943,0.723856,1.27749,0.457111,-0.870142,-0.842719,0.504714,0.653941,0.209264
266,11841.9,2,73.7933,0.723923,1.27695,0.456585,-0.870886,-0.843652,0.505807,0.651539,0.209723
267,11774,2,73.8024,0.727041,1.27264,0.460426,-0.873389,-0.846539,0.505051,0.651596,0.209763
268,11849.7,2,73.8744,0.721872,1.27169,0.461782,-0.877063,-0.84573,0.505233,0.651819,0.210219
269,11851.8,2,73.9339,0.718142,1.26578,0.465985,-0.878572,-0.848955,0.506192,0.65281,0.210056
270,11851.7,2,74.0255,0.713589,1.26175,0.469326,-0.880393,-0.84884,0.505895,0.653221,0.210235
271,11847.8,2,74.0403,0.712888,1.26033,0.471715,-0.882631,-0.851705,0.506275,0.654583,0.210186
272,11842.5,2,74.048,0.709009,1.26263,0.470778,-0.881994,-0.851325,0.506889,0.653708,0.210374
273,11761.7,2,74.0384,0.709058,1.26269,0.471,-0.882387,-0.850985,0.506843,0.653674,0.210368
274,11866.5,2,74.0197,0.709482,1.26287,0.470645,-0.882536,-0.850362,0.50701,0.653466,0.210441
275,11782.6,2,74.0098,0.708461,1.26206,0.471798,-0.882137,-0.850805,0.506931,0.653139,0.210488
276,11743.2,2,74.0465,0.708337,1.26135,0.472084,-0.881362,-0.851084,0.506723,0.652926,0.210506
277,11768.4,2,74.032,0.708217,1.26202,0.472206,-0.880343,-0.849992,0.50692,0.652758,0.210475
278,11741.2,2,74.0246,0.708583,1.26258,0.471871,-0.8799,-0.850097,0.506922,0.652731,0.210439
279,11801.1,2,74.0363,0.708226,1.26241,0.471839,-0.880318,-0.849792,0.506987,0.652558,0.210466
280,11936.7,2,74.0243,0.708596,1.26248,0.471241,-0.879486,-0.849765,0.506976,0.652622,0.210605
281,11791.8,2,74.0355,0.708361,1.26183,0.472121,-0.880597,-0.849363,0.506935,0.652598,0.210632
282,11787.3,2,74.0391,0.706916,1.26187,0.472425,-0.881523,-0.848696,0.506613,0.65288,0.210644
283,11853.4,2,74.0543,0.706344,1.26199,0.472224,-0.881932,-0.848256,0.506646,0.653095,0.210656
284,11843.8,2,74.0923,0.706151,1.26158,0.472146,-0.881447,-0.848186,0.506848,0.653354,0.210588
285,11816.7,2,74.1237,0.706819,1.26132,0.472135,-0.8808,-0.84776,0.506948,0.653649,0.210538
286,11850.6,2,74.1299,0.706656,1.26099,0.472422,-0.880989,-0.847665,0.507004,0.653898,0.210506
287,11918.8,2,74.1367,0.706465,1.25995,0.473095,-0.881925,-0.848187,0.50704,0.654225,0.210545
288,11767.7,2,74.1368,0.70689,1.25953,0.473682,-0.881456,-0.848872,0.50679,0.654315,0.21056
289,11821.4,2,74.1475,0.705753,1.25905,0.474511,-0.881141,-0.848804,0.506647,0.6543,0.21062
290,11863.1,2,74.1373,0.706474,1.25939,0.474198,-0.881597,-0.848499,0.50672,0.654228,0.21069
291,11837.1,2,74.1374,0.705961,1.25976,0.474032,-0.881838,-0.848406,0.506921,0.654138,0.210708
292,11873.2,2,74.139,0.705254,1.25969,0.47415,-0.881251,-0.848343,0.507269,0.654104,0.2107
293,11876.5,2,74.1376,0.704985,1.26007,0.473623,-0.881367,-0.848439,0.50715,0.654223,0.21075
294,11815.3,2,74.1234,0.704274,1.26049,0.473315,-0.880727,-0.847775,0.507185,0.653999,0.210775
295,11875.5,2,74.1156,0.704156,1.25996,0.473697,-0.880127,-0.84783,0.5073,0.65411,0.21078
296,11751.1,2,74.1197,0.70356,1.25969,0.473794,-0.879993,-0.847682,0.507321,0.654021,0.210717
297,11930.6,2,74.123,0.702764,1.2596,0.473858,-0.880151,-0.847942,0.507377,0.654308,0.210741
298,11862.1,2,74.1186,0.702136,1.25993,0.473423,-0.87968,-0.848221,0.507579,0.654439,0.210697
299,11901.4,2,74.1112,0.701822,1.25959,0.47361,-0.880314,-0.848644,0.507656,0.654224,0.210796
300,11788.3,2,74.1087,0.701848,1.25901,0.474154,-0.880627,-0.848754,0.507588,0.654095,0.210797
301,11849.8,2,74.1076,0.702643,1.25875,0.474551,-0.8809,-0.848954,0.507721,0.653959,0.210805
302,11768.6,2,74.1226,0.703418,1.25813,0.47498,-0.881056,-0.849389,0.507698,0.653926,0.210789
303,11754.5,2,74.1176,0.703493,1.25793,0.47531,-0.881749,-0.849226,0.507663,0.653986,0.21074
304,11714.2,2,74.1009,0.704563,1.25849,0.475315,-0.881573,-0.849284,0.507569,0.653925,0.210728
305,11877.7,2,74.0852,0.704362,1.25836,0.475573,-0.880694,-0.849728,0.507486,0.653902,0.210811
306,11984.7,2,74.1026,0.703915,1.25736,0.476307,-0.879445,-0.850266,0.507487,0.654451,0.210824
307,11807,2,74.0937,0.704293,1.2569,0.476866,-0.879082,-0.850495,0.507555,0.654795,0.210732
308,11952.8,2,74.0864,0.704336,1.25627,0.477305,-0.878761,-0.850064,0.507638,0.654981,0.21077
309,11910,2,74.0955,0.704125,1.25586,0.477337,-0.878258,-0.850041,0.50776,0.654967,0.210812
310,11879,2,74.1014,0.704577,1.25575,0.477244,-0.877569,-0.84997,0.507915,0.655074,0.210801
311,11874.6,2,74.1112,0.705453,1.25576,0.477193,-0.875356,-0.850214,0.507966,0.655237,0.210842
312,11890.1,2,74.1185,0.705364,1.25517,0.478,-0.874985,-0.850161,0.507996,0.655135,0.210907
313,11799.8,2,74.1241,0.705323,1.25494,0.478054,-0.875078,-0.85018,0.508014,0.655062,0.210895
314,11912.7,2,74.1256,0.705233,1.25514,0.477807,-0.873959,-0.849719,0.508068,0.655167,0.210934
315,11860.3,2,74.1188,0.705558,1.25464,0.477962,-0.872742,-0.849797,0.508002,0.655325,0.210932
316,11880.2,2,74.1134,0.704856,1.25444,0.478162,-0.873308,-0.849708,0.508174,0.655344,0.210922
317,11791,2,74.1135,0.705169,1.25446,0.478127,-0.873294,-0.849686,0.508227,0.655383,0.210871
318,11822.5,2,74.0887,0.704917,1.25446,0.478424,-0.872957,-0.849648,0.508178,0.655281,0.210895
