iteration,convergenceIndicator,phase,V_pop,beta_V_logtWT,Cl_pop,beta_Cl_SEX_1,beta_Cl_logtAGE,beta_Cl_logtCreatinine,omega_V,omega_Cl,b
57,12029.8,1,74.3614,0.562306,1.21281,0.494843,-0.864471,-0.862169,0.532969,0.675132,0.214588
58,11884.3,1,74.1365,0.536012,1.24808,0.470555,-0.864265,-0.876773,0.519474,0.658037,0.213673
59,11831.2,1,73.6701,0.650974,1.27067,0.466686,-0.854605,-0.83828,0.506321,0.656298,0.212817
60,11879.3,1,74.2336,0.661899,1.27744,0.442121,-0.844083,-0.816232,0.495242,0.676799,0.213765
61,11896.7,1,74.8319,0.690656,1.24969,0.46175,-0.807964,-0.831824,0.483867,0.683831,0.217174
62,11965.6,1,73.927,0.645916,1.22004,0.495504,-0.862154,-0.87248,0.49642,0.691435,0.215233
63,11947.3,1,75.1587,0.635519,1.20164,0.507164,-0.872729,-0.867987,0.484394,0.69221,0.218933
64,11973.3,1,75.8415,0.599381,1.15098,0.564523,-0.974463,-0.871639,0.505798,0.679744,0.216307
65,12027.1,1,74.4075,0.586469,1.17939,0.526517,-0.95959,-0.889017,0.502273,0.698306,0.217952
66,11980.9,1,74.6593,0.65495,1.21445,0.503311,-0.872498,-0.8589,0.501898,0.680624,0.219294
67,11936.6,1,74.2739,0.730265,1.24527,0.461562,-0.846471,-0.838584,0.50817,0.675791,0.213074
68,11943.1,1,75.5263,0.686842,1.16329,0.523797,-0.885193,-0.866881,0.512445,0.678189,0.211658
69,12023.9,1,77.1135,0.588642,1.1954,0.475318,-0.991652,-0.864851,0.510391,0.687321,0.217073
70,11950.6,1,77.8437,0.647704,1.22566,0.423368,-0.925665,-0.869473,0.514292,0.689372,0.210839
71,12039.3,1,76.3353,0.719667,1.19654,0.49128,-0.911069,-0.928312,0.524391,0.675478,0.21555
72,12019.8,1,75.2159,0.69846,1.22153,0.473393,-0.90579,-0.907408,0.511113,0.676028,0.220663
73,11933.8,1,77.2165,0.68204,1.19462,0.482167,-0.867919,-0.909873,0.511376,0.688588,0.211256
74,11845.6,1,75.8565,0.662854,1.17792,0.512634,-0.845505,-0.882641,0.503537,0.673562,0.209121
75,11801.5,1,77.0262,0.710813,1.19423,0.509061,-0.793773,-0.836931,0.497632,0.674949,0.209488
76,11845.7,1,76.317,0.727936,1.18589,0.506336,-0.780889,-0.853695,0.508178,0.673488,0.209817
77,11892.4,1,76.446,0.727177,1.20709,0.478457,-0.791761,-0.826907,0.522742,0.662324,0.209693
78,11864.1,1,74.5795,0.766718,1.20038,0.526773,-0.77065,-0.81692,0.516941,0.658924,0.20996
79,11787.4,1,73.2809,0.793262,1.22766,0.503878,-0.852704,-0.853932,0.520548,0.643179,0.20723
80,11736.1,1,74.4277,0.79474,1.23708,0.455638,-0.836704,-0.869799,0.518112,0.670261,0.199791
81,11827.5,1,73.9576,0.724555,1.28037,0.431207,-0.817829,-0.831274,0.535696,0.674349,0.201731
82,11800.5,1,74.091,0.670395,1.23544,0.472225,-0.748708,-0.854517,0.535089,0.657274,0.204303
83,11797.5,1,74.9274,0.675968,1.25618,0.464868,-0.858088,-0.851476,0.524374,0.64807,0.207386
84,11825.9,1,75.471,0.695048,1.22631,0.490302,-0.758894,-0.888458,0.523093,0.65504,0.208656
85,11774.9,1,74.1931,0.674606,1.23453,0.500725,-0.885517,-0.899463,0.51842,0.642519,0.207243
86,11726.4,1,74.39,0.649563,1.25403,0.498665,-0.895522,-0.870865,0.525474,0.637391,0.204501
87,11820.6,1,74.6029,0.630016,1.24708,0.482753,-0.91197,-0.884395,0.534597,0.644405,0.205122
88,11830.5,1,73.3306,0.655032,1.24517,0.477593,-0.863161,-0.879123,0.542921,0.659753,0.20161
89,11875.8,1,73.3083,0.675084,1.26239,0.468584,-0.904575,-0.826835,0.529174,0.671431,0.206354
90,11838.1,1,72.3799,0.664176,1.24162,0.483646,-0.886208,-0.838484,0.542049,0.67191,0.200953
91,11855.2,1,72.905,0.709,1.27957,0.434854,-0.851123,-0.837664,0.539321,0.670742,0.202792
92,11791.6,1,72.6463,0.770024,1.29714,0.411398,-0.886444,-0.831601,0.525665,0.659356,0.20564
93,11777.3,1,71.4393,0.694389,1.27026,0.443323,-0.908324,-0.811253,0.518403,0.661489,0.204073
94,11801.8,1,72.2025,0.731902,1.21813,0.52981,-0.879756,-0.825251,0.535995,0.647564,0.205059
95,11916.7,1,73.5092,0.732241,1.21929,0.522143,-0.924011,-0.836578,0.54527,0.639646,0.210994
96,11889.4,1,74.4343,0.638809,1.19617,0.55782,-0.911606,-0.856377,0.551027,0.630557,0.210954
97,11866.7,1,75.0164,0.676091,1.2272,0.520097,-0.861453,-0.864917,0.537075,0.639083,0.212725
98,11805.8,1,73.5951,0.634956,1.22318,0.530664,-0.819275,-0.860428,0.524727,0.635265,0.209653
99,11845.8,1,75.0657,0.60867,1.28557,0.437524,-0.913655,-0.831913,0.521947,0.650288,0.210561
100,11808.1,1,75.646,0.629637,1.23588,0.476,-0.858396,-0.861427,0.513482,0.652173,0.209273
101,11829,1,76.6295,0.599284,1.24448,0.455569,-0.910257,-0.897738,0.511257,0.668578,0.209376
102,11782.8,1,76.5778,0.608877,1.22177,0.501888,-0.799098,-0.902066,0.502461,0.669009,0.208124
103,11612.5,1,76.5921,0.612082,1.27058,0.474766,-0.774998,-0.896022,0.49447,0.662371,0.20074
104,11701.4,1,75.9538,0.619148,1.25792,0.474362,-0.84371,-0.927263,0.502627,0.651931,0.206568
105,11707.9,1,75.2738,0.582103,1.25547,0.472166,-0.846044,-0.875288,0.50407,0.652723,0.206936
106,11830.1,1,75.0884,0.580189,1.2344,0.498326,-0.796977,-0.844397,0.519111,0.665042,0.207495
107,11787.9,1,76.7853,0.584296,1.20082,0.536292,-0.814344,-0.870192,0.515209,0.653311,0.207198
108,11792.7,1,74.9497,0.596786,1.2326,0.517665,-0.867656,-0.851867,0.508896,0.658316,0.209195
109,11895.2,1,75.9695,0.60388,1.25004,0.48739,-0.913533,-0.84528,0.518435,0.677311,0.210904
110,11796,1,75.4584,0.592904,1.21639,0.557053,-0.868483,-0.818956,0.50696,0.660161,0.211124
111,11818.9,1,76.9246,0.560568,1.22776,0.506065,-0.878791,-0.801416,0.511281,0.657357,0.210959
112,11825.2,1,76.1709,0.603797,1.20228,0.509061,-0.864169,-0.849318,0.535315,0.650385,0.203923
113,11887.7,1,76.6723,0.563333,1.18167,0.531693,-0.799748,-0.858221,0.541101,0.656806,0.205712
114,11778.5,1,76.6067,0.628168,1.18929,0.525634,-0.90098,-0.884415,0.53648,0.658668,0.20158
115,11867.2,1,74.8242,0.620521,1.20804,0.526521,-0.931307,-0.867498,0.542567,0.645645,0.206274
116,11926.7,1,76.319,0.674946,1.17467,0.518442,-0.93763,-0.854897,0.542889,0.656992,0.208615
117,12008.4,1,77.5168,0.59495,1.21555,0.448939,-0.919589,-0.86779,0.52954,0.661975,0.215126
118,11921.5,1,77.6316,0.641631,1.21058,0.484805,-0.964699,-0.868016,0.536792,0.645213,0.214755
119,11951.9,1,76.3604,0.676954,1.22743,0.454803,-0.941081,-0.853422,0.535053,0.663177,0.210402
120,11893.1,1,74.5071,0.642696,1.24019,0.447321,-0.973876,-0.862509,0.522413,0.679642,0.206852
121,12010,1,74.9491,0.591158,1.21337,0.473598,-1.02081,-0.867108,0.526199,0.68097,0.212346
122,11942.3,1,75.6926,0.653283,1.19499,0.501101,-0.982673,-0.843108,0.51582,0.671267,0.213655
123,11975,1,74.4979,0.680243,1.20036,0.484322,-0.932161,-0.891064,0.522744,0.669247,0.21396
