iteration,convergenceIndicator,phase,V_pop,Cl_pop,omega_V,omega_Cl,a
94,11940.2,1,0.979082,4.62845,0.573815,0.624287,3.30663
95,11914.2,1,0.999345,4.63286,0.579369,0.616217,3.28801
96,11960.5,1,1.00192,4.64642,0.574724,0.620107,3.34074
97,11993.5,1,1.00086,4.64543,0.578759,0.624232,3.34615
98,11974.5,1,0.985511,4.70874,0.570419,0.611116,3.40267
99,12052.6,1,0.993842,4.66972,0.567129,0.626451,3.44614
100,11989.7,1,0.995084,4.60883,0.557045,0.622625,3.43124
101,12006.9,1,0.983913,4.60716,0.54926,0.622062,3.48287
102,11969.4,1,0.988368,4.66699,0.535352,0.626273,3.49258
103,11871.5,1,0.995137,4.64653,0.524164,0.629335,3.41464
104,11881.2,1,0.987915,4.63475,0.535045,0.613399,3.43688
105,11876.2,1,0.974921,4.73821,0.533851,0.610857,3.44327
106,11857.5,1,0.954723,4.81961,0.528689,0.619061,3.41339
107,11887.3,1,0.966369,4.72715,0.527737,0.626083,3.4258
108,11863.6,1,0.94597,4.84937,0.533651,0.6157,3.41044
109,11899,1,0.945246,4.80569,0.529023,0.623811,3.43934
110,11829.6,1,0.950702,4.77694,0.526912,0.608016,3.43397
111,11882.4,1,0.956683,4.78251,0.532605,0.625406,3.40167
112,11853.7,1,0.932871,4.77229,0.544611,0.60957,3.37837
113,11933.8,1,0.946111,4.78675,0.536937,0.625378,3.4386
114,12019.6,1,0.95375,4.8401,0.530875,0.632062,3.53593
115,11945.9,1,0.943159,4.76908,0.53772,0.61994,3.46774
116,11939.3,1,0.942054,4.74804,0.533578,0.623424,3.4653
117,11907.4,1,0.951439,4.68127,0.520068,0.626732,3.49136
118,11876,1,0.959873,4.79093,0.51149,0.610862,3.54426
119,11907.6,1,0.953147,4.72179,0.506898,0.612813,3.58769
120,11896.8,1,0.921957,4.86017,0.514337,0.617886,3.51987
121,12028.4,1,0.90586,4.74345,0.540369,0.60224,3.62336
122,12071.2,1,0.938265,4.76236,0.54165,0.616081,3.60529
123,12025.3,1,0.934775,4.78556,0.532713,0.615289,3.59446
124,11995.1,1,0.930747,4.90455,0.53457,0.624374,3.51837
125,11864.2,1,0.908625,4.90568,0.533057,0.608565,3.44032
126,11903.5,1,0.916745,4.93731,0.523107,0.613602,3.5039
127,11922.7,1,0.93161,4.8606,0.522492,0.625829,3.48484
128,11839.7,1,0.929549,4.74163,0.524715,0.640101,3.39661
129,11918.9,1,0.929205,4.62666,0.537356,0.641859,3.36226
130,11871,1,0.944153,4.69324,0.5391,0.647368,3.2878
131,11855.5,1,0.964519,4.67218,0.52545,0.643242,3.34476
132,11916.3,1,0.970842,4.66071,0.524171,0.655734,3.3711
133,11915.1,1,0.970498,4.57422,0.542426,0.639131,3.40127
134,11935.2,1,0.950522,4.62624,0.554182,0.633853,3.34151
135,11977,1,0.964319,4.69174,0.559495,0.634691,3.3635
136,12100.9,1,0.971167,4.68476,0.575099,0.631397,3.44853
137,12089.4,1,0.954733,4.50707,0.563751,0.624872,3.50262
138,12132.2,1,0.980429,4.50265,0.557256,0.647782,3.49733
139,12035.2,1,0.989696,4.66863,0.549785,0.637896,3.45599
140,11992.9,1,0.98503,4.67156,0.551729,0.641426,3.3898
141,11993.1,1,0.974259,4.59124,0.544808,0.649574,3.38931
142,11970.1,1,0.981408,4.68722,0.551074,0.637882,3.37967
143,11981.3,1,0.956702,4.76918,0.53712,0.640706,3.44696
144,11907.7,1,0.971331,4.66378,0.531835,0.637972,3.38977
145,11868.2,1,0.964167,4.70678,0.525367,0.630727,3.39866
146,11895.4,1,0.957172,4.66645,0.514134,0.630466,3.47703
147,12024.7,1,0.965376,4.60458,0.522561,0.63146,3.58151
148,11992.2,1,0.964741,4.65,0.533535,0.627011,3.51308
149,12023.4,1,0.977192,4.67913,0.54553,0.618399,3.52949
150,12013.3,2,0.966795,4.77069,0.543038,0.62247,3.51289
151,11981.2,2,0.976153,4.73432,0.537612,0.616512,3.52269
152,11971.3,2,0.98285,4.65189,0.541991,0.623167,3.46966
153,11976.5,2,0.97611,4.75168,0.528232,0.609751,3.58342
154,12085.8,2,0.97538,4.747,0.541814,0.627914,3.57493
155,12047.4,2,0.985016,4.68475,0.527617,0.648274,3.52924
156,12107.4,2,0.975421,4.67474,0.535549,0.650366,3.5443
157,11938,2,0.984572,4.64503,0.522565,0.644171,3.46704
158,11895,2,0.980719,4.61032,0.512534,0.622931,3.527
159,11910,2,0.976108,4.6631,0.52195,0.613664,3.52128
160,11996.4,2,0.975182,4.69148,0.528668,0.625577,3.52137
161,12040.9,2,0.998443,4.65711,0.523212,0.63528,3.56506
162,12078.6,2,0.999105,4.65079,0.53988,0.632276,3.54734
163,12146.4,2,1.00822,4.62149,0.532861,0.643102,3.60299
164,12118.9,2,1.01356,4.58324,0.532201,0.6475,3.5911
165,12165.1,2,1.01296,4.52032,0.530301,0.647195,3.63287
166,12062.7,2,1.01518,4.53244,0.526255,0.630793,3.65828
167,12108,2,0.996983,4.54917,0.534386,0.625142,3.64725
168,12220.7,2,0.995291,4.58364,0.538251,0.633319,3.66731
169,12047.6,2,1.00816,4.61377,0.533996,0.626508,3.64792
170,12199.9,2,1.00881,4.56815,0.534497,0.639598,3.64546
171,12151.4,2,1.00624,4.57609,0.53146,0.644002,3.64357
172,12157.8,2,0.991512,4.59232,0.529291,0.650092,3.63406
173,12192.6,2,0.990043,4.60935,0.536369,0.646807,3.63161
174,12079.8,2,0.989492,4.64778,0.532825,0.650459,3.59713
175,12056.2,2,0.990202,4.63643,0.529433,0.648579,3.58763
176,12051.3,2,0.989459,4.64263,0.527285,0.645246,3.58799
177,11969.5,2,0.98266,4.64502,0.523025,0.642248,3.57598
178,12025.4,2,0.979445,4.67139,0.522522,0.643331,3.56468
179,12097.7,2,0.97183,4.65454,0.524205,0.644896,3.56691
180,12064.5,2,0.969074,4.65573,0.529439,0.641801,3.55604
181,12066.6,2,0.963741,4.67222,0.532902,0.63881,3.55291
182,11923.1,2,0.957808,4.6986,0.533307,0.632725,3.53805
183,11998.8,2,0.953429,4.70449,0.530827,0.636746,3.52629
184,12052.2,2,0.954967,4.69547,0.529521,0.639445,3.52817
185,12048,2,0.955151,4.69518,0.531474,0.639787,3.52193
186,12116.3,2,0.955096,4.70843,0.534214,0.638877,3.5294
187,11938.9,2,0.956871,4.72226,0.534514,0.635042,3.5221
188,11916.5,2,0.959694,4.72064,0.534285,0.632452,3.51307
189,11865.1,2,0.960566,4.7158,0.533602,0.631486,3.49594
190,12010.5,2,0.964005,4.71306,0.532834,0.63278,3.49741
191,11936.9,2,0.963255,4.71514,0.531414,0.632997,3.49479
192,11966.2,2,0.965367,4.72042,0.530644,0.632983,3.4955
193,11914.6,2,0.965198,4.72427,0.529501,0.631912,3.49582
194,12052,2,0.962843,4.73901,0.530048,0.632584,3.4996
195,11884.7,2,0.960792,4.7505,0.528359,0.632681,3.49589
196,12031.5,2,0.959964,4.75836,0.528922,0.632534,3.49961
197,12055.9,2,0.959082,4.76131,0.529343,0.632515,3.50495
198,12021.2,2,0.957402,4.76546,0.529386,0.632842,3.50657
199,11838.4,2,0.956895,4.77638,0.528727,0.631175,3.50312
200,12060.3,2,0.957713,4.78027,0.529547,0.630618,3.50785
201,12071.4,2,0.957809,4.78088,0.530127,0.630455,3.50784
202,12017.2,2,0.957823,4.78071,0.530597,0.630321,3.50694
203,12019.4,2,0.957841,4.78042,0.530729,0.630414,3.50672
204,11869.2,2,0.957969,4.77841,0.530389,0.630591,3.50509
205,11938.7,2,0.958026,4.77748,0.530128,0.630765,3.50465
206,11902.1,2,0.957994,4.77701,0.530206,0.63056,3.5034
207,11886.8,2,0.957943,4.77467,0.530336,0.630607,3.50076
208,12026.9,2,0.958105,4.77386,0.530459,0.630739,3.50063
209,11926.9,2,0.958079,4.7729,0.530549,0.630643,3.49954
210,11981.4,2,0.958274,4.77003,0.530478,0.630533,3.50027
211,12056.9,2,0.958462,4.76946,0.530608,0.630624,3.50078
212,11881.8,2,0.958511,4.76881,0.530538,0.630326,3.50035
213,12003.4,2,0.958521,4.76822,0.530499,0.630414,3.50061
214,11993,2,0.958728,4.76599,0.530406,0.630465,3.50105
215,11936.7,2,0.958709,4.76506,0.530302,0.630613,3.5002
216,11870,2,0.958726,4.76539,0.530196,0.630875,3.49782
217,11906.6,2,0.958752,4.76522,0.530141,0.630733,3.49738
218,11884.7,2,0.958799,4.76527,0.530033,0.630467,3.49729
219,11993.9,2,0.958922,4.76521,0.529915,0.630425,3.49825
220,11963.6,2,0.959071,4.76453,0.529862,0.63033,3.49863
221,11819.8,2,0.958982,4.76428,0.52977,0.630182,3.4971
222,12015.6,2,0.95912,4.76315,0.529583,0.630436,3.49764
223,11999.1,2,0.959282,4.76258,0.529662,0.630538,3.4973
224,11847.6,2,0.959215,4.76354,0.529408,0.630674,3.49598
225,11892.8,2,0.958966,4.7646,0.52925,0.630453,3.49628
226,11960.8,2,0.958991,4.76464,0.529295,0.630454,3.49592
227,11891.2,2,0.958945,4.76468,0.529213,0.630386,3.49535
228,11891.3,2,0.958596,4.76533,0.528986,0.630171,3.49599
229,11967.6,2,0.958502,4.76468,0.52898,0.630212,3.49583
230,12029.4,2,0.958518,4.76476,0.528714,0.630394,3.49717
231,12001.3,2,0.958755,4.76329,0.528729,0.630434,3.49738
232,12044.4,2,0.958847,4.76278,0.528821,0.630573,3.49747
233,11921.5,2,0.958915,4.76165,0.528633,0.630577,3.4976
234,11961.8,2,0.958953,4.76148,0.528653,0.63051,3.49764
235,12057.1,2,0.958879,4.76046,0.52892,0.630622,3.49718
236,11973.1,2,0.958996,4.75894,0.528827,0.630599,3.49769
237,12023.9,2,0.958987,4.75909,0.528754,0.630621,3.4986
238,11978.7,2,0.959046,4.75951,0.528691,0.630635,3.4989
239,11974.3,2,0.959054,4.75834,0.528616,0.630691,3.49904
240,12143.7,2,0.958946,4.75811,0.528762,0.630925,3.49966
241,11924.8,2,0.958962,4.75738,0.528726,0.630836,3.49953
242,11970.2,2,0.959073,4.75587,0.528667,0.630874,3.49961
243,11983.6,2,0.958981,4.7567,0.528665,0.63087,3.49974
