iteration,convergenceIndicator,phase,V_pop,beta_V_logtHb,beta_V_logtWT,Cl_pop,beta_Cl_SEX_1,beta_Cl_logtAGE,beta_Cl_logtBUN,beta_Cl_logtCreatinine,beta_Cl_logtHCO3,beta_Cl_logtHCT,beta_Cl_logtHb,beta_Cl_logtK,beta_Cl_logtP,omega_V,omega_Cl,b
142,11598,1,77.957,0.347636,0.521134,1.30588,0.378105,-0.80835,-0.267747,-0.625058,0.282656,-1.45674,2.19878,0.635329,-0.260856,0.499632,0.626401,0.204921
143,11606.3,1,77.1587,0.405421,0.515977,1.31345,0.382125,-0.789114,-0.314181,-0.578112,0.262964,-1.33397,2.0288,0.586751,-0.206702,0.492528,0.625421,0.206018
144,11586.7,1,76.5583,0.468595,0.542308,1.37205,0.334877,-0.867867,-0.287774,-0.585458,0.260546,-1.53189,2.22679,0.603305,-0.198045,0.498175,0.610958,0.209723
145,11625,1,77.1792,0.404136,0.612294,1.33219,0.357451,-0.798239,-0.284986,-0.604352,0.286399,-1.56018,2.25214,0.60944,-0.170571,0.503066,0.602656,0.210926
146,11623.8,1,75.9856,0.335242,0.63298,1.31206,0.36381,-0.827518,-0.224298,-0.704635,0.254692,-1.24879,2.08229,0.583518,-0.164645,0.505374,0.601496,0.210158
147,11626,1,76.066,0.398129,0.635835,1.3103,0.368087,-0.886602,-0.248827,-0.63866,0.396569,-1.32351,2.10917,0.549063,-0.187447,0.517706,0.600812,0.207941
148,11599.5,1,75.9671,0.306603,0.627003,1.29905,0.380426,-0.863491,-0.272442,-0.576408,0.424629,-1.08465,1.83258,0.480641,-0.229904,0.520487,0.594939,0.20661
149,11513,1,77.0299,0.355081,0.635123,1.28304,0.40755,-0.790927,-0.252278,-0.635122,0.356161,-1.56212,2.19071,0.601448,-0.229538,0.519871,0.592149,0.201948
150,11577.2,1,75.9228,0.360845,0.620629,1.32169,0.373857,-0.733688,-0.247007,-0.622459,0.45156,-1.06995,1.72074,0.568127,-0.198386,0.52459,0.597491,0.203777
151,11614.5,1,75.9936,0.262058,0.54071,1.29065,0.401537,-0.776146,-0.234244,-0.632513,0.377944,-1.44445,2.19508,0.533852,-0.169524,0.53508,0.588737,0.204088
152,11650.9,1,76.3184,0.366022,0.465328,1.31304,0.370553,-0.790155,-0.252535,-0.606962,0.317245,-1.36426,2.1262,0.481966,-0.210803,0.523994,0.603126,0.206808
153,11655.4,1,74.5557,0.400494,0.554902,1.32289,0.39005,-0.87732,-0.242336,-0.645847,0.280831,-1.18695,1.93628,0.551456,-0.198606,0.525669,0.593131,0.207981
154,11645.6,1,73.7644,0.381267,0.535138,1.41612,0.340469,-0.824033,-0.285092,-0.582859,0.225292,-1.08043,1.72065,0.736012,-0.271265,0.518591,0.600567,0.209871
155,11709.2,1,74.1929,0.42653,0.551628,1.37629,0.35528,-0.758104,-0.276318,-0.630443,0.177709,-1.23588,1.9508,0.710528,-0.282708,0.506006,0.617792,0.212911
156,11800.4,1,73.3112,0.370666,0.55765,1.40067,0.307907,-0.704382,-0.2849,-0.57601,0.221898,-1.32388,2.07683,0.631451,-0.267462,0.526653,0.619824,0.211113
157,11620.2,1,74.6489,0.323249,0.553067,1.32064,0.371224,-0.736153,-0.24131,-0.594879,0.31565,-1.4533,2.20063,0.436315,-0.213592,0.517749,0.608021,0.205938
158,11530.1,1,74.5312,0.404221,0.634086,1.3267,0.381989,-0.769455,-0.246544,-0.616786,0.307386,-1.4975,2.20323,0.618471,-0.23457,0.524129,0.598082,0.20128
159,11572.8,1,76.2408,0.4336,0.657103,1.37737,0.329607,-0.718136,-0.243085,-0.630705,0.331454,-1.18127,1.87933,0.598832,-0.233196,0.533662,0.583364,0.205991
160,11682.4,1,76.5004,0.437662,0.613158,1.29549,0.391923,-0.726395,-0.223242,-0.680768,0.216107,-1.43106,2.10511,0.637301,-0.229939,0.539099,0.607833,0.204418
161,11667.6,1,77.9366,0.442975,0.578584,1.30033,0.372915,-0.686402,-0.279902,-0.610443,0.300665,-1.48593,2.16685,0.687363,-0.196948,0.560398,0.607438,0.201013
162,11732.7,1,76.0129,0.368974,0.565691,1.29298,0.394918,-0.63383,-0.308992,-0.570384,0.326372,-1.64931,2.35421,0.649444,-0.174086,0.560187,0.607661,0.20392
163,11705.9,1,78.4002,0.379187,0.565548,1.32842,0.347315,-0.619365,-0.296281,-0.55067,0.422486,-1.83779,2.58584,0.5853,-0.199629,0.546003,0.615763,0.205657
164,11743.1,1,78.6645,0.479713,0.581185,1.32251,0.354795,-0.62229,-0.262817,-0.627756,0.364194,-2.27552,2.95126,0.585463,-0.209731,0.541017,0.608971,0.210157
165,11812.5,1,78.3151,0.577639,0.607959,1.28968,0.357124,-0.646857,-0.25333,-0.631938,0.290855,-1.6638,2.30591,0.24643,-0.173263,0.553035,0.596172,0.212431
166,11684,1,77.4508,0.51797,0.534419,1.27624,0.362824,-0.695539,-0.257004,-0.652657,0.369183,-1.71712,2.39694,0.26564,-0.180412,0.54178,0.581077,0.207465
167,11702.5,1,75.788,0.5282,0.511977,1.32072,0.318112,-0.773155,-0.244716,-0.628528,0.382418,-1.64313,2.31604,0.360153,-0.184957,0.539933,0.582697,0.207857
168,11677.1,1,76.2446,0.531786,0.506341,1.3615,0.304622,-0.861643,-0.208489,-0.599418,0.371473,-1.51709,2.15795,0.41557,-0.242542,0.527385,0.597221,0.208522
169,11657.4,1,78.0019,0.516248,0.511609,1.35662,0.326089,-0.802842,-0.279449,-0.584026,0.442422,-1.43153,1.98181,0.47733,-0.167033,0.529736,0.595956,0.208147
170,11679.8,1,77.6524,0.471451,0.518839,1.36214,0.309714,-0.77608,-0.330239,-0.501405,0.432023,-1.61369,2.22959,0.561283,-0.217021,0.518446,0.60738,0.209115
171,11754.9,1,76.8163,0.330616,0.50464,1.36019,0.321686,-0.755039,-0.352127,-0.485429,0.326312,-1.21745,1.9565,0.657665,-0.230627,0.526602,0.614016,0.210364
172,11722.8,1,75.4061,0.371509,0.547895,1.36813,0.312956,-0.735944,-0.33255,-0.522851,0.262565,-1.15696,1.82182,0.534253,-0.206415,0.521346,0.61062,0.209171
173,11778.3,1,74.5695,0.426788,0.527093,1.43617,0.289563,-0.683446,-0.333072,-0.48493,0.289796,-1.50438,2.13324,0.561878,-0.224863,0.543863,0.609901,0.208637
174,11702.5,1,74.5025,0.398133,0.512158,1.45163,0.288843,-0.700923,-0.313652,-0.491197,0.300217,-1.50292,2.18961,0.506222,-0.275294,0.530093,0.606235,0.209903
175,11718.4,1,74.5304,0.386799,0.538521,1.42744,0.285855,-0.65538,-0.331834,-0.4937,0.479701,-1.19863,1.94584,0.410688,-0.230143,0.537352,0.602307,0.208702
176,11586.4,1,73.1529,0.526309,0.513782,1.41981,0.309729,-0.715861,-0.31595,-0.533761,0.43686,-1.46779,2.19141,0.558876,-0.204228,0.531251,0.606118,0.200794
177,11521.6,1,72.7908,0.454541,0.547442,1.39554,0.351436,-0.751167,-0.296603,-0.548999,0.417195,-1.18291,1.8664,0.534404,-0.208482,0.5178,0.618156,0.199891
178,11617.6,1,73.9799,0.484471,0.49794,1.40204,0.328697,-0.772556,-0.267372,-0.577808,0.417922,-1.26468,1.87981,0.583222,-0.283736,0.504689,0.622092,0.20649
179,11651.1,1,73.6632,0.349023,0.523088,1.35691,0.339531,-0.720229,-0.325927,-0.488692,0.369079,-1.03754,1.58861,0.644614,-0.295947,0.500427,0.6249,0.207139
180,11672.5,1,73.2325,0.445626,0.573508,1.36161,0.346023,-0.782672,-0.274625,-0.51817,0.335253,-1.42741,2.02073,0.571973,-0.307553,0.507576,0.618848,0.20648
181,11513.5,1,72.3611,0.399863,0.618685,1.37548,0.345322,-0.793495,-0.267242,-0.557886,0.297749,-1.5659,2.16101,0.541162,-0.230568,0.494724,0.608087,0.205723
182,11464.1,1,72.1175,0.472008,0.576189,1.37465,0.381924,-0.777817,-0.264268,-0.579081,0.296674,-1.33345,1.96629,0.491492,-0.20986,0.491749,0.596437,0.203391
183,11464.4,1,73.0641,0.326683,0.598828,1.38183,0.36757,-0.746301,-0.307012,-0.522169,0.42252,-1.356,2.07972,0.363247,-0.193209,0.506827,0.607414,0.198167
184,11531.3,1,73.6443,0.466073,0.565812,1.38817,0.356831,-0.720303,-0.306593,-0.555639,0.334862,-1.19066,1.81536,0.474236,-0.186852,0.504662,0.629347,0.199905
185,11521.8,1,73.3949,0.411893,0.49521,1.41437,0.34062,-0.76534,-0.244789,-0.572097,0.311621,-1.55456,2.24542,0.537844,-0.208201,0.499961,0.6243,0.200572
186,11534.2,1,72.7494,0.408385,0.427504,1.45637,0.297552,-0.796958,-0.237813,-0.570259,0.349146,-1.75785,2.49876,0.49289,-0.171086,0.509387,0.608492,0.201887
187,11492.2,1,73.3872,0.364215,0.511831,1.41603,0.340145,-0.779373,-0.244826,-0.580211,0.375085,-1.70246,2.38537,0.599745,-0.196519,0.506801,0.607238,0.200868
188,11663.5,1,74.6093,0.559349,0.551931,1.40812,0.35227,-0.805907,-0.241863,-0.607117,0.294705,-1.05615,1.78172,0.459085,-0.194174,0.516809,0.617019,0.208265
189,11658,1,74.882,0.507671,0.628655,1.33862,0.405214,-0.821651,-0.200904,-0.643167,0.172975,-0.938462,1.59584,0.413707,-0.159239,0.517704,0.628327,0.205143
190,11660.2,1,75.0091,0.538558,0.57641,1.32049,0.400185,-0.822149,-0.259427,-0.569403,0.275516,-0.741193,1.33916,0.447203,-0.219465,0.511417,0.626015,0.204404
191,11559.7,1,74.0117,0.424708,0.576142,1.36916,0.363571,-0.787002,-0.248325,-0.610972,0.227683,-0.922543,1.64899,0.392896,-0.138228,0.498468,0.610164,0.207112
192,11643.1,1,73.3508,0.358648,0.622776,1.35082,0.370699,-0.749712,-0.214887,-0.648791,0.225874,-1.36689,2.04294,0.404355,-0.244248,0.505644,0.603793,0.210341
193,11688.3,1,73.7758,0.28489,0.631495,1.37059,0.358255,-0.710475,-0.244636,-0.654569,0.270925,-0.957094,1.67447,0.469632,-0.175844,0.512613,0.605874,0.212306
194,11686.6,1,73.5012,0.396898,0.633584,1.39386,0.325786,-0.728426,-0.233771,-0.646905,0.294114,-0.779942,1.45104,0.573488,-0.218933,0.50752,0.624273,0.209139
195,11678,2,74.0058,0.412776,0.602071,1.35492,0.379335,-0.779192,-0.259369,-0.599409,0.333647,-0.981569,1.61859,0.561333,-0.206409,0.509568,0.631571,0.207899
196,11755.4,2,72.8258,0.46697,0.638737,1.37868,0.354516,-0.699784,-0.30728,-0.569134,0.350824,-1.13533,1.75676,0.566145,-0.126685,0.496666,0.635633,0.215277
197,11665,2,73.2628,0.390917,0.571555,1.33353,0.426185,-0.769131,-0.264688,-0.633361,0.267902,-1.05367,1.69935,0.453738,-0.145566,0.490607,0.638977,0.210238
198,11660.2,2,73.1446,0.330009,0.489013,1.30622,0.427225,-0.757197,-0.302182,-0.601405,0.312806,-0.799836,1.49658,0.613167,-0.149619,0.493674,0.629225,0.209669
199,11608.6,2,73.3095,0.304818,0.536694,1.32886,0.435218,-0.799579,-0.275637,-0.586139,0.251507,-1.05469,1.88844,0.613349,-0.159237,0.494916,0.622644,0.207871
200,11657,2,75.1348,0.337475,0.606686,1.31906,0.439065,-0.798997,-0.287054,-0.580372,0.270785,-0.999138,1.7383,0.674516,-0.211098,0.503904,0.618016,0.212226
201,11673.5,2,76.5769,0.310869,0.582533,1.3664,0.360029,-0.802405,-0.250789,-0.622145,0.312062,-1.20813,2.00904,0.75832,-0.196308,0.505448,0.61382,0.212364
202,11682.6,2,76.5625,0.32808,0.569839,1.35397,0.360224,-0.756369,-0.251799,-0.618359,0.265262,-1.41413,2.2413,0.619915,-0.203944,0.503484,0.614321,0.21318
203,11637.5,2,77.2121,0.402983,0.555305,1.32801,0.36694,-0.761803,-0.307914,-0.550308,0.336375,-1.44231,2.11137,0.660933,-0.202909,0.503859,0.615095,0.209157
204,11561.3,2,76.8338,0.339807,0.586802,1.31925,0.373075,-0.768324,-0.328757,-0.542369,0.361345,-1.45005,2.0915,0.742919,-0.302688,0.496934,0.62105,0.206496
205,11497.4,2,76.1098,0.362244,0.557534,1.35144,0.339301,-0.742786,-0.308472,-0.553833,0.394905,-1.43686,2.0581,0.698722,-0.29767,0.488781,0.620654,0.203806
206,11492.9,2,75.3215,0.423201,0.537051,1.35864,0.335769,-0.742426,-0.27784,-0.58179,0.399659,-1.3797,2.03305,0.559471,-0.264726,0.486831,0.622865,0.202093
207,11559.5,2,74.9618,0.411354,0.557794,1.34691,0.330382,-0.723898,-0.238164,-0.60688,0.382806,-1.22583,1.89486,0.611997,-0.303364,0.50171,0.628279,0.19921
208,11499.9,2,76.1445,0.437279,0.535334,1.32726,0.36107,-0.727147,-0.258762,-0.611369,0.387884,-1.30568,1.97296,0.51315,-0.235868,0.505257,0.631747,0.197419
209,11527.3,2,76.1732,0.453054,0.542144,1.35699,0.327869,-0.756614,-0.294795,-0.573683,0.375356,-1.37855,2.05749,0.629218,-0.237819,0.508281,0.626171,0.197975
210,11659.2,2,77.3239,0.477259,0.552388,1.29071,0.354983,-0.786304,-0.303409,-0.589798,0.327151,-1.37861,2.01102,0.53416,-0.191804,0.513396,0.631556,0.200148
211,11695.4,2,77.4562,0.456076,0.575874,1.26863,0.378672,-0.770076,-0.337296,-0.555474,0.345142,-1.23973,1.87417,0.452347,-0.211652,0.516285,0.635671,0.201726
212,11624.8,2,77.3874,0.42949,0.567534,1.27949,0.368358,-0.749472,-0.313061,-0.569811,0.286827,-1.10543,1.80089,0.398708,-0.208891,0.51475,0.62723,0.201935
213,11697.3,2,76.8662,0.388518,0.543757,1.30229,0.355633,-0.782886,-0.297458,-0.566653,0.328102,-1.24047,2.00644,0.510411,-0.200057,0.511985,0.62945,0.204232
214,11629.7,2,77.0118,0.399064,0.503214,1.31029,0.35679,-0.790237,-0.282689,-0.577189,0.340816,-1.38589,2.1443,0.470376,-0.172829,0.507832,0.629793,0.204918
215,11585.7,2,76.7118,0.40995,0.518765,1.31563,0.364351,-0.771256,-0.273956,-0.58067,0.340907,-1.42027,2.17783,0.493126,-0.163135,0.512274,0.628624,0.203207
216,11578.3,2,76.7511,0.436759,0.507884,1.31465,0.36837,-0.767213,-0.284748,-0.56911,0.33484,-1.37486,2.12402,0.509904,-0.166747,0.514338,0.628789,0.200883
217,11499.5,2,76.9078,0.420207,0.516881,1.32809,0.362147,-0.778505,-0.272802,-0.56657,0.326914,-1.39722,2.15098,0.464416,-0.18419,0.512397,0.621227,0.200335
218,11527.3,2,76.8652,0.444586,0.531718,1.33852,0.359855,-0.759288,-0.26507,-0.561078,0.32947,-1.24367,1.98114,0.428631,-0.199095,0.508294,0.618325,0.201477
219,11576.4,2,76.5004,0.440555,0.558638,1.36095,0.344788,-0.75426,-0.264395,-0.56528,0.329628,-1.14419,1.84575,0.395074,-0.185026,0.504511,0.619849,0.2035
220,11618.5,2,76.2265,0.459718,0.55652,1.3619,0.33768,-0.751593,-0.262158,-0.561953,0.298796,-1.19903,1.87827,0.398101,-0.207829,0.505682,0.622222,0.203493
221,11673.2,2,76.1286,0.464358,0.56188,1.37186,0.321416,-0.757795,-0.262398,-0.55243,0.331322,-1.17562,1.83992,0.383655,-0.209845,0.507164,0.624762,0.204093
222,11711.7,2,75.8288,0.44415,0.57616,1.36415,0.329054,-0.751462,-0.268684,-0.553298,0.312839,-1.16783,1.79799,0.433292,-0.223402,0.50589,0.630501,0.205322
223,11595,2,75.4619,0.457944,0.569332,1.38241,0.320585,-0.74325,-0.272498,-0.538041,0.332214,-1.21549,1.83255,0.476137,-0.237227,0.507203,0.63134,0.203925
224,11598.2,2,75.2915,0.455836,0.566781,1.39709,0.317439,-0.74468,-0.264302,-0.537524,0.354668,-1.20021,1.85916,0.491445,-0.221377,0.504407,0.634363,0.20368
225,11595.3,2,74.6994,0.439778,0.570573,1.40485,0.318775,-0.733514,-0.258597,-0.557492,0.350031,-1.13679,1.83282,0.495597,-0.205815,0.504265,0.631821,0.203781
226,11640.8,2,74.6474,0.429497,0.570879,1.3958,0.329908,-0.749285,-0.246547,-0.572592,0.329069,-1.07306,1.79005,0.503309,-0.206147,0.505827,0.633004,0.203844
227,11625.5,2,74.4539,0.423907,0.564875,1.38884,0.341637,-0.759875,-0.238319,-0.57766,0.3178,-0.965654,1.67195,0.513959,-0.225284,0.505955,0.631428,0.204305
228,11537.9,2,74.2258,0.420929,0.553741,1.3864,0.346025,-0.761354,-0.239422,-0.585021,0.297194,-1.04632,1.75672,0.483689,-0.226911,0.504975,0.626647,0.204333
229,11591,2,74.1944,0.418967,0.557097,1.38847,0.334399,-0.745734,-0.25267,-0.580869,0.301078,-1.12511,1.82712,0.495303,-0.231198,0.503736,0.625071,0.204554
230,11609.1,2,74.3109,0.39774,0.574783,1.3836,0.339221,-0.729917,-0.25408,-0.584198,0.299821,-1.08337,1.79479,0.511425,-0.229152,0.502171,0.624265,0.205318
231,11624.1,2,74.6383,0.398495,0.581722,1.37268,0.344344,-0.728287,-0.252769,-0.588736,0.289124,-1.07555,1.78453,0.494221,-0.237673,0.502886,0.624483,0.205253
232,11556.2,2,74.5501,0.397348,0.575239,1.37273,0.346539,-0.730454,-0.251475,-0.581743,0.279719,-1.12566,1.8319,0.469873,-0.237911,0.50273,0.622862,0.204963
233,11568.9,2,74.493,0.389228,0.577908,1.3751,0.34497,-0.73984,-0.25149,-0.577897,0.287501,-1.17152,1.87213,0.494929,-0.232514,0.500801,0.621514,0.205104
234,11537.8,2,74.5097,0.38226,0.579849,1.38061,0.342493,-0.734962,-0.252066,-0.575705,0.280811,-1.17444,1.88723,0.49225,-0.226417,0.49952,0.62089,0.204928
235,11527.7,2,74.3664,0.376922,0.572382,1.38175,0.345731,-0.73986,-0.253402,-0.574279,0.280123,-1.18194,1.89547,0.489465,-0.219876,0.497234,0.621729,0.204797
236,11605.7,2,74.4147,0.38724,0.573222,1.37779,0.349291,-0.733272,-0.252527,-0.574972,0.274431,-1.1298,1.84549,0.496177,-0.219294,0.495898,0.621784,0.205213
237,11617.7,2,74.5484,0.400178,0.572245,1.37741,0.348006,-0.728356,-0.262771,-0.566742,0.279346,-1.17479,1.87396,0.497681,-0.214052,0.495492,0.62166,0.205591
238,11536.9,2,74.6863,0.39668,0.571311,1.3737,0.349861,-0.734788,-0.266819,-0.568135,0.269012,-1.19612,1.8825,0.497255,-0.211164,0.493594,0.621937,0.205716
239,11618.3,2,74.7711,0.391506,0.567323,1.37383,0.350453,-0.735046,-0.267957,-0.569398,0.270854,-1.24529,1.92355,0.501424,-0.206623,0.493595,0.621855,0.205982
240,11623.8,2,74.8068,0.392286,0.562552,1.37107,0.354529,-0.744109,-0.266592,-0.570916,0.279145,-1.27248,1.94265,0.508309,-0.20803,0.493152,0.622998,0.206061
241,11583.8,2,74.8048,0.386184,0.55947,1.36976,0.355102,-0.750356,-0.265931,-0.572642,0.285517,-1.25852,1.93355,0.515962,-0.206987,0.493028,0.621762,0.206277
242,11630.7,2,74.8613,0.378606,0.566352,1.37347,0.349651,-0.748436,-0.268034,-0.574727,0.28262,-1.27336,1.94567,0.517489,-0.205952,0.492857,0.622155,0.206613
243,11618.6,2,74.865,0.36988,0.571759,1.37331,0.350923,-0.744992,-0.271528,-0.570422,0.283428,-1.28591,1.94769,0.524769,-0.210021,0.493501,0.621402,0.206852
244,11634,2,74.8737,0.365779,0.576525,1.37288,0.350058,-0.741628,-0.272342,-0.570487,0.283232,-1.2943,1.95651,0.535807,-0.214947,0.49458,0.619775,0.207123
245,11644.7,2,74.8147,0.364654,0.577351,1.37169,0.35097,-0.736779,-0.271246,-0.573198,0.286087,-1.29412,1.95927,0.540831,-0.213956,0.495612,0.617865,0.207425
246,11540.4,2,74.8208,0.362454,0.577698,1.37208,0.350785,-0.736694,-0.271316,-0.57392,0.285036,-1.29662,1.95986,0.543713,-0.213801,0.495688,0.617607,0.2074
247,11499.3,2,74.8055,0.363334,0.579267,1.37125,0.352157,-0.737263,-0.270492,-0.575052,0.281655,-1.30133,1.96272,0.5422,-0.213167,0.495702,0.617197,0.207358
248,11599.9,2,74.8053,0.364274,0.579747,1.37091,0.35234,-0.738168,-0.270166,-0.575229,0.279657,-1.30119,1.96265,0.543858,-0.212721,0.495605,0.617341,0.207353
249,11632.2,2,74.7969,0.363761,0.580771,1.37068,0.352171,-0.738579,-0.270378,-0.575114,0.278567,-1.30068,1.96059,0.543743,-0.213025,0.495668,0.617669,0.207335
250,11552.6,2,74.7848,0.361778,0.58226,1.37033,0.352487,-0.738091,-0.271181,-0.574707,0.279214,-1.30613,1.96636,0.542117,-0.212186,0.495615,0.61752,0.207351
251,11554.2,2,74.7832,0.361735,0.581936,1.37057,0.352758,-0.738871,-0.270971,-0.574052,0.281093,-1.3049,1.96557,0.538896,-0.212094,0.495519,0.617369,0.20737
252,11452.5,2,74.775,0.361815,0.581864,1.37011,0.353447,-0.740606,-0.270849,-0.57416,0.280658,-1.30118,1.965,0.538885,-0.211992,0.495392,0.617539,0.207222
253,11616.3,2,74.7558,0.362174,0.583636,1.36874,0.354835,-0.74154,-0.271009,-0.574393,0.28223,-1.30248,1.96686,0.540377,-0.210399,0.495449,0.617592,0.207187
254,11627.2,2,74.7733,0.362435,0.584034,1.36843,0.354966,-0.740536,-0.271761,-0.57475,0.282288,-1.29633,1.96191,0.540852,-0.208778,0.495467,0.617841,0.207155
255,11618.8,2,74.7674,0.362751,0.584989,1.36921,0.354264,-0.73968,-0.272075,-0.574186,0.281331,-1.29814,1.96334,0.54301,-0.209592,0.495556,0.617925,0.20712
256,11632.2,2,74.7748,0.362277,0.585417,1.3694,0.353752,-0.740207,-0.271254,-0.574764,0.279799,-1.30158,1.96824,0.544012,-0.21009,0.495637,0.617977,0.207149
257,11561,2,74.781,0.362827,0.585274,1.3691,0.354093,-0.739541,-0.271526,-0.574549,0.278655,-1.30218,1.97005,0.543674,-0.210457,0.495693,0.617938,0.207134
258,11515.2,2,74.7909,0.364176,0.585809,1.36935,0.354125,-0.739889,-0.271717,-0.574068,0.278655,-1.30496,1.97287,0.544803,-0.210627,0.495613,0.617734,0.207143
259,11615.1,2,74.7801,0.365349,0.586282,1.36935,0.35358,-0.740242,-0.271387,-0.574387,0.278837,-1.30756,1.97325,0.54573,-0.21099,0.495687,0.617787,0.207122
260,11546.5,2,74.7706,0.36741,0.585717,1.37022,0.353082,-0.740408,-0.270141,-0.575427,0.277935,-1.30681,1.97251,0.546706,-0.210893,0.496009,0.617353,0.207088
261,11650.5,2,74.7628,0.36689,0.586819,1.37095,0.352553,-0.740358,-0.269995,-0.575122,0.279322,-1.30461,1.97218,0.548004,-0.21182,0.496227,0.616966,0.207162
262,11734.1,2,74.7525,0.365418,0.588526,1.3712,0.351796,-0.740908,-0.270706,-0.574385,0.280389,-1.29935,1.96667,0.546794,-0.211004,0.496487,0.61693,0.207216
263,11621.3,2,74.7362,0.363871,0.589162,1.37143,0.351414,-0.739922,-0.271183,-0.573993,0.282852,-1.29571,1.96406,0.547169,-0.210371,0.496736,0.616967,0.207152
264,11586,2,74.7302,0.363741,0.589002,1.37199,0.350779,-0.7401,-0.271514,-0.573436,0.284347,-1.29813,1.96701,0.544831,-0.209526,0.496909,0.616888,0.20711
265,11521.4,2,74.7375,0.362856,0.588158,1.37181,0.350972,-0.741065,-0.270794,-0.574141,0.2852,-1.29579,1.96533,0.546023,-0.209916,0.496857,0.616733,0.207083
266,11604.8,2,74.7441,0.362668,0.587652,1.37187,0.350868,-0.741229,-0.270233,-0.574537,0.284915,-1.29427,1.96504,0.543383,-0.209381,0.497069,0.616388,0.207118
267,11563,2,74.7336,0.363134,0.587329,1.37138,0.351574,-0.741534,-0.269859,-0.575816,0.283543,-1.29579,1.96625,0.543189,-0.207873,0.497122,0.616312,0.207101
268,11658,2,74.737,0.361589,0.586226,1.37125,0.351818,-0.741726,-0.270302,-0.575618,0.284122,-1.29301,1.96467,0.542529,-0.207569,0.497175,0.616383,0.207133
269,11706,2,74.7554,0.361132,0.585604,1.37032,0.352288,-0.742134,-0.270105,-0.576726,0.284346,-1.29741,1.96988,0.542401,-0.207056,0.497247,0.616568,0.207165
270,11651.9,2,74.759,0.361151,0.585628,1.36956,0.352522,-0.74231,-0.269958,-0.576701,0.28497,-1.2981,1.97068,0.540982,-0.206421,0.497205,0.616716,0.207155
271,11693.8,2,74.7778,0.360654,0.585267,1.36951,0.352391,-0.743546,-0.269827,-0.577405,0.285262,-1.29792,1.96935,0.541753,-0.205314,0.497262,0.616994,0.207176
272,11626.8,2,74.7782,0.361018,0.585053,1.36955,0.352612,-0.743301,-0.269553,-0.578186,0.283906,-1.2982,1.96917,0.54219,-0.204856,0.497243,0.616868,0.20722
273,11492.7,2,74.7533,0.361128,0.585572,1.37023,0.35242,-0.743499,-0.269493,-0.578014,0.285377,-1.30089,1.97166,0.54291,-0.204677,0.496952,0.616755,0.207247
274,11619.6,2,74.7357,0.361313,0.586134,1.3709,0.351686,-0.743735,-0.269539,-0.577843,0.285936,-1.30293,1.97358,0.543494,-0.204589,0.49698,0.616803,0.207263
275,11584,2,74.7137,0.362362,0.585537,1.37086,0.351787,-0.744078,-0.269529,-0.57811,0.285156,-1.30375,1.97383,0.543119,-0.204282,0.49689,0.616862,0.207239
276,11534.9,2,74.7331,0.363376,0.584597,1.3704,0.351981,-0.743371,-0.270003,-0.578243,0.284491,-1.30692,1.97669,0.54483,-0.204088,0.49667,0.616791,0.207255
277,11588,2,74.7163,0.361598,0.585084,1.37078,0.352044,-0.743119,-0.269909,-0.577537,0.284959,-1.30463,1.97538,0.544934,-0.204217,0.496819,0.616616,0.207253
278,11580.4,2,74.7113,0.362493,0.585149,1.37081,0.351985,-0.743114,-0.269653,-0.577679,0.285212,-1.30085,1.97187,0.545634,-0.205088,0.496826,0.616586,0.207247
279,11547.9,2,74.7108,0.362234,0.585056,1.37036,0.352247,-0.743497,-0.269909,-0.577622,0.284784,-1.30124,1.97276,0.546595,-0.204504,0.496893,0.616492,0.207197
280,11601.9,2,74.6902,0.361134,0.585096,1.37045,0.352025,-0.743923,-0.270101,-0.577346,0.285674,-1.29487,1.96665,0.545834,-0.203985,0.496941,0.616503,0.207168
281,11477.7,2,74.6875,0.360409,0.585266,1.3702,0.352536,-0.745068,-0.269713,-0.577693,0.286055,-1.29241,1.96517,0.545958,-0.203634,0.496762,0.61651,0.207126
282,11569.9,2,74.6754,0.360422,0.585311,1.37041,0.352508,-0.745477,-0.269824,-0.57738,0.285882,-1.28869,1.9627,0.545462,-0.203563,0.496562,0.616605,0.20713
283,11548.8,2,74.6823,0.361067,0.584872,1.37075,0.352321,-0.746112,-0.269902,-0.577029,0.28695,-1.28997,1.96347,0.545931,-0.203551,0.496573,0.616564,0.207115
284,11559.5,2,74.6895,0.360798,0.585038,1.37076,0.352327,-0.746137,-0.270206,-0.576518,0.288103,-1.28969,1.96353,0.543772,-0.20338,0.496631,0.61656,0.207065
285,11630.8,2,74.6879,0.360409,0.58475,1.3709,0.352307,-0.745988,-0.270274,-0.576097,0.289478,-1.28607,1.96047,0.542861,-0.203378,0.496559,0.616724,0.207078
286,11628.9,2,74.6821,0.360007,0.584615,1.37094,0.352681,-0.746219,-0.269934,-0.576205,0.289594,-1.28498,1.9599,0.542764,-0.203229,0.496565,0.616768,0.20709
287,11634.4,2,74.6833,0.360433,0.584321,1.37032,0.353211,-0.74638,-0.27026,-0.576282,0.290115,-1.28684,1.96125,0.54347,-0.203146,0.496499,0.616815,0.207121
288,11590.2,2,74.6709,0.359595,0.584254,1.36964,0.353964,-0.745759,-0.27035,-0.576345,0.290515,-1.28941,1.96381,0.541724,-0.203007,0.496419,0.61676,0.207136
