pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.30527,0.426126,0.0399018,0.42676,-0.139757,0.426126,All
-0.304324,0.42676,0.0402857,0.427394,-0.139575,0.42676,All
-0.304216,0.427394,0.0406992,0.428028,-0.134042,0.427394,All
-0.303791,0.428028,0.0418024,0.428662,-0.133405,0.428028,All
-0.302657,0.428662,0.0420773,0.429296,-0.132682,0.428662,All
-0.302534,0.429296,0.0423054,0.42993,-0.13073,0.429296,All
-0.301225,0.42993,0.0424767,0.430564,-0.129291,0.42993,All
-0.300032,0.430564,0.0426288,0.431198,-0.127147,0.430564,All
-0.29958,0.431198,0.0426641,0.431833,-0.124428,0.431198,All
-0.298688,0.431833,0.0436392,0.432467,-0.124036,0.431833,All
-0.29797,0.432467,0.045585,0.433101,-0.123018,0.432467,All
-0.295888,0.433101,0.0467787,0.433735,-0.122575,0.433101,All
-0.295317,0.433735,0.047153,0.434369,-0.121577,0.433735,All
-0.293258,0.434369,0.0474866,0.435003,-0.119927,0.434369,All
-0.292754,0.435003,0.0477753,0.435637,-0.115515,0.435003,All
-0.291844,0.435637,0.0479778,0.436271,-0.114689,0.435637,All
-0.291663,0.436271,0.0497969,0.436906,-0.11463,0.436271,All
-0.291273,0.436906,0.0513076,0.43754,-0.112624,0.436906,All
-0.287188,0.43754,0.0525115,0.438174,-0.110298,0.43754,All
-0.286208,0.438174,0.0531137,0.438808,-0.105564,0.438174,All
-0.284954,0.438808,0.053695,0.439442,-0.104503,0.438808,All
-0.281891,0.439442,0.0539155,0.440076,-0.1032,0.439442,All
-0.28112,0.440076,0.0540471,0.44071,-0.102665,0.440076,All
-0.275899,0.44071,0.0558948,0.441344,-0.100528,0.44071,All
-0.274819,0.441344,0.0560491,0.441978,-0.0964609,0.441344,All
-0.273073,0.441978,0.0571929,0.442613,-0.0950714,0.441978,All
-0.27298,0.442613,0.057563,0.443247,-0.0946127,0.442613,All
-0.272562,0.443247,0.0578003,0.443881,-0.0938419,0.443247,All
-0.271251,0.443881,0.0579301,0.444515,-0.0935751,0.443881,All
-0.270214,0.444515,0.0580797,0.445149,-0.0925957,0.444515,All
-0.27002,0.445149,0.0596397,0.445783,-0.0914519,0.445149,All
-0.266817,0.445783,0.0602728,0.446417,-0.0908283,0.445783,All
-0.266494,0.446417,0.0605087,0.447051,-0.0894503,0.446417,All
-0.265442,0.447051,0.061652,0.447685,-0.089135,0.447051,All
-0.264378,0.447685,0.0619711,0.44832,-0.0890889,0.447685,All
-0.264296,0.44832,0.0637769,0.448954,-0.0884239,0.44832,All
-0.264139,0.448954,0.0641019,0.449588,-0.0873318,0.448954,All
-0.263683,0.449588,0.0648029,0.450222,-0.0873105,0.449588,All
-0.263261,0.450222,0.0649147,0.450856,-0.0871745,0.450222,All
-0.262484,0.450856,0.066199,0.45149,-0.0858874,0.450856,All
-0.261943,0.45149,0.0672455,0.452124,-0.0854722,0.45149,All
-0.261844,0.452124,0.0673932,0.452758,-0.0853126,0.452124,All
-0.260615,0.452758,0.0676478,0.453393,-0.0846555,0.452758,All
-0.260436,0.453393,0.0677147,0.454027,-0.0827269,0.453393,All
-0.254485,0.454027,0.0681885,0.454661,-0.0824145,0.454027,All
-0.254271,0.454661,0.0689757,0.455295,-0.0798245,0.454661,All
-0.253663,0.455295,0.0690825,0.455929,-0.0789668,0.455295,All
-0.253119,0.455929,0.070281,0.456563,-0.0766173,0.455929,All
-0.251924,0.456563,0.0712411,0.457197,-0.0749492,0.456563,All
-0.251879,0.457197,0.0714762,0.457831,-0.0742512,0.457197,All
-0.251657,0.457831,0.0723647,0.458465,-0.0684949,0.457831,All
-0.251621,0.458465,0.0732768,0.4591,-0.0666676,0.458465,All
-0.249606,0.4591,0.0735024,0.459734,-0.0657225,0.4591,All
-0.249559,0.459734,0.0738483,0.460368,-0.0627868,0.459734,All
-0.24916,0.460368,0.0740893,0.461002,-0.0627729,0.460368,All
-0.249001,0.461002,0.0741648,0.461636,-0.0624572,0.461002,All
-0.248801,0.461636,0.0751372,0.46227,-0.0608724,0.461636,All
-0.24379,0.46227,0.0754565,0.462904,-0.0585778,0.46227,All
-0.243261,0.462904,0.0764747,0.463538,-0.0583886,0.462904,All
-0.239469,0.463538,0.0773314,0.464172,-0.0579593,0.463538,All
-0.235135,0.464172,0.0773816,0.464807,-0.0561135,0.464172,All
-0.235086,0.464807,0.0784201,0.465441,-0.0559218,0.464807,All
-0.23444,0.465441,0.0790397,0.466075,-0.0557756,0.465441,All
-0.233379,0.466075,0.0792414,0.466709,-0.0553286,0.466075,All
-0.229265,0.466709,0.079727,0.467343,-0.0547321,0.466709,All
-0.228423,0.467343,0.0804503,0.467977,-0.0543658,0.467343,All
-0.227939,0.467977,0.0809417,0.468611,-0.0543405,0.467977,All
-0.22761,0.468611,0.0817402,0.469245,-0.0538621,0.468611,All
-0.225447,0.469245,0.0828891,0.46988,-0.0537938,0.469245,All
-0.225099,0.46988,0.0833945,0.470514,-0.0534576,0.46988,All
-0.224958,0.470514,0.0856493,0.471148,-0.0525967,0.470514,All
-0.224409,0.471148,0.0856917,0.471782,-0.0519401,0.471148,All
-0.224022,0.471782,0.0860779,0.472416,-0.0497745,0.471782,All
-0.223636,0.472416,0.0863455,0.47305,-0.0482286,0.472416,All
-0.223535,0.47305,0.0865592,0.473684,-0.0477684,0.47305,All
-0.219293,0.473684,0.0866089,0.474318,-0.045737,0.473684,All
-0.218901,0.474318,0.0871321,0.474952,-0.044609,0.474318,All
-0.21726,0.474952,0.0875168,0.475587,-0.0444448,0.474952,All
-0.215134,0.475587,0.0900694,0.476221,-0.0438216,0.475587,All
-0.214189,0.476221,0.0903842,0.476855,-0.0432714,0.476221,All
-0.213946,0.476855,0.0919799,0.477489,-0.042853,0.476855,All
-0.213746,0.477489,0.0924866,0.478123,-0.0421674,0.477489,All
-0.212524,0.478123,0.0927303,0.478757,-0.0395936,0.478123,All
-0.211656,0.478757,0.0936144,0.479391,-0.0391017,0.478757,All
-0.210509,0.479391,0.0936812,0.480025,-0.0382882,0.479391,All
-0.209397,0.480025,0.0940292,0.480659,-0.0379076,0.480025,All
-0.20791,0.480659,0.0942238,0.481294,-0.0368481,0.480659,All
-0.207873,0.481294,0.0959785,0.481928,-0.0351967,0.481294,All
-0.207385,0.481928,0.0962429,0.482562,-0.0339878,0.481928,All
-0.207288,0.482562,0.0962741,0.483196,-0.0322766,0.482562,All
-0.206889,0.483196,0.0963462,0.48383,-0.0289811,0.483196,All
-0.206859,0.48383,0.0966598,0.484464,-0.0279456,0.48383,All
-0.206702,0.484464,0.0968533,0.485098,-0.0250792,0.484464,All
-0.206286,0.485098,0.0975812,0.485732,-0.0224954,0.485098,All
-0.202554,0.485732,0.0975929,0.486367,-0.0222565,0.485732,All
-0.201989,0.486367,0.0981278,0.487001,-0.0217053,0.486367,All
-0.200773,0.487001,0.0981403,0.487635,-0.018578,0.487001,All
-0.199795,0.487635,0.0983726,0.488269,-0.0182514,0.487635,All
-0.197789,0.488269,0.0984257,0.488903,-0.0181053,0.488269,All
-0.196191,0.488903,0.0991408,0.489537,-0.012539,0.488903,All
-0.193891,0.489537,0.100393,0.490171,-0.0123496,0.489537,All
-0.193312,0.490171,0.100593,0.490805,-0.0097696,0.490171,All
-0.192965,0.490805,0.100929,0.491439,-0.00684263,0.490805,All
-0.191949,0.491439,0.101274,0.492074,-0.0068229,0.491439,All
-0.191876,0.492074,0.101502,0.492708,-0.00350252,0.492074,All
-0.191352,0.492708,0.103222,0.493342,-0.00160849,0.492708,All
-0.191156,0.493342,0.103737,0.493976,-0.00111614,0.493342,All
-0.188827,0.493976,0.104154,0.49461,6.87749e-05,0.493976,All
-0.188626,0.49461,0.105092,0.495244,0.00225304,0.49461,All
-0.18795,0.495244,0.1052,0.495878,0.00298771,0.495244,All
-0.187413,0.495878,0.106914,0.496512,0.00451672,0.495878,All
-0.185953,0.496512,0.107953,0.497146,0.00612866,0.496512,All
-0.185402,0.497146,0.10882,0.497781,0.00727511,0.497146,All
-0.183454,0.497781,0.108876,0.498415,0.00779945,0.497781,All
-0.182481,0.498415,0.109119,0.499049,0.00848385,0.498415,All
-0.181321,0.499049,0.109424,0.499683,0.0102691,0.499049,All
-0.180736,0.499683,0.109614,0.500317,0.0116949,0.499683,All
-0.179149,0.500317,0.109817,0.500951,0.0122674,0.500317,All
-0.175885,0.500951,0.109961,0.501585,0.0154441,0.500951,All
-0.175053,0.501585,0.11033,0.502219,0.0165212,0.501585,All
-0.173752,0.502219,0.110507,0.502854,0.0172379,0.502219,All
-0.171919,0.502854,0.110667,0.503488,0.0174922,0.502854,All
-0.171875,0.503488,0.11087,0.504122,0.018108,0.503488,All
-0.171856,0.504122,0.111231,0.504756,0.0203919,0.504122,All
-0.171514,0.504756,0.112051,0.50539,0.0215025,0.504756,All
-0.170609,0.50539,0.113,0.506024,0.0241015,0.50539,All
-0.164111,0.506024,0.113072,0.506658,0.0259905,0.506024,All
-0.163217,0.506658,0.113414,0.507292,0.0270586,0.506658,All
-0.160046,0.507292,0.113506,0.507926,0.028194,0.507292,All
-0.158703,0.507926,0.113923,0.508561,0.0287914,0.507926,All
-0.157972,0.508561,0.11404,0.509195,0.030347,0.508561,All
-0.15676,0.509195,0.115722,0.509829,0.0342886,0.509195,All
-0.156554,0.509829,0.116174,0.510463,0.0372665,0.509829,All
-0.155073,0.510463,0.116787,0.511097,0.0421361,0.510463,All
-0.154451,0.511097,0.118122,0.511731,0.0422949,0.511097,All
-0.152972,0.511731,0.118956,0.512365,0.0435684,0.511731,All
-0.145871,0.512365,0.119973,0.512999,0.0458147,0.512365,All
-0.143507,0.512999,0.121076,0.513633,0.0474845,0.512999,All
-0.142947,0.513633,0.122771,0.514268,0.0516567,0.513633,All
-0.142431,0.514268,0.122949,0.514902,0.0540942,0.514268,All
