popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
25.9732,19.4458,25.9732,16.9633,34.983,27.1386,27.6951,27.1386,17.7245,36.5528,All
26.7094,19.6294,26.7094,17.4442,35.9747,28.2699,28.461,28.2699,18.4633,38.0765,All
27.2472,20.4036,27.2472,17.7954,36.6991,28.6885,28.9039,28.6885,18.7367,38.6403,All
28.5213,20.5687,28.5213,18.6275,38.4151,29.4012,29.9566,29.4012,19.2022,39.6001,All
29.4428,20.2086,29.4428,19.2294,39.6563,30.5324,31.6669,30.5324,19.941,41.1238,All
29.7954,20.0625,29.7954,19.4596,40.1311,30.6232,31.7706,30.6232,20.0003,41.2461,All
31.0695,21.2831,31.0695,20.2917,41.8472,31.6637,32.6462,31.6637,20.6798,42.6475,All
32.3435,21.4824,32.3435,21.1239,43.5632,32.6884,33.319,32.6884,21.3491,44.0277,All
32.456,21.4212,32.456,21.1973,43.7147,32.795,33.3958,32.795,21.4187,44.1712,All
33.6176,21.1756,33.6176,21.956,45.2792,33.9262,34.3082,33.9262,22.1575,45.6949,All
34.8917,21.8529,34.8917,22.7881,46.9953,34.8929,35.2029,34.8929,22.7889,46.9969,All
35.7776,22.3946,35.7776,23.3666,48.1885,35.0575,35.3645,35.0575,22.8964,47.2186,All
36.1657,22.6,36.1657,23.6202,48.7113,36.1888,36.5232,36.1888,23.6352,48.7423,All
37.4398,23.1203,37.4398,24.4523,50.4274,37.246,37.6572,37.246,24.3257,50.1663,All
38.7139,23.4473,38.7139,25.2844,52.1434,37.32,37.7374,37.32,24.374,50.266,All
39.439,23.5845,39.439,25.758,53.1201,38.4513,38.9743,38.4513,25.1129,51.7897,All
39.988,23.6787,39.988,26.1165,53.8594,39.5825,40.2264,39.5825,25.8517,53.3134,All
41.262,23.895,41.262,26.9486,55.5755,39.7579,40.4218,39.7579,25.9662,53.5495,All
42.5361,24.1025,42.5361,27.7807,57.2915,40.7138,41.4936,40.7138,26.5906,54.8371,All
43.4752,24.2407,43.4752,28.394,58.5564,41.8451,42.7712,41.8451,27.3294,56.3608,All
43.8102,24.2861,43.8102,28.6128,59.0075,42.4391,43.4449,42.4391,27.7174,57.1608,All
45.0842,24.4311,45.0842,29.4449,60.7236,42.9763,44.0569,42.9763,28.0682,57.8845,All
46.3583,24.5298,46.3583,30.277,62.4396,44.1076,45.3503,44.1076,28.8071,59.4081,All
47.6324,24.591,47.6324,31.1091,64.1556,45.2389,46.6485,45.2389,29.5459,60.9318,All
47.9244,24.6021,47.9244,31.2999,64.549,45.3011,46.72,45.3011,29.5866,61.0157,All
48.9065,24.6332,48.9065,31.9413,65.8717,46.3701,47.9489,46.3701,30.2848,62.4555,All
50.1805,24.6687,50.1805,32.7734,67.5877,47.5014,49.2485,47.5014,31.0236,63.9792,All
51.4546,24.7115,51.4546,33.6055,69.3037,48.3562,50.2269,48.3562,31.5819,65.1305,All
52.7287,24.7768,52.7287,34.4376,71.0198,48.6327,50.5434,48.6327,31.7624,65.5029,All
52.829,24.7835,52.829,34.5031,71.1549,49.7639,51.8383,49.7639,32.5013,67.0266,All
54.0027,24.8842,54.0027,35.2697,72.7358,50.8952,53.1223,50.8952,33.2401,68.5503,All
55.2768,25.0588,55.2768,36.1018,74.4519,51.6173,53.935,51.6173,33.7117,69.5229,All
56.5509,25.3818,56.5509,36.9339,76.1679,52.0265,54.3955,52.0265,33.979,70.074,All
57.825,25.9586,57.825,37.766,77.8839,53.1577,55.6687,53.1577,34.7178,71.5977,All
58.2355,26.1445,58.2355,38.0341,78.4369,54.289,56.9036,54.289,35.4566,73.1214,All
59.099,26.5354,59.099,38.5981,79.6,55.0983,57.7787,55.0983,35.9852,74.2114,All
60.3731,27.1122,60.3731,39.4302,81.316,55.4203,58.1269,55.4203,36.1955,74.6451,All
61.6472,27.689,61.6472,40.2623,83.032,56.5515,59.3502,56.5515,36.9343,76.1688,All
62.9213,28.2658,62.9213,41.0944,84.7481,57.6828,60.5735,57.6828,37.6732,77.6925,All
64.1953,28.8426,64.1953,41.9265,86.4641,58.8141,61.7526,58.8141,38.412,79.2162,All
