V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
73.8293,0.441558,1.74042,0.441558,All
73.8414,0.442557,1.74521,0.442557,All
73.9555,0.443556,1.74589,0.443556,All
74.0619,0.444555,1.75904,0.444555,All
74.0763,0.445554,1.76224,0.445554,All
74.0922,0.446553,1.76659,0.446553,All
74.0945,0.447552,1.76996,0.447552,All
74.1031,0.448551,1.7715,0.448551,All
74.1384,0.44955,1.77215,0.44955,All
74.1487,0.450549,1.77253,0.450549,All
74.1595,0.451548,1.78063,0.451548,All
74.1699,0.452547,1.7818,0.452547,All
74.1852,0.453546,1.78511,0.453546,All
74.2148,0.454545,1.78759,0.454545,All
74.2251,0.455544,1.78953,0.455544,All
74.3116,0.456543,1.79106,0.456543,All
74.3162,0.457542,1.7922,0.457542,All
74.3273,0.458541,1.79238,0.458541,All
74.3385,0.45954,1.79373,0.45954,All
74.3745,0.460539,1.80125,0.460539,All
74.3875,0.461538,1.80378,0.461538,All
74.3904,0.462537,1.80434,0.462537,All
74.4065,0.463536,1.80476,0.463536,All
74.4454,0.464535,1.80807,0.464535,All
74.5329,0.465534,1.80841,0.465534,All
74.539,0.466533,1.81076,0.466533,All
74.5656,0.467532,1.81709,0.467532,All
74.5694,0.468531,1.81886,0.468531,All
74.5725,0.46953,1.81998,0.46953,All
74.6026,0.470529,1.82065,0.470529,All
74.6522,0.471528,1.82214,0.471528,All
74.8379,0.472527,1.82498,0.472527,All
74.9321,0.473526,1.82811,0.473526,All
74.9478,0.474525,1.82981,0.474525,All
75.0305,0.475524,1.82992,0.475524,All
75.1171,0.476523,1.83312,0.476523,All
75.2403,0.477522,1.83703,0.477522,All
75.2782,0.478521,1.83718,0.478521,All
75.3082,0.47952,1.84149,0.47952,All
75.4139,0.480519,1.84464,0.480519,All
75.443,0.481518,1.84989,0.481518,All
75.4582,0.482517,1.85116,0.482517,All
75.5438,0.483516,1.85127,0.483516,All
75.6149,0.484515,1.8523,0.484515,All
75.6368,0.485514,1.85454,0.485514,All
75.6409,0.486513,1.85637,0.486513,All
75.6622,0.487512,1.8613,0.487512,All
75.6844,0.488511,1.8676,0.488511,All
75.7222,0.48951,1.86791,0.48951,All
75.8537,0.490509,1.87005,0.490509,All
75.9986,0.491508,1.87085,0.491508,All
76.1018,0.492507,1.87153,0.492507,All
76.2091,0.493506,1.87396,0.493506,All
76.2155,0.494505,1.87731,0.494505,All
76.3277,0.495504,1.87754,0.495504,All
76.4305,0.496503,1.88693,0.496503,All
76.4571,0.497502,1.88842,0.497502,All
76.4694,0.498501,1.89104,0.498501,All
76.6155,0.4995,1.89116,0.4995,All
76.643,0.5005,1.89417,0.5005,All
76.6826,0.501499,1.89872,0.501499,All
76.7037,0.502498,1.90152,0.502498,All
76.7444,0.503497,1.9016,0.503497,All
76.7663,0.504496,1.90372,0.504496,All
76.8463,0.505495,1.90565,0.505495,All
76.8817,0.506494,1.90568,0.506494,All
76.9638,0.507493,1.90704,0.507493,All
76.9969,0.508492,1.90749,0.508492,All
77.0043,0.509491,1.91228,0.509491,All
77.0347,0.51049,1.91434,0.51049,All
77.0751,0.511489,1.92023,0.511489,All
77.2,0.512488,1.92373,0.512488,All
77.2101,0.513487,1.92521,0.513487,All
77.2209,0.514486,1.93678,0.514486,All
77.2246,0.515485,1.94042,0.515485,All
77.2829,0.516484,1.94661,0.516484,All
77.3226,0.517483,1.94667,0.517483,All
77.394,0.518482,1.94797,0.518482,All
77.4402,0.519481,1.95233,0.519481,All
77.4652,0.52048,1.95778,0.52048,All
77.4653,0.521479,1.96074,0.521479,All
77.4696,0.522478,1.9615,0.522478,All
77.491,0.523477,1.96198,0.523477,All
77.5179,0.524476,1.96275,0.524476,All
77.6107,0.525475,1.96399,0.525475,All
77.6889,0.526474,1.96634,0.526474,All
77.701,0.527473,1.96649,0.527473,All
77.7307,0.528472,1.96879,0.528472,All
77.7639,0.529471,1.97219,0.529471,All
77.7819,0.53047,1.97629,0.53047,All
77.8462,0.531469,1.97706,0.531469,All
77.8918,0.532468,1.97772,0.532468,All
77.9182,0.533467,1.97986,0.533467,All
77.9208,0.534466,1.98116,0.534466,All
77.9226,0.535465,1.98295,0.535465,All
77.9457,0.536464,1.98587,0.536464,All
77.9493,0.537463,1.98712,0.537463,All
78.0045,0.538462,1.98937,0.538462,All
78.0591,0.539461,1.98954,0.539461,All
78.0668,0.54046,1.9982,0.54046,All
78.0807,0.541459,2.00425,0.541459,All
78.0866,0.542458,2.00517,0.542458,All
78.0994,0.543457,2.00531,0.543457,All
78.1253,0.544456,2.00775,0.544456,All
78.2268,0.545455,2.0081,0.545455,All
78.3485,0.546454,2.0109,0.546454,All
78.3621,0.547453,2.02596,0.547453,All
78.3841,0.548452,2.02932,0.548452,All
78.4124,0.549451,2.02994,0.549451,All
78.4458,0.55045,2.0314,0.55045,All
78.4707,0.551449,2.03919,0.551449,All
78.4738,0.552448,2.04082,0.552448,All
78.5023,0.553447,2.04511,0.553447,All
78.5807,0.554446,2.05092,0.554446,All
78.663,0.555445,2.0521,0.555445,All
78.7636,0.556444,2.05721,0.556444,All
78.7711,0.557443,2.0579,0.557443,All
78.8497,0.558442,2.06485,0.558442,All
78.9038,0.559441,2.06534,0.559441,All
78.9267,0.56044,2.06617,0.56044,All
79.116,0.561439,2.06744,0.561439,All
79.1743,0.562438,2.06751,0.562438,All
79.2141,0.563437,2.07129,0.563437,All
79.2264,0.564436,2.07214,0.564436,All
79.3108,0.565435,2.07289,0.565435,All
79.3116,0.566434,2.07643,0.566434,All
79.318,0.567433,2.07763,0.567433,All
79.3319,0.568432,2.08089,0.568432,All
79.3705,0.569431,2.0809,0.569431,All
79.3765,0.57043,2.08144,0.57043,All
79.4267,0.571429,2.08273,0.571429,All
79.512,0.572428,2.08476,0.572428,All
79.544,0.573427,2.08548,0.573427,All
79.5656,0.574426,2.09009,0.574426,All
79.5978,0.575425,2.09664,0.575425,All
79.6593,0.576424,2.10176,0.576424,All
79.6617,0.577423,2.10623,0.577423,All
79.6706,0.578422,2.10905,0.578422,All
79.6901,0.579421,2.11151,0.579421,All
79.6944,0.58042,2.11264,0.58042,All
79.723,0.581419,2.11427,0.581419,All
79.7782,0.582418,2.1184,0.582418,All
79.8143,0.583417,2.11846,0.583417,All
79.8668,0.584416,2.11903,0.584416,All
79.9267,0.585415,2.12023,0.585415,All
79.9776,0.586414,2.12047,0.586414,All
80.111,0.587413,2.12064,0.587413,All
80.1557,0.588412,2.12332,0.588412,All
80.1945,0.589411,2.12726,0.589411,All
80.2051,0.59041,2.13419,0.59041,All
80.2084,0.591409,2.13522,0.591409,All
80.226,0.592408,2.14039,0.592408,All
80.2446,0.593407,2.14046,0.593407,All
80.3047,0.594406,2.14491,0.594406,All
80.3147,0.595405,2.14771,0.595405,All
80.3345,0.596404,2.15091,0.596404,All
80.3447,0.597403,2.15289,0.597403,All
80.3603,0.598402,2.15603,0.598402,All
80.3751,0.599401,2.16205,0.599401,All
80.423,0.6004,2.16507,0.6004,All
80.4346,0.601399,2.17239,0.601399,All
80.5106,0.602398,2.17631,0.602398,All
80.5212,0.603397,2.1806,0.603397,All
80.6344,0.604396,2.18109,0.604396,All
80.6849,0.605395,2.18165,0.605395,All
80.6899,0.606394,2.19373,0.606394,All
80.8339,0.607393,2.19657,0.607393,All
80.8693,0.608392,2.20183,0.608392,All
80.9528,0.609391,2.20717,0.609391,All
80.975,0.61039,2.20877,0.61039,All
80.9859,0.611389,2.22923,0.611389,All
81.0352,0.612388,2.23096,0.612388,All
81.0652,0.613387,2.23259,0.613387,All
81.1288,0.614386,2.23335,0.614386,All
81.1643,0.615385,2.239,0.615385,All
81.1756,0.616384,2.24194,0.616384,All
81.1932,0.617383,2.24386,0.617383,All
81.1949,0.618382,2.24656,0.618382,All
81.2371,0.619381,2.25634,0.619381,All
81.2456,0.62038,2.25779,0.62038,All
81.2728,0.621379,2.25798,0.621379,All
81.3009,0.622378,2.25807,0.622378,All
81.3956,0.623377,2.25964,0.623377,All
81.4005,0.624376,2.26135,0.624376,All
81.4655,0.625375,2.2621,0.625375,All
81.5708,0.626374,2.27051,0.626374,All
81.7179,0.627373,2.27896,0.627373,All
81.7482,0.628372,2.27953,0.628372,All
81.7759,0.629371,2.29447,0.629371,All
81.823,0.63037,2.29739,0.63037,All
81.8738,0.631369,2.31532,0.631369,All
81.8901,0.632368,2.31872,0.632368,All
81.9082,0.633367,2.32841,0.633367,All
81.9774,0.634366,2.32936,0.634366,All
82.0382,0.635365,2.33027,0.635365,All
82.0465,0.636364,2.33551,0.636364,All
82.1264,0.637363,2.34029,0.637363,All
82.1334,0.638362,2.34372,0.638362,All
82.1457,0.639361,2.34948,0.639361,All
82.1653,0.64036,2.36008,0.64036,All
82.2296,0.641359,2.36158,0.641359,All
82.3064,0.642358,2.36503,0.642358,All
82.3606,0.643357,2.36744,0.643357,All
82.433,0.644356,2.3702,0.644356,All
82.552,0.645355,2.37043,0.645355,All
82.6235,0.646354,2.37755,0.646354,All
82.644,0.647353,2.38196,0.647353,All
82.7797,0.648352,2.39108,0.648352,All
82.8429,0.649351,2.40039,0.649351,All
82.854,0.65035,2.40272,0.65035,All
82.9449,0.651349,2.40939,0.651349,All
83.0022,0.652348,2.42172,0.652348,All
83.0761,0.653347,2.42582,0.653347,All
83.2312,0.654346,2.43067,0.654346,All
83.2334,0.655345,2.4382,0.655345,All
83.3224,0.656344,2.44216,0.656344,All
83.4072,0.657343,2.44324,0.657343,All
83.4115,0.658342,2.44661,0.658342,All
83.5153,0.659341,2.46588,0.659341,All
83.6114,0.66034,2.47487,0.66034,All
83.6243,0.661339,2.48498,0.661339,All
83.7007,0.662338,2.48593,0.662338,All
83.708,0.663337,2.48799,0.663337,All
83.8218,0.664336,2.4953,0.664336,All
83.8352,0.665335,2.51249,0.665335,All
83.9382,0.666334,2.52019,0.666334,All
84.0114,0.667333,2.52097,0.667333,All
84.0796,0.668332,2.53299,0.668332,All
84.0841,0.669331,2.53545,0.669331,All
84.2119,0.67033,2.53777,0.67033,All
84.22,0.671329,2.54602,0.671329,All
