parameter,value,se_sa,rse_sa
V_pop,6.50520467038922,1.84282235300925,28.3284300246157
beta_V_logWT,0.56153632502145,0.0645316144975684,11.4919750730469
Cl_pop,52.542801043882,19.975236207216,38.0170752422074
beta_Cl_SEX_1,0.477408723191287,0.0600808325586725,12.5847789619461
beta_Cl_logAGE,-0.880869536731667,0.0927364546752635,10.5278308317198
beta_Cl_logCR,-0.850972703835299,0.0529618302360956,6.22368144094386
omega_V,0.52674079695762,0.0217006326228246,4.11979340657955
omega_Cl,0.662671877284401,0.023096418941336,3.48534768609528
b,0.207992729728196,0.00679414654097306,3.26653078203822
