pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.743515,0.220038,-0.110635,0.220672,-0.771838,0.220038,All
-0.741975,0.220672,-0.110209,0.221306,-0.771186,0.220672,All
-0.738729,0.221306,-0.110069,0.22194,-0.770737,0.221306,All
-0.73752,0.22194,-0.109653,0.222575,-0.76918,0.22194,All
-0.73632,0.222575,-0.109275,0.223209,-0.768757,0.222575,All
-0.735627,0.223209,-0.107432,0.223843,-0.768493,0.223209,All
-0.73243,0.223843,-0.106891,0.224477,-0.767016,0.223843,All
-0.732326,0.224477,-0.106413,0.225111,-0.766716,0.224477,All
-0.725557,0.225111,-0.105795,0.225745,-0.766604,0.225111,All
-0.725367,0.225745,-0.105546,0.226379,-0.766237,0.225745,All
-0.725353,0.226379,-0.10489,0.227013,-0.765276,0.226379,All
-0.725007,0.227013,-0.104417,0.227647,-0.76265,0.227013,All
-0.724213,0.227647,-0.103503,0.228282,-0.761795,0.227647,All
-0.724059,0.228282,-0.10346,0.228916,-0.760389,0.228282,All
-0.722614,0.228916,-0.103315,0.22955,-0.752925,0.228916,All
-0.722298,0.22955,-0.101779,0.230184,-0.752176,0.22955,All
-0.7195,0.230184,-0.101481,0.230818,-0.750516,0.230184,All
-0.718221,0.230818,-0.0997063,0.231452,-0.750442,0.230818,All
-0.717747,0.231452,-0.0986865,0.232086,-0.745459,0.231452,All
-0.717367,0.232086,-0.0986491,0.23272,-0.745444,0.232086,All
-0.716706,0.23272,-0.0985084,0.233354,-0.743644,0.23272,All
-0.71606,0.233354,-0.0982854,0.233989,-0.743092,0.233354,All
-0.715693,0.233989,-0.095804,0.234623,-0.7413,0.233989,All
-0.715582,0.234623,-0.0955576,0.235257,-0.740234,0.234623,All
-0.714746,0.235257,-0.0951024,0.235891,-0.737712,0.235257,All
-0.714585,0.235891,-0.0945268,0.236525,-0.736658,0.235891,All
-0.713089,0.236525,-0.0941246,0.237159,-0.735051,0.236525,All
-0.712929,0.237159,-0.0934524,0.237793,-0.731686,0.237159,All
-0.712923,0.237793,-0.0925658,0.238427,-0.729091,0.237793,All
-0.71235,0.238427,-0.091536,0.239062,-0.72823,0.238427,All
-0.710438,0.239062,-0.0905154,0.239696,-0.725509,0.239062,All
-0.70727,0.239696,-0.0896301,0.24033,-0.724731,0.239696,All
-0.707216,0.24033,-0.0893392,0.240964,-0.72095,0.24033,All
-0.706285,0.240964,-0.0891963,0.241598,-0.71852,0.240964,All
-0.703411,0.241598,-0.0879294,0.242232,-0.716997,0.241598,All
-0.703273,0.242232,-0.0878331,0.242866,-0.716705,0.242232,All
-0.702573,0.242866,-0.0873062,0.2435,-0.715497,0.242866,All
-0.702155,0.2435,-0.0862865,0.244134,-0.713503,0.2435,All
-0.70208,0.244134,-0.0855608,0.244769,-0.712642,0.244134,All
