standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-0.0107173,0.563437,0.216151,0.563437,All
-0.00813157,0.564436,0.217423,0.564436,All
-0.00690467,0.565435,0.218263,0.565435,All
-0.00643913,0.566434,0.21977,0.566434,All
-0.00592556,0.567433,0.221998,0.567433,All
-0.00400521,0.568432,0.223978,0.568432,All
-0.00303202,0.569431,0.224188,0.569431,All
-0.00288353,0.57043,0.224499,0.57043,All
-0.0021872,0.571429,0.22745,0.571429,All
-0.00196877,0.572428,0.228343,0.572428,All
-0.0017869,0.573427,0.230963,0.573427,All
-0.00146121,0.574426,0.235572,0.574426,All
-0.000573477,0.575425,0.239284,0.575425,All
0.000580009,0.576424,0.240755,0.576424,All
0.000977615,0.577423,0.243221,0.577423,All
0.00109458,0.578422,0.243997,0.578422,All
0.00149558,0.579421,0.246067,0.579421,All
0.00217498,0.58042,0.247266,0.58042,All
0.00226368,0.581419,0.247757,0.581419,All
0.00355679,0.582418,0.250191,0.582418,All
0.00359129,0.583417,0.250477,0.583417,All
0.00395273,0.584416,0.251639,0.584416,All
0.00446894,0.585415,0.252313,0.585415,All
0.00458069,0.586414,0.253642,0.586414,All
0.00538559,0.587413,0.254585,0.587413,All
0.00638929,0.588412,0.254998,0.588412,All
0.00661505,0.589411,0.259832,0.589411,All
0.00782394,0.59041,0.260906,0.59041,All
0.00811172,0.591409,0.261648,0.591409,All
0.00826797,0.592408,0.262818,0.592408,All
0.00969705,0.593407,0.268231,0.593407,All
0.0100466,0.594406,0.268362,0.594406,All
0.0107269,0.595405,0.271185,0.595405,All
0.0109637,0.596404,0.27309,0.596404,All
0.0115946,0.597403,0.273458,0.597403,All
0.0116467,0.598402,0.275862,0.598402,All
0.0134184,0.599401,0.276858,0.599401,All
0.0137045,0.6004,0.277016,0.6004,All
0.013893,0.601399,0.279396,0.601399,All
0.0156908,0.602398,0.279718,0.602398,All
0.016234,0.603397,0.280224,0.603397,All
0.0165044,0.604396,0.28267,0.604396,All
0.018445,0.605395,0.283424,0.605395,All
0.0188384,0.606394,0.286415,0.606394,All
0.0195604,0.607393,0.28661,0.607393,All
0.0196559,0.608392,0.286809,0.608392,All
0.0201633,0.609391,0.290205,0.609391,All
0.0203036,0.61039,0.290775,0.61039,All
0.0204089,0.611389,0.294912,0.611389,All
0.0208863,0.612388,0.296423,0.612388,All
0.0212223,0.613387,0.298053,0.613387,All
