Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
1.699,0.960254,0.0105269,1.82153,0.204665,0.167851
1.74075,1.02845,0.0217211,1.88757,0.205951,0.172237
1.78249,1.09665,0.0329152,1.9536,0.20412,0.176623
1.82424,1.11495,0.0441093,2.01964,0.199905,0.181009
1.86599,1.10302,0.0553034,2.08568,0.187742,0.185395
1.90774,1.0911,0.0664975,2.15172,0.173932,0.189781
1.94948,1.07918,0.0776916,2.21776,0.160122,0.194167
1.99123,1.06725,0.0888857,2.2838,0.14091,0.198553
2.03298,1.05533,0.10008,2.34984,0.114482,0.202939
2.07473,1.04341,0.111274,2.41588,0.0821453,0.207325
2.11648,1.03148,0.122468,2.48191,0.0441012,0.211711
2.15822,1.01956,0.133662,2.54795,-3.25989e-05,0.216097
