parameter,value,se_sa,rse_sa
V_pop,77.5265555691401,2.46577907643358,3.18056059414962
beta_V_logtWT,0.75593407701893,0.0889067763984152,11.7611811798489
Cl_pop,1.32381891786782,0.0691252950748415,5.22165789760555
beta_Cl_SEX_1,0.497908683791584,0.0600873547177961,12.0679467287515
beta_Cl_logtAGE,-0.841496653165662,0.0948792636351887,11.275061318219
beta_Cl_logtCreatinine,-0.881882607001072,0.054260130707327,6.15276118120119
omega_V,0.529742024002844,0.022722965981309,4.28943994467523
omega_Cl,0.654502624606475,0.0233061385076725,3.56089305549928
a,3.50175873660454,0.116288487771757,3.32085950285987
