standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
0.16396,0.731269,0.778442,0.731269,All
0.168075,0.732268,0.778509,0.732268,All
0.168227,0.733267,0.783404,0.733267,All
0.171793,0.734266,0.78572,0.734266,All
0.172659,0.735265,0.786407,0.735265,All
0.173634,0.736264,0.786856,0.736264,All
0.176547,0.737263,0.791663,0.737263,All
0.177531,0.738262,0.792658,0.738262,All
0.177939,0.739261,0.796398,0.739261,All
0.180058,0.74026,0.799697,0.74026,All
0.180103,0.741259,0.80355,0.741259,All
0.181156,0.742258,0.809415,0.742258,All
0.181672,0.743257,0.809438,0.743257,All
0.184032,0.744256,0.809611,0.744256,All
0.184238,0.745255,0.814171,0.745255,All
0.186244,0.746254,0.816534,0.746254,All
0.188217,0.747253,0.820746,0.747253,All
0.188335,0.748252,0.826326,0.748252,All
0.189185,0.749251,0.828443,0.749251,All
0.189186,0.75025,0.830159,0.75025,All
0.192048,0.751249,0.833387,0.751249,All
0.192321,0.752248,0.83706,0.752248,All
0.192563,0.753247,0.840182,0.753247,All
0.200423,0.754246,0.840966,0.754246,All
0.201769,0.755245,0.842309,0.755245,All
0.202067,0.756244,0.843681,0.756244,All
0.202175,0.757243,0.846687,0.757243,All
0.20248,0.758242,0.852824,0.758242,All
0.202626,0.759241,0.863065,0.759241,All
0.204194,0.76024,0.864312,0.76024,All
0.205864,0.761239,0.871886,0.761239,All
0.213808,0.762238,0.872951,0.762238,All
0.215068,0.763237,0.87444,0.763237,All
0.216055,0.764236,0.874487,0.764236,All
0.218109,0.765235,0.875335,0.765235,All
0.219349,0.766234,0.876289,0.766234,All
0.22367,0.767233,0.877635,0.767233,All
0.230383,0.768232,0.884845,0.768232,All
0.231932,0.769231,0.890439,0.769231,All
0.232646,0.77023,0.891614,0.77023,All
0.235413,0.771229,0.895409,0.771229,All
0.236665,0.772228,0.898344,0.772228,All
0.238904,0.773227,0.906355,0.773227,All
0.238994,0.774226,0.913765,0.774226,All
0.239803,0.775225,0.928731,0.775225,All
0.244419,0.776224,0.929973,0.776224,All
0.245242,0.777223,0.930811,0.777223,All
0.247969,0.778222,0.933882,0.778222,All
0.249148,0.779221,0.941846,0.779221,All
0.249763,0.78022,0.942279,0.78022,All
0.253126,0.781219,0.94633,0.781219,All
0.256542,0.782218,0.951782,0.782218,All
0.258092,0.783217,0.961285,0.783217,All
