parameter,value,se_sa,rse_sa
V_pop,72.6395550031389,3.43226410154606,4.72506212544631
beta_V_SEX_1,0.0611071332499193,0.0609421774387938,99.7300547377163
beta_V_logtWT,0.420941935556409,0.0869328694911149,20.6519859743139
Cl_pop,1.46515200372164,0.0890830220303264,6.08012150302809
beta_Cl_SEX_1,0.20839739537378,0.0740388757220383,35.5277356462363
beta_Cl_logtAGE,-1.13116351905716,0.108497132159466,9.59163996465335
beta_Cl_logtWT,0.1363398685235,0.0836773919524093,61.3741181201053
omega_V,0.543196183352583,0.0227445308399352,4.18716690893462
omega_Cl,0.807676399689844,0.0276220643068523,3.41994198635239
b,0.207304287552417,0.00683593294613437,3.29753572723666
