iteration,convergenceIndicator,phase,V_pop,Cl_pop,omega_V,omega_Cl,b
95,12803.2,1,79.8086,1.5037,0.618339,0.898608,0.206996
96,12719.7,1,79.0202,1.52424,0.623583,0.894754,0.201753
97,12719.5,1,79.8842,1.52611,0.616471,0.891162,0.204843
98,12720,1,79.3844,1.53908,0.608562,0.888343,0.205114
99,12763.6,1,81.2566,1.49806,0.607499,0.907301,0.208271
100,12698,1,81.822,1.50612,0.603996,0.892293,0.206131
101,12747.6,1,83.2229,1.44912,0.598703,0.921893,0.205487
102,12705.9,1,83.4524,1.46597,0.601322,0.910595,0.204423
103,12681.7,1,83.6946,1.49498,0.60044,0.904579,0.204815
104,12685.1,1,82.6161,1.4843,0.6078,0.89929,0.203551
105,12675.5,1,83.4129,1.45133,0.612219,0.904377,0.201009
106,12681.2,1,82.6594,1.46676,0.599086,0.882121,0.205913
107,12650.4,1,83.0461,1.48286,0.59211,0.905106,0.202963
108,12738.8,1,81.6143,1.48278,0.598275,0.928172,0.203345
109,12668.8,1,79.7615,1.47825,0.586151,0.936264,0.200498
110,12609.9,1,79.4914,1.55691,0.57492,0.912558,0.202532
111,12560.1,1,80.0089,1.54016,0.585113,0.889451,0.202646
112,12603,1,78.5483,1.53688,0.591616,0.89216,0.201739
113,12603.8,1,78.8929,1.54141,0.595398,0.912892,0.197148
114,12547.6,1,79.4399,1.58787,0.583417,0.907215,0.198752
115,12629.6,1,78.2854,1.58972,0.593612,0.884244,0.204446
116,12746,1,77.111,1.55785,0.605826,0.874574,0.210065
117,12759,1,78.8311,1.53475,0.594134,0.899226,0.209666
118,12721.6,1,78.9104,1.53689,0.583109,0.90067,0.210937
119,12818.4,1,78.2544,1.50782,0.590032,0.909956,0.212703
120,12727.1,1,78.9873,1.52031,0.575092,0.901408,0.213126
121,12836.8,1,78.5661,1.51129,0.576102,0.886032,0.220882
122,12859.9,1,81.3424,1.49625,0.576263,0.899556,0.221409
123,12838.1,1,80.0819,1.49076,0.581448,0.913746,0.215902
124,12750.9,1,78.9456,1.49847,0.583518,0.898597,0.211424
125,12733.5,1,77.9099,1.53991,0.589212,0.890791,0.211327
126,12823.3,1,78.0383,1.58689,0.591248,0.873672,0.220467
127,12763.7,1,78.4203,1.54575,0.600446,0.875473,0.215739
128,12781.4,1,77.7276,1.52631,0.604405,0.889839,0.211745
129,12897.1,1,77.0781,1.47662,0.611528,0.916511,0.212733
130,12859.5,1,79.1165,1.46163,0.607016,0.912934,0.212698
131,12771.3,1,79.9647,1.51795,0.591646,0.915784,0.212307
132,12680.9,1,79.5001,1.5241,0.577638,0.904392,0.20897
133,12712.8,1,79.1769,1.53238,0.590685,0.886553,0.210631
134,12744.3,1,77.4637,1.54053,0.602236,0.864105,0.213094
135,12663.2,1,78.7845,1.56001,0.610583,0.843974,0.209618
136,12667.3,1,79.8671,1.5373,0.613431,0.85946,0.206775
137,12701.4,1,79.1262,1.48532,0.625524,0.88856,0.201553
138,12774.2,1,78.37,1.52773,0.625723,0.893078,0.205341
139,12720.7,1,80.3447,1.52234,0.619681,0.875913,0.206814
140,12735,1,79.7196,1.52689,0.613339,0.871747,0.209689
141,12763.1,1,78.7965,1.50291,0.634687,0.861507,0.206382
142,12614.1,1,81.1118,1.56992,0.618616,0.854483,0.207122
143,12680.6,1,80.3205,1.56541,0.609101,0.860885,0.208731
144,12695.2,1,77.9537,1.5922,0.600656,0.883112,0.2093
145,12721.3,1,79.6603,1.54247,0.585447,0.890861,0.211263
146,12801.7,1,77.2222,1.56158,0.583506,0.915134,0.213549
147,12830.5,1,76.4167,1.5336,0.602167,0.917107,0.2102
148,12729.9,1,77.2791,1.57572,0.607867,0.894947,0.207563
149,12776.2,1,78.5226,1.55464,0.618195,0.906249,0.206521
150,12737,1,76.942,1.59422,0.60403,0.885818,0.209078
151,12627.1,1,77.3977,1.58317,0.588735,0.88284,0.206767
152,12708.5,1,77.3958,1.56985,0.586714,0.887439,0.212332
153,12625.9,1,75.547,1.63004,0.571858,0.872203,0.21062
154,12675.4,1,75.9598,1.65455,0.562103,0.893692,0.214541
155,12728,1,77.0238,1.61721,0.556995,0.901052,0.217927
156,12726.6,1,76.3872,1.5861,0.557579,0.920799,0.212585
157,12568.6,1,77.6757,1.58254,0.561032,0.897484,0.206928
158,12594.8,1,77.3361,1.56399,0.555261,0.888816,0.208308
159,12636.6,1,78.6194,1.53246,0.559022,0.897986,0.211129
160,12805.5,1,79.6222,1.51615,0.58503,0.922629,0.212761
161,12738.5,1,81.0805,1.50804,0.591236,0.904376,0.210598
162,12679.8,1,81.2616,1.49834,0.592808,0.903004,0.207311
163,12761.1,1,79.7746,1.50659,0.58858,0.929558,0.207985
164,12714,1,81.1838,1.50569,0.591858,0.917665,0.206528
165,12860.4,1,80.6067,1.45997,0.605359,0.906536,0.212995
166,12704.9,1,80.5014,1.53149,0.592169,0.884565,0.209728
167,12795.2,1,79.9276,1.51057,0.59102,0.87647,0.217318
168,12870,1,79.2264,1.51659,0.578014,0.897929,0.222211
169,12856.1,1,80.8893,1.50687,0.576824,0.898088,0.221617
170,12862.9,1,79.4255,1.49383,0.586225,0.911743,0.216707
171,12882.6,1,78.0735,1.54208,0.59086,0.892461,0.220498
172,12812.6,1,78.677,1.52929,0.58679,0.893611,0.216564
173,12794,1,78.9138,1.51879,0.603328,0.908559,0.208303
174,12703.1,1,80.0903,1.55689,0.588051,0.90378,0.208807
175,12778.4,1,80.6905,1.48965,0.57812,0.900456,0.214199
176,12803.5,1,78.2626,1.52549,0.581526,0.92663,0.212179
177,12786.2,1,79.2665,1.49098,0.569225,0.964945,0.208482
178,12816.5,1,80.8434,1.47173,0.557925,0.969242,0.211761
179,12807.7,1,82.0075,1.40895,0.573481,0.967833,0.208714
180,12753.2,1,81.8966,1.42216,0.577259,0.945236,0.206006
181,12665.5,1,80.9428,1.48628,0.566574,0.928208,0.206167
182,12597.3,1,79.4172,1.53472,0.579394,0.914324,0.201927
183,12560.6,1,79.5005,1.5474,0.585814,0.90854,0.199878
184,12624.1,1,79.5154,1.5366,0.58126,0.910366,0.203458
185,12590.3,1,79.9376,1.54378,0.58338,0.888873,0.204121
186,12670.5,1,80.0694,1.56141,0.588909,0.869222,0.209689
187,12645.5,1,81.2871,1.54582,0.588921,0.873209,0.208011
188,12849.3,1,81.5114,1.50467,0.612183,0.892464,0.21381
189,12825.1,1,82.007,1.45107,0.604323,0.905587,0.211166
190,12759.5,1,82.9962,1.42975,0.590577,0.928225,0.207651
191,12648.6,1,81.1649,1.47812,0.589125,0.904722,0.204716
192,12630.3,1,79.6285,1.48674,0.589193,0.900329,0.201999
193,12665.1,1,79.6618,1.50153,0.60766,0.903035,0.200262
194,12624.9,1,79.5204,1.50262,0.599311,0.911991,0.19871
195,12505.2,1,77.0252,1.58156,0.588301,0.894032,0.196906
196,12629.1,1,77.0403,1.57831,0.586686,0.895149,0.204491
197,12754.3,1,77.8306,1.56798,0.602374,0.875848,0.211748
198,12771.3,1,76.5083,1.54736,0.608218,0.903155,0.20841
199,12789.6,1,77.6536,1.55268,0.613625,0.904647,0.207838
200,12789.6,1,79.1483,1.55031,0.619456,0.908411,0.208308
201,12844.5,1,79.9427,1.51361,0.624951,0.903886,0.208298
202,12872.6,1,77.7915,1.52551,0.621339,0.890309,0.21296
203,12844.2,1,77.5967,1.52547,0.626129,0.883109,0.210089
204,12699.6,1,78.6905,1.5127,0.610275,0.894909,0.204338
205,12731,1,79.0867,1.5172,0.603094,0.905894,0.205936
206,12690.8,1,78.4782,1.50584,0.611097,0.882957,0.204694
207,12665.4,1,78.8394,1.53317,0.606291,0.875204,0.205332
208,12754.9,1,80.6477,1.52853,0.615873,0.886699,0.209166
209,12731.8,1,80.846,1.51271,0.620197,0.878219,0.206138
210,12841.6,1,82.5624,1.43324,0.624655,0.883544,0.210489
211,12806.5,1,83.0603,1.46204,0.623977,0.885931,0.210323
212,12830.4,1,82.6302,1.48852,0.629518,0.878924,0.210952
213,12859.7,1,81.3964,1.47168,0.619681,0.898637,0.211129
214,12721.1,1,81.8219,1.51247,0.60399,0.890868,0.209513
215,12708,1,81.2232,1.51928,0.609801,0.882781,0.206949
216,12716.2,1,81.4356,1.50053,0.62551,0.901368,0.202187
217,12665.8,1,81.8535,1.49921,0.609672,0.87887,0.204976
218,12727.4,1,78.9511,1.50684,0.61448,0.858982,0.20817
219,12717.2,1,80.4057,1.51158,0.613577,0.860662,0.209864
220,12835.9,1,81.4927,1.47415,0.631611,0.878749,0.21108
221,12827.8,1,80.8905,1.46244,0.623556,0.884305,0.210505
222,12826.6,1,82.0624,1.44414,0.633372,0.900367,0.20695
223,12835.7,1,82.0392,1.46523,0.634548,0.897553,0.208948
224,12805.9,1,80.9183,1.49994,0.63492,0.881814,0.208363
225,12813.7,1,78.9222,1.53906,0.618898,0.884957,0.211831
226,12802.1,1,80.8447,1.5075,0.622777,0.899276,0.207395
227,12656.6,1,79.8758,1.51918,0.623764,0.876506,0.201857
228,12701,1,78.7514,1.55302,0.627987,0.863175,0.206169
229,12668.4,1,78.78,1.56585,0.612086,0.867557,0.206706
230,12593,1,79.1638,1.53859,0.610149,0.867581,0.200835
231,12702,1,79.6343,1.51124,0.619673,0.910128,0.199719
232,12638.8,1,79.8621,1.49337,0.606097,0.893372,0.20116
233,12656.1,1,81.0703,1.48476,0.592432,0.894505,0.204559
234,12620.1,1,81.0553,1.50824,0.578155,0.915362,0.203201
235,12625.9,1,78.5054,1.527,0.56451,0.919773,0.203543
236,12566.8,1,79.7689,1.51672,0.564555,0.908664,0.202686
237,12633.8,1,82.1755,1.4914,0.572707,0.931767,0.203997
238,12591.7,1,83.0378,1.50061,0.584094,0.921647,0.201269
239,12704,1,82.4538,1.46756,0.582524,0.911682,0.207264
240,12742.7,1,82.2305,1.51315,0.585679,0.93151,0.207247
241,12673.1,1,80.2536,1.49587,0.584555,0.920416,0.203318
242,12728.2,1,81.754,1.46042,0.593578,0.910253,0.206877
243,12773.4,1,83.1119,1.46124,0.600832,0.898489,0.211036
244,12802.5,2,83.4127,1.46294,0.587012,0.89133,0.215851
245,12834.6,2,83.3765,1.46745,0.572148,0.884458,0.222116
246,12798.9,2,83.9782,1.46102,0.591367,0.901735,0.214448
247,12694.3,2,83.4163,1.50784,0.589646,0.888391,0.210429
248,12804.5,2,82.1222,1.46313,0.597854,0.910278,0.210211
249,12830.9,2,81.7519,1.45642,0.592154,0.913425,0.212933
250,12792.5,2,80.4258,1.47955,0.598532,0.901392,0.212231
251,12791.9,2,80.9516,1.50714,0.598216,0.89388,0.213111
252,12787.9,2,80.143,1.50757,0.61111,0.880174,0.211957
253,12743.8,2,78.7621,1.51027,0.606137,0.889584,0.207309
254,12686.6,2,79.4623,1.49795,0.593527,0.902097,0.205471
255,12743,2,80.7674,1.49614,0.586147,0.904063,0.207959
256,12716.1,2,81.1478,1.46888,0.582304,0.925405,0.206217
257,12710.4,2,81.5944,1.48969,0.591211,0.918529,0.207508
258,12682,2,80.9885,1.49688,0.582394,0.930134,0.205819
259,12670.2,2,80.6107,1.47279,0.582646,0.929794,0.203129
260,12612.3,2,80.3427,1.49501,0.58824,0.912826,0.202567
261,12653,2,79.0794,1.51424,0.595463,0.91061,0.201471
262,12796.5,2,79.4255,1.47274,0.60366,0.921668,0.202656
263,12662.4,2,79.4729,1.4904,0.608223,0.914432,0.201415
264,12727.3,2,78.9918,1.4977,0.614112,0.910006,0.201226
265,12645.3,2,78.9893,1.50259,0.616515,0.904753,0.199413
266,12699.3,2,79.0935,1.50583,0.621944,0.893913,0.200769
267,12692.6,2,78.6399,1.49766,0.622389,0.900017,0.199775
268,12688.4,2,78.9257,1.50478,0.619819,0.893691,0.201133
269,12716.5,2,79.1303,1.49463,0.616731,0.900821,0.200557
270,12770.1,2,79.1067,1.48227,0.615596,0.903983,0.201168
271,12825.1,2,79.5987,1.48481,0.617732,0.903504,0.203399
272,12788.2,2,79.5488,1.48618,0.615315,0.902313,0.204885
273,12767.6,2,79.5563,1.49674,0.610826,0.902709,0.206347
274,12805.9,2,79.6975,1.49771,0.611252,0.899838,0.20736
275,12734.2,2,79.6216,1.50929,0.609234,0.899068,0.207479
276,12727.9,2,80.0916,1.50367,0.605977,0.897335,0.207512
277,12710.5,2,80.2055,1.50925,0.608802,0.894219,0.206741
278,12698.9,2,80.2971,1.50333,0.607632,0.893237,0.206373
279,12764.8,2,80.3702,1.4973,0.608708,0.894606,0.206216
280,12784.5,2,80.192,1.49594,0.609531,0.893608,0.206621
281,12768.6,2,80.0937,1.5005,0.60928,0.893568,0.20697
282,12687.7,2,80.056,1.50772,0.607251,0.892552,0.206964
283,12625.3,2,80.2139,1.51235,0.60529,0.891101,0.206676
284,12679.8,2,80.3556,1.5095,0.602814,0.895586,0.206228
285,12813,2,80.499,1.5057,0.601936,0.899374,0.207049
286,12742.6,2,80.6233,1.50696,0.602013,0.898833,0.207357
287,12754.4,2,80.7167,1.50662,0.60114,0.899502,0.207449
288,12708.8,2,80.7095,1.5055,0.600601,0.900619,0.207253
289,12756.3,2,80.6998,1.50802,0.600891,0.8998,0.207659
290,12711.5,2,80.7363,1.50737,0.600768,0.899452,0.207674
291,12689.9,2,80.6198,1.51082,0.60006,0.89814,0.20792
292,12660.7,2,80.7502,1.51127,0.599987,0.897902,0.207707
293,12640.3,2,80.8454,1.51056,0.598335,0.898208,0.207665
294,12756.6,2,80.7934,1.50689,0.598316,0.898682,0.207625
295,12778.5,2,80.7823,1.50693,0.598542,0.898556,0.207655
296,12635.4,2,80.7364,1.50794,0.598754,0.898212,0.207509
297,12852.1,2,80.695,1.50815,0.599101,0.898177,0.207578
298,12778.3,2,80.6844,1.50846,0.599213,0.897997,0.207632
299,12718.8,2,80.6604,1.50877,0.59932,0.897954,0.207611
300,12802.2,2,80.6253,1.50875,0.599249,0.898238,0.207637
