pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.008614,0.506658,-0.0349706,0.507292,0.117113,0.506658,All
-0.00842763,0.507292,-0.031311,0.507926,0.117894,0.507292,All
-0.00638602,0.507926,-0.0309762,0.508561,0.1194,0.507926,All
-0.0050651,0.508561,-0.0297823,0.509195,0.131087,0.508561,All
-0.00340742,0.509195,-0.028388,0.509829,0.13127,0.509195,All
0.000200433,0.509829,-0.0279747,0.510463,0.13594,0.509829,All
0.000245875,0.510463,-0.0278589,0.511097,0.138718,0.510463,All
0.000283836,0.511097,-0.0274647,0.511731,0.140167,0.511097,All
0.00455332,0.511731,-0.0273842,0.512365,0.142879,0.511731,All
0.00502576,0.512365,-0.0271342,0.512999,0.142948,0.512365,All
0.0060404,0.512999,-0.0266296,0.513633,0.144387,0.512999,All
0.00650934,0.513633,-0.0265719,0.514268,0.145351,0.513633,All
0.00659578,0.514268,-0.026503,0.514902,0.148175,0.514268,All
0.00769899,0.514902,-0.0240757,0.515536,0.153137,0.514902,All
0.0103046,0.515536,-0.0234766,0.51617,0.154609,0.515536,All
0.0107036,0.51617,-0.022787,0.516804,0.155088,0.51617,All
0.0109339,0.516804,-0.0226226,0.517438,0.161671,0.516804,All
0.0124822,0.517438,-0.0218427,0.518072,0.161689,0.517438,All
0.0125542,0.518072,-0.0174462,0.518706,0.166757,0.518072,All
0.0139079,0.518706,-0.0152949,0.519341,0.167221,0.518706,All
0.0157884,0.519341,-0.014004,0.519975,0.168585,0.519341,All
0.0177123,0.519975,-0.0130945,0.520609,0.169423,0.519975,All
0.0188641,0.520609,-0.0116772,0.521243,0.169732,0.520609,All
0.0209805,0.521243,-0.0114254,0.521877,0.170861,0.521243,All
0.0240851,0.521877,-0.0112429,0.522511,0.174595,0.521877,All
0.0269542,0.522511,-0.0103183,0.523145,0.175376,0.522511,All
0.0281425,0.523145,-0.00993797,0.523779,0.179293,0.523145,All
0.0328566,0.523779,-0.00984395,0.524413,0.179387,0.523779,All
0.0338292,0.524413,-0.00916117,0.525048,0.181415,0.524413,All
0.0356174,0.525048,-0.00914819,0.525682,0.182494,0.525048,All
0.0358249,0.525682,-0.00822702,0.526316,0.187908,0.525682,All
0.0365176,0.526316,-0.00820423,0.52695,0.190084,0.526316,All
0.036723,0.52695,-0.00709411,0.527584,0.190981,0.52695,All
0.038141,0.527584,-0.00692257,0.528218,0.191636,0.527584,All
0.0382305,0.528218,-0.00641585,0.528852,0.191924,0.528218,All
