bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median_pc,theoretical_median_piLower_pc,theoretical_median_piUpper_pc,theoretical_lower_median_pc,theoretical_lower_piLower_pc,theoretical_lower_piUpper_pc,theoretical_upper_median_pc,theoretical_upper_piLower_pc,theoretical_upper_piUpper_pc,split
11.4147,13.7095,7.89033,26.5252,9.51626,8.49531,10.5625,1.25916,-0.283657,2.61605,18.839,16.9951,20.8303,All
21.8661,14.7965,8.46471,30.3306,9.70809,8.72562,10.6414,-0.208416,-1.35179,0.851981,22.3362,20.4574,24.3381,All
32.8816,16.0246,7.79966,38.1677,11.0824,9.74035,12.4091,-0.100306,-1.49252,1.28476,27.5152,24.9053,30.6696,All
44.9461,15.6217,7.56121,49.3082,9.72808,8.60686,11.0385,-1.23597,-2.8117,0.0653441,28.3112,25.164,31.5444,All
56.7763,19.9891,8.38272,77.8908,11.3628,9.66227,13.2242,-1.16736,-3.30575,0.651302,35.5692,30.2909,42.3105,All
72.1851,15.6374,6.26679,92.3759,9.38776,7.78229,11.1239,-1.38933,-3.57367,0.476219,32.763,26.6097,40.5374,All
100.821,21.3073,5.80878,103.67,9.80003,7.22411,12.6376,-2.52391,-7.63707,0.763171,39.1976,27.6692,58.2873,All
176.308,17.8789,6.7174,56.133,10.8641,6.84271,16.2063,-0.699621,-6.46075,3.1422,32.9224,22.1031,52.7296,All
286.981,22.7239,9.72612,45.8725,13.4337,6.15103,24.8842,0.482005,-6.46167,6.60278,37.5109,22.2986,68.6685,All
