V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
85.6374,0.705295,3.11967,0.705295,All
85.6451,0.706294,3.11971,0.706294,All
85.8173,0.707293,3.14467,0.707293,All
85.8898,0.708292,3.18255,0.708292,All
85.9073,0.709291,3.20387,0.709291,All
85.9593,0.71029,3.21503,0.71029,All
85.9732,0.711289,3.2239,0.711289,All
86.0636,0.712288,3.22488,0.712288,All
86.0781,0.713287,3.23238,0.713287,All
86.395,0.714286,3.23489,0.714286,All
86.5435,0.715285,3.23907,0.715285,All
86.5551,0.716284,3.23938,0.716284,All
86.624,0.717283,3.24581,0.717283,All
86.6504,0.718282,3.2495,0.718282,All
86.6695,0.719281,3.26275,0.719281,All
86.7382,0.72028,3.27581,0.72028,All
86.7983,0.721279,3.28052,0.721279,All
86.9938,0.722278,3.28154,0.722278,All
87.5385,0.723277,3.28785,0.723277,All
87.6859,0.724276,3.28974,0.724276,All
87.9158,0.725275,3.29945,0.725275,All
88.0633,0.726274,3.30668,0.726274,All
88.1247,0.727273,3.32081,0.727273,All
88.1257,0.728272,3.32247,0.728272,All
88.1324,0.729271,3.33573,0.729271,All
88.3826,0.73027,3.35961,0.73027,All
88.6359,0.731269,3.36299,0.731269,All
88.7067,0.732268,3.38263,0.732268,All
88.7401,0.733267,3.38701,0.733267,All
88.7788,0.734266,3.40994,0.734266,All
88.8091,0.735265,3.42279,0.735265,All
88.9442,0.736264,3.42372,0.736264,All
89.0229,0.737263,3.43098,0.737263,All
89.0335,0.738262,3.44359,0.738262,All
89.1539,0.739261,3.44366,0.739261,All
89.2846,0.74026,3.44807,0.74026,All
89.4301,0.741259,3.45059,0.741259,All
89.4836,0.742258,3.45629,0.742258,All
89.4987,0.743257,3.47737,0.743257,All
89.6447,0.744256,3.50115,0.744256,All
89.9905,0.745255,3.50388,0.745255,All
90.0713,0.746254,3.50769,0.746254,All
90.0949,0.747253,3.555,0.747253,All
90.1848,0.748252,3.55524,0.748252,All
90.2743,0.749251,3.55677,0.749251,All
90.3268,0.75025,3.56201,0.75025,All
90.3341,0.751249,3.5627,0.751249,All
90.4032,0.752248,3.56339,0.752248,All
90.4676,0.753247,3.56469,0.753247,All
90.5035,0.754246,3.57696,0.754246,All
90.7528,0.755245,3.59734,0.755245,All
90.8033,0.756244,3.62161,0.756244,All
90.8549,0.757243,3.62522,0.757243,All
90.9386,0.758242,3.63075,0.758242,All
91.0699,0.759241,3.64246,0.759241,All
91.1936,0.76024,3.66157,0.76024,All
91.2038,0.761239,3.66189,0.761239,All
91.2224,0.762238,3.67331,0.762238,All
91.3617,0.763237,3.70877,0.763237,All
91.4655,0.764236,3.74371,0.764236,All
91.492,0.765235,3.74598,0.765235,All
91.5465,0.766234,3.75211,0.766234,All
91.5544,0.767233,3.78784,0.767233,All
91.6939,0.768232,3.79041,0.768232,All
91.8466,0.769231,3.81104,0.769231,All
91.8608,0.77023,3.82392,0.77023,All
92.0268,0.771229,3.82468,0.771229,All
92.0871,0.772228,3.82962,0.772228,All
92.1427,0.773227,3.83252,0.773227,All
92.3641,0.774226,3.83652,0.774226,All
92.4669,0.775225,3.84505,0.775225,All
92.5357,0.776224,3.85896,0.776224,All
92.543,0.777223,3.86064,0.777223,All
92.6293,0.778222,3.86942,0.778222,All
92.732,0.779221,3.87536,0.779221,All
92.7352,0.78022,3.89296,0.78022,All
92.9229,0.781219,3.90561,0.781219,All
92.9603,0.782218,3.92389,0.782218,All
93.1322,0.783217,3.92534,0.783217,All
93.2008,0.784216,3.92946,0.784216,All
93.2414,0.785215,3.93919,0.785215,All
93.7762,0.786214,3.96484,0.786214,All
93.9606,0.787213,3.96675,0.787213,All
93.9704,0.788212,3.96728,0.788212,All
94.0523,0.789211,3.98583,0.789211,All
94.1919,0.79021,3.98686,0.79021,All
94.3464,0.791209,4.00137,0.791209,All
94.3506,0.792208,4.03463,0.792208,All
94.5043,0.793207,4.03601,0.793207,All
94.6689,0.794206,4.04077,0.794206,All
94.8469,0.795205,4.05292,0.795205,All
94.9256,0.796204,4.05746,0.796204,All
95.0859,0.797203,4.05973,0.797203,All
95.1089,0.798202,4.08358,0.798202,All
95.2169,0.799201,4.10985,0.799201,All
95.319,0.8002,4.13438,0.8002,All
95.3306,0.801199,4.13664,0.801199,All
95.3348,0.802198,4.1537,0.802198,All
95.3884,0.803197,4.15471,0.803197,All
95.6294,0.804196,4.16526,0.804196,All
95.6768,0.805195,4.17893,0.805195,All
95.6974,0.806194,4.18546,0.806194,All
95.7149,0.807193,4.20994,0.807193,All
95.8268,0.808192,4.22057,0.808192,All
96.0662,0.809191,4.22274,0.809191,All
96.2654,0.81019,4.22511,0.81019,All
96.366,0.811189,4.23649,0.811189,All
96.378,0.812188,4.23782,0.812188,All
96.3791,0.813187,4.2776,0.813187,All
96.3841,0.814186,4.28169,0.814186,All
96.4491,0.815185,4.28574,0.815185,All
96.4589,0.816184,4.28819,0.816184,All
96.691,0.817183,4.30482,0.817183,All
96.7507,0.818182,4.31734,0.818182,All
96.7803,0.819181,4.3316,0.819181,All
96.8094,0.82018,4.36397,0.82018,All
96.9404,0.821179,4.39768,0.821179,All
97.1147,0.822178,4.41408,0.822178,All
97.4284,0.823177,4.43408,0.823177,All
97.6328,0.824176,4.44083,0.824176,All
97.8377,0.825175,4.46443,0.825175,All
97.9334,0.826174,4.46589,0.826174,All
98.299,0.827173,4.4677,0.827173,All
98.3487,0.828172,4.47007,0.828172,All
98.3511,0.829171,4.49043,0.829171,All
98.3533,0.83017,4.50928,0.83017,All
98.605,0.831169,4.52264,0.831169,All
98.7612,0.832168,4.52723,0.832168,All
98.9956,0.833167,4.55458,0.833167,All
99.0372,0.834166,4.57105,0.834166,All
99.2156,0.835165,4.57612,0.835165,All
99.2465,0.836164,4.58399,0.836164,All
99.2691,0.837163,4.58631,0.837163,All
99.7449,0.838162,4.59481,0.838162,All
99.9414,0.839161,4.60855,0.839161,All
100.778,0.84016,4.61353,0.84016,All
101.2,0.841159,4.67578,0.841159,All
101.348,0.842158,4.74386,0.842158,All
101.529,0.843157,4.79778,0.843157,All
102.056,0.844156,4.80009,0.844156,All
102.189,0.845155,4.80226,0.845155,All
102.617,0.846154,4.80647,0.846154,All
103.293,0.847153,4.81735,0.847153,All
103.33,0.848152,4.86836,0.848152,All
103.347,0.849151,4.87891,0.849151,All
103.436,0.85015,4.89985,0.85015,All
103.49,0.851149,4.91488,0.851149,All
103.645,0.852148,4.91641,0.852148,All
104.098,0.853147,4.94078,0.853147,All
104.109,0.854146,4.9556,0.854146,All
104.153,0.855145,4.97857,0.855145,All
104.185,0.856144,5.02252,0.856144,All
104.252,0.857143,5.04805,0.857143,All
104.294,0.858142,5.04919,0.858142,All
104.589,0.859141,5.06686,0.859141,All
104.777,0.86014,5.0766,0.86014,All
