trans_Cl_vs_WT_abscissa,trans_Cl_vs_WT_spline,trans_Cl_vs_WT_regression,trans_V_vs_WT_abscissa,trans_V_vs_WT_spline,trans_V_vs_WT_regression,split
192.122,-0.786224,-0.831602,192.122,-0.223427,-0.165114,All
194.02,-0.803213,-0.838405,194.02,-0.219312,-0.168291,All
195.918,-0.820201,-0.845207,195.918,-0.215196,-0.171468,All
197.816,-0.837189,-0.85201,197.816,-0.211081,-0.174645,All
199.714,-0.852759,-0.858813,199.714,-0.202093,-0.177822,All
201.612,-0.86598,-0.865615,201.612,-0.185028,-0.180999,All
203.51,-0.8792,-0.872418,203.51,-0.167962,-0.184176,All
205.408,-0.889204,-0.87922,205.408,-0.143773,-0.187352,All
207.306,-0.895701,-0.886023,207.306,-0.111817,-0.190529,All
209.204,-0.902198,-0.892825,209.204,-0.0798618,-0.193706,All
211.102,-0.908695,-0.899628,211.102,-0.0479064,-0.196883,All
213,-0.913114,-0.90643,213,-0.0119142,-0.20006,All
