standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
0.710008,0.913087,1.26563,0.913087,All
0.719508,0.914086,1.26647,0.914086,All
0.720785,0.915085,1.28276,0.915085,All
0.724922,0.916084,1.28816,0.916084,All
0.732179,0.917083,1.29272,0.917083,All
0.745842,0.918082,1.29287,0.918082,All
0.750847,0.919081,1.29705,0.919081,All
0.751297,0.92008,1.32037,0.92008,All
0.75435,0.921079,1.33729,0.921079,All
0.760264,0.922078,1.3405,0.922078,All
0.768417,0.923077,1.35023,0.923077,All
0.772442,0.924076,1.35325,0.924076,All
0.778148,0.925075,1.35728,0.925075,All
0.78529,0.926074,1.36598,0.926074,All
0.799047,0.927073,1.38425,0.927073,All
0.806363,0.928072,1.38468,0.928072,All
0.807397,0.929071,1.39218,0.929071,All
0.807819,0.93007,1.40004,0.93007,All
0.81133,0.931069,1.40333,0.931069,All
0.811964,0.932068,1.40452,0.932068,All
0.812715,0.933067,1.40753,0.933067,All
0.820856,0.934066,1.42803,0.934066,All
0.821281,0.935065,1.43491,0.935065,All
0.828079,0.936064,1.43898,0.936064,All
0.831006,0.937063,1.43936,0.937063,All
0.831703,0.938062,1.44347,0.938062,All
0.835397,0.939061,1.4514,0.939061,All
0.854255,0.94006,1.46054,0.94006,All
0.875018,0.941059,1.4632,0.941059,All
0.889466,0.942058,1.46518,0.942058,All
0.890324,0.943057,1.52094,0.943057,All
0.901281,0.944056,1.52335,0.944056,All
0.914808,0.945055,1.52583,0.945055,All
0.922991,0.946054,1.53018,0.946054,All
0.923918,0.947053,1.53134,0.947053,All
0.926051,0.948052,1.5442,0.948052,All
0.952313,0.949051,1.55057,0.949051,All
0.955411,0.95005,1.55756,0.95005,All
0.95862,0.951049,1.55772,0.951049,All
0.979995,0.952048,1.55992,0.952048,All
0.993933,0.953047,1.57738,0.953047,All
0.994211,0.954046,1.60105,0.954046,All
1.04092,0.955045,1.60369,0.955045,All
1.04564,0.956044,1.61389,0.956044,All
1.07573,0.957043,1.61661,0.957043,All
1.07736,0.958042,1.62016,0.958042,All
1.07914,0.959041,1.62646,0.959041,All
1.09471,0.96004,1.6295,0.96004,All
1.1116,0.961039,1.6712,0.961039,All
1.13481,0.962038,1.68991,0.962038,All
1.14612,0.963037,1.69449,0.963037,All
1.14627,0.964036,1.72877,0.964036,All
1.15905,0.965035,1.72988,0.965035,All
1.16905,0.966034,1.73514,0.966034,All
1.17377,0.967033,1.73639,0.967033,All
1.1759,0.968032,1.73921,0.968032,All
1.18063,0.969031,1.74021,0.969031,All
1.26535,0.97003,1.746,0.97003,All
1.26565,0.971029,1.75577,0.971029,All
1.27082,0.972028,1.76209,0.972028,All
1.27584,0.973027,1.77057,0.973027,All
1.293,0.974026,1.77481,0.974026,All
1.30119,0.975025,1.77628,0.975025,All
1.30956,0.976024,1.78997,0.976024,All
1.3431,0.977023,1.79577,0.977023,All
1.35271,0.978022,1.81888,0.978022,All
1.36488,0.979021,1.82404,0.979021,All
1.36756,0.98002,1.83941,0.98002,All
1.38825,0.981019,1.85723,0.981019,All
1.40086,0.982018,1.86084,0.982018,All
1.48185,0.983017,1.89636,0.983017,All
1.52149,0.984016,1.89723,0.984016,All
1.60996,0.985015,1.9637,0.985015,All
1.61719,0.986014,2.0021,0.986014,All
1.63131,0.987013,2.00211,0.987013,All
1.6314,0.988012,2.00566,0.988012,All
1.64479,0.989011,2.01311,0.989011,All
1.70567,0.99001,2.01378,0.99001,All
1.71908,0.991009,2.01783,0.991009,All
1.72123,0.992008,2.04181,0.992008,All
1.74867,0.993007,2.10176,0.993007,All
1.77415,0.994006,2.14126,0.994006,All
1.79402,0.995005,2.16243,0.995005,All
1.82179,0.996004,2.20738,0.996004,All
1.82367,0.997003,2.25195,0.997003,All
2.0411,0.998002,2.33006,0.998002,All
2.20257,0.999001,2.39383,0.999001,All
2.21212,1,2.5608,1,All
4,1,4,1,All
