time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
66.0536,0.655251,66.0536,0.13966,66.0536,0.643373,17.7753,0.333762,7.62451,0.239968,17.7753,0.365876,All
72.2533,0.617205,72.2533,0.110519,72.2533,0.625744,18.2311,0.285361,8.76078,0.185177,18.2311,0.325891,All
73.3585,0.653919,73.3585,0.113853,73.3585,0.645195,20.7339,0.145265,8.89249,0.173828,20.7339,0.201573,All
79.292,0.713682,79.292,0.168399,79.292,0.683751,21.7065,0.0453271,10.1605,0.20068,21.7065,0.108889,All
81.4712,0.593923,81.4712,0.124923,81.4712,0.612664,23.6924,-0.0459931,10.3319,0.197661,23.6924,0.0238074,All
86.3307,0.573976,86.3307,0.099916,86.3307,0.609666,25.8443,-0.144628,11.4285,0.207464,25.8443,-0.0636322,All
90.4812,0.691368,90.4812,0.12524,90.4812,0.689721,26.651,-0.186433,12.1848,0.264592,26.651,-0.1011,All
93.3693,0.722913,93.3693,0.131828,93.3693,0.712262,29.6095,-0.344657,12.6964,0.18248,29.6095,-0.243613,All
100.408,0.6753,100.408,0.118296,100.408,0.686216,30.7709,-0.406362,13.9644,0.196822,30.7709,-0.299346,All
100.487,0.674659,100.487,0.118134,100.487,0.685857,32.5681,-0.501021,14.37,0.190076,32.5681,-0.385044,All
107.447,0.634238,107.447,0.109016,107.447,0.664712,35.5266,-0.655604,15.2324,0.20385,35.5266,-0.525299,All
111.6,0.62195,111.6,0.107436,111.6,0.659734,36.6366,-0.712929,16.5004,0.172221,36.6366,-0.577479,All
114.485,0.616765,114.485,0.107443,114.485,0.65835,38.4851,-0.807898,16.9471,0.199773,38.4851,-0.664051,All
121.524,0.609103,121.524,0.109173,121.524,0.657555,41.4437,-0.958171,17.7684,0.192782,41.4437,-0.801488,All
123.942,0.606308,123.942,0.109753,123.942,0.656876,43.6205,-1.06466,19.0364,0.146692,43.6205,-0.899994,All
128.563,0.599836,128.563,0.110536,128.563,0.654424,44.4022,-1.1029,19.9863,0.143244,44.4022,-0.935369,All
135.601,0.587375,135.601,0.110929,135.601,0.648033,47.3608,-1.24763,20.3043,0.160667,47.3608,-1.06925,All
137.649,0.583204,137.649,0.110864,137.649,0.645618,50.3193,-1.39235,21.5723,0.14451,50.3193,-1.20313,All
142.64,0.572201,142.64,0.110406,142.64,0.638878,51.9357,-1.47142,22.8403,0.133249,51.9357,-1.27627,All
149.679,0.554744,149.679,0.108984,149.679,0.627404,53.2779,-1.53708,23.5706,0.166885,53.2779,-1.33701,All
152.872,0.546314,152.872,0.108109,152.872,0.621681,56.2364,-1.68181,24.1083,0.142261,56.2364,-1.47089,All
156.717,0.535689,156.717,0.106803,156.717,0.614312,59.195,-1.82654,25.3763,0.100264,59.195,-1.60477,All
163.756,0.515383,163.756,0.103836,163.756,0.599966,61.836,-1.9506,26.6443,0.112503,61.836,-1.72116,All
169.778,0.497454,169.778,0.10064,169.778,0.587151,62.1535,-1.96519,27.7976,0.104909,62.1535,-1.73496,All
170.795,0.494406,170.795,0.10006,170.795,0.584967,65.1121,-2.10108,27.9123,0.10155,65.1121,-1.86354,All
177.833,0.473328,177.833,0.095897,177.833,0.569884,68.0706,-2.23697,29.1802,0.0763563,68.0706,-1.99213,All
