standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-0.0761406,0.357642,-0.68145,0.357642,All
-0.0755652,0.358641,-0.678673,0.358641,All
-0.0755384,0.35964,-0.669091,0.35964,All
-0.074754,0.360639,-0.665659,0.360639,All
-0.0747502,0.361638,-0.66135,0.361638,All
-0.0742187,0.362637,-0.659846,0.362637,All
-0.0730578,0.363636,-0.65536,0.363636,All
-0.0717342,0.364635,-0.654309,0.364635,All
-0.0714598,0.365634,-0.653937,0.365634,All
-0.0711809,0.366633,-0.653518,0.366633,All
-0.070406,0.367632,-0.650727,0.367632,All
-0.0702164,0.368631,-0.646855,0.368631,All
-0.068169,0.36963,-0.645468,0.36963,All
-0.0672533,0.370629,-0.644948,0.370629,All
-0.0648567,0.371628,-0.644661,0.371628,All
-0.0645574,0.372627,-0.644081,0.372627,All
-0.0642349,0.373626,-0.643895,0.373626,All
-0.0641924,0.374625,-0.641256,0.374625,All
-0.06413,0.375624,-0.639265,0.375624,All
-0.0640338,0.376623,-0.636344,0.376623,All
-0.0636062,0.377622,-0.63422,0.377622,All
-0.0631268,0.378621,-0.631968,0.378621,All
-0.0628594,0.37962,-0.631114,0.37962,All
-0.0626522,0.380619,-0.630992,0.380619,All
-0.0625077,0.381618,-0.630376,0.381618,All
-0.0624805,0.382617,-0.629304,0.382617,All
-0.0622548,0.383616,-0.628611,0.383616,All
-0.0613778,0.384615,-0.627258,0.384615,All
-0.06135,0.385614,-0.626909,0.385614,All
-0.0603059,0.386613,-0.626309,0.386613,All
-0.058817,0.387612,-0.623164,0.387612,All
-0.0577925,0.388611,-0.623128,0.388611,All
-0.0570031,0.38961,-0.621529,0.38961,All
-0.0567003,0.390609,-0.619823,0.390609,All
-0.0566548,0.391608,-0.619548,0.391608,All
-0.0566366,0.392607,-0.618476,0.392607,All
-0.0566268,0.393606,-0.618054,0.393606,All
-0.0564676,0.394605,-0.6143,0.394605,All
-0.0558689,0.395604,-0.609422,0.395604,All
-0.0556542,0.396603,-0.608016,0.396603,All
-0.0553399,0.397602,-0.607848,0.397602,All
-0.0553069,0.398601,-0.604095,0.398601,All
-0.0552155,0.3996,-0.601312,0.3996,All
