Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
1.23445,-0.0972738,0.116207,1.4778,0.102982,0.0842914
1.27583,-0.100081,0.120224,1.53113,0.104072,0.0877216
1.31722,-0.0960311,0.12424,1.58446,0.103075,0.0911517
1.3586,-0.0846758,0.128257,1.6378,0.0998918,0.0945819
1.39999,-0.0631674,0.132274,1.69113,0.0947815,0.0980121
1.44138,-0.0338595,0.13629,1.74446,0.0865106,0.101442
1.48276,-0.00455161,0.140307,1.79779,0.0753961,0.104872
1.52415,0.029468,0.144324,1.85112,0.0578692,0.108303
1.56553,0.0763631,0.148341,1.90446,0.0403424,0.111733
1.60692,0.127681,0.152357,1.95779,0.0176063,0.115163
1.6483,0.186249,0.156374,2.01112,-0.0170944,0.118593
1.68969,0.25233,0.160391,2.06445,-0.0517952,0.122023
1.73108,0.322755,0.164407,2.11778,-0.0864959,0.125453
1.77246,0.400063,0.168424,2.17112,-0.121197,0.128884
1.81385,0.481508,0.172441,2.22445,-0.155897,0.132314
