V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
0.299207,0.986014,0.578576,0.986014,All
0.325148,0.987013,0.581195,0.987013,All
0.327653,0.988012,0.608064,0.988012,All
0.360175,0.989011,0.663177,0.989011,All
0.36053,0.99001,0.670159,0.99001,All
0.372814,0.991009,0.674688,0.991009,All
0.374161,0.992008,0.708745,0.992008,All
0.374424,0.993007,0.7646,0.993007,All
0.408519,0.994006,0.866704,0.994006,All
0.470081,0.995005,0.899712,0.995005,All
0.506049,0.996004,1.10192,0.996004,All
0.550459,0.997003,1.379,0.997003,All
0.573814,0.998002,1.63899,0.998002,All
0.73368,0.999001,1.91554,0.999001,All
1.76551,1,2.13694,1,All
