V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
1.32296,0.00132741,0.999878,1.42441,0.110896,0.956442,All
1.35984,0.000907608,0.999918,1.48379,0.0979094,0.962636,All
1.39672,0.000614118,0.999946,1.54316,0.0860049,0.96809,All
1.4336,0.000411212,0.999965,1.60254,0.0751645,0.97287,All
1.47048,0.000272484,0.999977,1.66192,0.0653573,0.977037,All
1.50736,0.00017868,0.999985,1.7213,0.0565413,0.980651,All
1.54424,0.00011595,0.999991,1.78068,0.0486664,0.98377,All
1.58111,7.44611e-05,0.999994,1.84005,0.0416757,0.986448,All
1.61799,4.73203e-05,0.999996,1.89943,0.0355082,0.988736,All
1.65487,2.97595e-05,0.999998,1.95881,0.0300999,0.99068,All
1.69175,1.8521e-05,0.999999,2.01819,0.0253859,0.992324,All
1.72863,1.14068e-05,0.999999,2.07757,0.0213016,0.993707,All
1.76551,6.95224e-06,1,2.13694,0.0177837,0.994865,All
