parameter,value,se_sa,rse_sa
V_pop,0,,
Cl_pop,0,,
Vpop_pop,0.876121681517121,0.00199016971661894,0.227156770412609
Clpop_pop,0.494734638778191,0.00143551181681962,0.290157936053315
thetaAge_pop,-0.246920725781433,0.00217573026550004,0.881145257699399
thetaCr_pop,0.772475284230458,0.00183848728701647,0.237999496494956
omega_V,0.360726948011406,0.0177901950483574,4.93176213932175
omega_Cl,0.832593797794612,0.0250000737719298,3.00267355319609
a,4.11640505257535,0.161737876673176,3.92910499835256
