popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
64.5071,22.558,64.5071,42.4482,86.5659,49.5397,51.2667,49.5397,32.5991,66.4803,All
66.0239,22.7612,66.0239,43.4463,88.6015,50.6921,52.6236,50.6921,33.3574,68.0268,All
67.5407,23.0242,67.5407,44.4445,90.637,51.8444,53.9642,51.8444,34.1157,69.5732,All
67.898,23.0862,67.898,44.6795,91.1164,52.58,54.8013,52.58,34.5997,70.5603,All
69.0576,23.2872,69.0576,45.4426,92.6725,52.9968,55.2709,52.9968,34.874,71.1196,All
70.5744,23.5744,70.5744,46.4407,94.708,54.1492,56.5694,54.1492,35.6323,72.666,All
72.0912,23.9088,72.0912,47.4389,96.7435,55.3015,57.752,55.3015,36.3906,74.2125,All
72.8478,24.0863,72.8478,47.9367,97.7589,56.1259,58.5897,56.1259,36.9331,75.3188,All
73.608,24.2708,73.608,48.437,98.779,56.4539,58.9229,56.4539,37.1489,75.7589,All
75.1248,24.6593,75.1248,49.4351,100.815,57.6063,60.0939,57.6063,37.9072,77.3053,All
76.6417,25.0747,76.6417,50.4333,102.85,58.7586,61.2649,58.7586,38.6655,78.8518,All
78.1585,25.5082,78.1585,51.4314,104.886,59.911,62.3212,59.911,39.4238,80.3982,All
